"interaction","name","selected","shared interaction","shared name","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::score","stringdb::textmining"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000430598","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000430598",,,,"0.59","0.59"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000335153","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000335153","0.5","0.528",,"0.995","0.984"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000378199","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000378199","0.5",,,"0.52","0.081"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000343925","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000343925","0.5",,,"0.499",
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000302961","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000302961",,"0.292",,"0.986","0.982"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000363822","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000363822","0.8","0.329",,"0.86",
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000351646","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000351646","0.5","0.345",,"0.721","0.219"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000370343","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000370343",,"0.292",,"0.592","0.448"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000350815","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000350815","0.8","0.089",,"0.891","0.452"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000364805","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000364805","0.5",,,"0.538","0.115"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000325120","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000325120","0.8","0.089",,"0.926","0.627"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000340820","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000340820",,"0.236",,"0.447","0.306"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000464030","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000464030",,,,"0.414","0.415"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000444810","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000444810","0.9",,,"0.97","0.72"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","0.5","0.329",,"0.836","0.551"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000360609","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000360609","0.5","0.509",,"0.995","0.984"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000437125","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000437125","0.5",,,"0.838","0.69"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252",,,,"0.404","0.404"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000379287","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000379287",,,,"0.614","0.614"
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000289382","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000289382",,"0.42",,"0.42",
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000420270","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000420270",,"0.418",,"0.449","0.093"
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000258729","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000258729",,,,"0.525","0.525"
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000498864","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000498864",,"0.664",,"0.664",
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000378487","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000378487",,,,"0.736","0.736"
"ppp","9606.ENSP00000005257 (ppp) 9606.ENSP00000420213","false","ppp","9606.ENSP00000005257 (ppp) 9606.ENSP00000420213",,"0.166",,"0.714","0.671"
"ppp","9606.ENSP00000005257 (ppp) 9606.ENSP00000228251","false","ppp","9606.ENSP00000005257 (ppp) 9606.ENSP00000228251",,,,"0.572","0.572"
"ppp","9606.ENSP00000005257 (ppp) 9606.ENSP00000419081","false","ppp","9606.ENSP00000005257 (ppp) 9606.ENSP00000419081",,,,"0.666","0.666"
