gene_id,citation_score
DBNDD1,6
TMEM132A,25
CX3CL1,2259
DNAH9,74
CEACAM7,46
BAIAP3,18
E2F2,639
CELSR3,113
IL32,623
MLXIPL,493
CD9,2701
SYT7,150
ANLN,227
BRCA1,21778
ALOX5,518
TACC3,369
CLCA1,219
RUNX3,1559
ABCC2,2201
DEPDC1,91
HMGB3,194
DEPDC1B,54
RTN4R,339
CP,148274
PPP1R3F,5
RAD51,5826
POLQ,184
CYBA,1043
RELT,161
KCNH2,2027
IL17RB,294
SPAG4,51
CDH3,264
POLD1,318
GPC1,264
BCAS1,52
WDR18,14
MCM10,230
ASPM,510
FGFR3,3412
PRR11,65
PITX1,479
ADGRF5,37
ATP1B3,51
RAB27A,828
GUCY2C,143
TRIP13,195
HMMR,249
TRHDE,53
MCM2,1556
PTGS2,41089
ENO1,866
GTSE1,91
WDR62,124
MCM6,380
SPAG5,126
CTTNBP2,37
UBE2T,146
FBLN1,148
FAP,6788
PAFAH1B3,43
RIMS1,146
NDC80,592
APOB,16308
ORC1,375
RAD54L,180
FOLH1,1490
SNX10,84
ACHE,1044704
NID2,159
AURKA,2465
AAMDC,5
TPX2,682
SLC15A1,543
GRAMD1A,18
HEPH,201
CMTM1,26
BIRC5,5766
ARHGAP4,43
ICAM1,31115
SI,166862
P3H2,41
RAB11FIP3,40
CERS4,57
KIF4A,225
PLEKHG2,23
NAT14,7
PITPNM2,20
NRCAM,323
NLRP1,849
ORC6,101
SLC7A8,173
SEMA6A,133
WDR76,21
CLSPN,151
CDC45,594
CDC6,1059
PTGS1,3038
BAMBI,571
PGC,10229
ACOT7,52
CDC7,657
FBXL19,64
MMP11,486
SUSD2,98
GGT1,177
CENPM,49
RHBDD3,11
PYGL,122
CDKN3,184
GINS1,67
MYBL2,477
TRIB3,510
E2F1,5115
FAM83D,57
LIPG,344
VSIG1,19
ABCD1,668
GABRE,144
CENPI,68
GLA,12783
SEC14L5,7
SLC7A5,853
CRYM,86
QPRT,76
PYCARD,938
CEMIP,171
OIP5,270
CA2,224622
ANXA13,25
MCM4,448
ASF1B,113
CCNE1,1060
GPI,20915
SLC1A5,530
ISYNA1,30
ERF,3019
CADM4,53
PON2,478
ITGB8,130
DNAH11,121
BRAT1,53
CPVL,103
HSPB1,2038
NUDT1,108
CLDN15,36
MEST,1430
SLC1A1,573
FSD1L,7
DNM1,259
GLIS3,213
ABCA2,138
UBE2S,116
KRT23,47
RPL19,131
PSMD3,44
ASPA,661
GALK1,69
ALDH3A1,315
MMD,3172
NHERF1,466
NEIL3,151
MFSD10,6
NCAPG,252
CTSC,315
MDK,948
SLC22A18,77
SLC35F2,26
PITPNM1,31
POU2AF1,231
FOXM1,2249
RAD51AP1,94
SLC38A1,183
GAPDH,8497
CDCA3,88
CEP85L,20
TPD52L1,25
CAP2,236
TTK,2042
KIF20A,300
POLR3G,33
LMNB1,199
DBN1,47
BCL6,4213
LRRC31,10
PFKFB4,139
AADAC,88
RTKN,69
CENPA,1087
CYTIP,27
REEP6,25
PECR,35
IL1R2,447
ID2,1574
RGS2,662
AGMAT,33
CD2,18100
NR5A2,563
PADI2,192
SLC2A1,3559
CDC20,1649
STMN1,700
NEK2,489
CENPF,385
KIF14,163
MYB,9088
RARRES1,100
PCDH17,96
DNAH7,21
GDA,3816
PHF19,69
CSF3R,415
FLVCR2,27
AVPI1,3
NCAPH,71
KIF18A,143
DEPDC7,7
GPSM2,128
SV2C,96
RASL11A,14
PLAU,569
CIT,8626
CENPK,50
STIL,468
HJURP,176
G0S2,231
CKS2,168
CHPF,72
PI3,9621
PCK1,736
H1-3,151
H2BC11,1
SCGB2A1,45
ABCC4,841
HROB,22
MBOAT7,193
MED1,1102
TMEM74B,0
ID1,1942
BPIFB1,51
RBM42,11
BCL2L12,125
WNK4,446
DLGAP5,180
ATP13A4,17
LRRC61,4
PKMYT1,107
CHTF18,19
TNFRSF19,117
STEAP4,139
A4GALT,69
PODXL,211
IRF5,940
ALDH1A2,392
E2F8,151
KLK10,177
RNASE1,90
FOXJ1,412
RHBDF2,90
SGO1,254
THEM6,6
TOMM40,336
KIF1A,351
ARPC1B,76
RBBP8NL,2
LAMA5,154
SLC6A8,277
GINS2,85
PDLIM4,70
TOP2A,1326
STARD3,139
RARA,4395
PPP1R1B,389
KHDRBS3,63
NUP210,114
XAF1,251
RBM38,98
EPHB2,843
HSPBP1,77
CCNB1,2282
VAV3,320
PSRC1,121
TMEM106C,8
LDHA,2213
CDCA8,204
HOOK1,73
SLC43A3,15
PSAT1,214
CCNJL,3
HILPDA,78
ITGA7,230
TROAP,48
ESPL1,146
CPM,7744
CAPN9,25
GLUL,218
SLC19A3,179
USP44,60
TTYH3,27
ALPK3,40
CIB2,66
LIMD2,15
TMOD1,153
DSCC1,20
IL33,5282
HMGA1,1299
NRM,2805
GGH,514
