"ensembl_gene_id","external_gene_name","description","gene_biotype","degree","betweenness","closeness","eigen_centrality","page_rank","cluster","source"
"ENSG00000001461","NIPAL3","NIPA like domain containing 3 ","protein_coding",1,0,0.000287438919229664,0.0100839696337487,0.00102009562641387,"royalblue","subnet"
"ENSG00000001631","KRIT1","KRIT1 ankyrin repeat containing ","protein_coding",2,249,0.00034435261707989,1.28020363937769e-05,0.00252820656895879,"tomato","subnet"
"ENSG00000002726","AOC1","amine oxidase copper containing 1 ","protein_coding",1,0,0.00480769230769231,0,0.00119147020680609,"springgreen","subnet"
"ENSG00000002822","MAD1L1","mitotic arrest deficient 1 like 1 ","protein_coding",2,154,0.00970873786407767,0,0.0022105460459189,"gold","subnet"
"ENSG00000003436","TFPI","tissue factor pathway inhibitor ","protein_coding",2,15225,0.000464037122969838,1.03304266089298e-07,0.00156403091715309,"tomato","subnet"
"ENSG00000004777","ARHGAP33","Rho GTPase activating protein 33 ","protein_coding",1,0,0.0181818181818182,0,0.00150097431632389,"mediumseagreen","subnet"
"ENSG00000005102","MEOX1","mesenchyme homeobox 1 ","protein_coding",4,111,0.0158730158730159,0,0.00424902962763702,"orchid","subnet"
"ENSG00000005381","MPO","myeloperoxidase ","protein_coding",4,3475.63333333334,0.000413052457662123,1.51520737890296e-06,0.00344278968403801,"tomato","subnet"
"ENSG00000009950","MLXIPL","MLX interacting protein like ","protein_coding",1,0,0.000286779466590192,2.26767108875665e-15,0.00119856767143119,"tomato","subnet"
"ENSG00000010295","IFFO1","intermediate filament family orphan 1 ","protein_coding",1,0,0.000270709258256632,2.63522497207366e-16,0.00125137223376979,"tomato","subnet"
"ENSG00000018625","ATP1A2","ATPase Na+/K+ transporting subunit alpha 2 ","protein_coding",12,183.75,0.00032520325203252,1,0.00370725730510251,"saddlebrown","subnet"
"ENSG00000022267","FHL1","four and a half LIM domains 1 ","protein_coding",4,10465,0.000388500388500389,1.78217445903186e-11,0.00372502209630926,"tomato","subnet"
"ENSG00000026652","AGPAT4","1-acylglycerol-3-phosphate O-acyltransferase 4 ","protein_coding",7,6,0.0416666666666667,0,0.00341810502638388,"cyan","subnet"
