ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0003018,vascular process in circulatory system,39/668,302/21288,0.129139072847682,4.11543799817583,9.81428986303825,6.81673231254192e-14,3.1057032415941e-10,2.41097058633061e-10,ENSG00000018625/ENSG00000129244/ENSG00000132681/ENSG00000184113/ENSG00000069431/ENSG00000105289/ENSG00000121361/ENSG00000119139/ENSG00000078401/ENSG00000105664/ENSG00000131477/ENSG00000133636/ENSG00000167711/ENSG00000174697/ENSG00000118160/ENSG00000128271/ENSG00000166148/ENSG00000244734/ENSG00000074370/ENSG00000116678/ENSG00000124205/ENSG00000127129/ENSG00000130037/ENSG00000136160/ENSG00000148926/ENSG00000153162/ENSG00000155380/ENSG00000108576/ENSG00000118596/ENSG00000119185/ENSG00000131016/ENSG00000164687/ENSG00000172572/ENSG00000180914/ENSG00000050438/ENSG00000120907/ENSG00000157103/ENSG00000169554/ENSG00000197375,39
GO:0008016,regulation of heart contraction,31/668,223/21288,0.139013452914798,4.43011734378776,9.26791000734191,3.72704181346541e-12,8.4902012510742e-09,6.5909792069704e-09,ENSG00000143153/ENSG00000198523/ENSG00000018625/ENSG00000129244/ENSG00000069431/ENSG00000121361/ENSG00000266964/ENSG00000197616/ENSG00000092054/ENSG00000078401/ENSG00000111245/ENSG00000160808/ENSG00000198336/ENSG00000118160/ENSG00000166148/ENSG00000175084/ENSG00000196296/ENSG00000074370/ENSG00000120049/ENSG00000124205/ENSG00000127129/ENSG00000130037/ENSG00000136160/ENSG00000148926/ENSG00000183153/ENSG00000196839/ENSG00000121068/ENSG00000130528/ENSG00000136574/ENSG00000100678/ENSG00000120907,31
GO:0060047,heart contraction,32/668,265/21288,0.120754716981132,3.84824313636877,8.39757289000555,7.36762543796645e-11,1.11889671651251e-07,8.68604262160256e-08,ENSG00000143153/ENSG00000198523/ENSG00000018625/ENSG00000129244/ENSG00000069431/ENSG00000121361/ENSG00000266964/ENSG00000197616/ENSG00000092054/ENSG00000078401/ENSG00000111245/ENSG00000160808/ENSG00000198336/ENSG00000118160/ENSG00000166148/ENSG00000175084/ENSG00000196296/ENSG00000074370/ENSG00000120049/ENSG00000124205/ENSG00000127129/ENSG00000130037/ENSG00000134571/ENSG00000136160/ENSG00000148926/ENSG00000183153/ENSG00000196839/ENSG00000121068/ENSG00000130528/ENSG00000136574/ENSG00000100678/ENSG00000120907,32
GO:0050886,endocrine process,19/668,101/21288,0.188118811881188,5.99501986126756,9.05658158701776,3.11624705995679e-10,2.36627026752719e-07,1.83694563534295e-07,ENSG00000078401/ENSG00000100448/ENSG00000167711/ENSG00000174697/ENSG00000166148/ENSG00000170498/ENSG00000120088/ENSG00000122641/ENSG00000124205/ENSG00000127129/ENSG00000136160/ENSG00000153162/ENSG00000163083/ENSG00000109163/ENSG00000145708/ENSG00000180914/ENSG00000104918/ENSG00000164404/ENSG00000166507,19
GO:0006813,potassium ion transport,30/668,255/21288,0.117647058823529,3.74920746741811,7.94928604892956,5.48627288287421e-10,3.57077989348213e-07,2.77201156187329e-07,ENSG00000143153/ENSG00000018625/ENSG00000129244/ENSG00000132681/ENSG00000069431/ENSG00000121361/ENSG00000137731/ENSG00000266964/ENSG00000146469/ENSG00000130226/ENSG00000158445/ENSG00000177301/ENSG00000022267/ENSG00000089356/ENSG00000129159/ENSG00000134443/ENSG00000185774/ENSG00000120049/ENSG00000124205/ENSG00000130037/ENSG00000182674/ENSG00000124134/ENSG00000162975/ENSG00000170745/ENSG00000177272/ENSG00000066230/ENSG00000116396/ENSG00000166006/ENSG00000171126/ENSG00000175497,30
GO:0051783,regulation of nuclear division,23/668,158/21288,0.145569620253165,4.63905101190025,8.26357683107547,9.10385508759504e-10,5.1455866680322e-07,3.99454073392824e-07,ENSG00000080986/ENSG00000122952/ENSG00000169679/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000163132/ENSG00000071539/ENSG00000152253/ENSG00000078401/ENSG00000126787/ENSG00000120149/ENSG00000002822/ENSG00000124205/ENSG00000121101/ENSG00000124688/ENSG00000127564/ENSG00000137804/ENSG00000148773/ENSG00000172113/ENSG00000172572/ENSG00000174442,23
GO:0007094,mitotic spindle assembly checkpoint signaling,13/668,47/21288,0.276595744680851,8.81462606701491,9.6531883930904,1.34168521057341e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000080986/ENSG00000122952/ENSG00000169679/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000071539/ENSG00000152253/ENSG00000002822/ENSG00000121101/ENSG00000124688/ENSG00000174442,13
GO:0071173,spindle assembly checkpoint signaling,13/668,47/21288,0.276595744680851,8.81462606701491,9.6531883930904,1.34168521057341e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000080986/ENSG00000122952/ENSG00000169679/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000071539/ENSG00000152253/ENSG00000002822/ENSG00000121101/ENSG00000124688/ENSG00000174442,13
GO:0071174,mitotic spindle checkpoint signaling,13/668,47/21288,0.276595744680851,8.81462606701491,9.6531883930904,1.34168521057341e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000080986/ENSG00000122952/ENSG00000169679/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000071539/ENSG00000152253/ENSG00000002822/ENSG00000121101/ENSG00000124688/ENSG00000174442,13
GO:0015908,fatty acid transport,20/668,122/21288,0.163934426229508,5.22430548738588,8.42203355973594,1.36459830301124e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000121361/ENSG00000117215/ENSG00000188257/ENSG00000069764/ENSG00000170890/ENSG00000078401/ENSG00000100078/ENSG00000125166/ENSG00000127472/ENSG00000174697/ENSG00000153246/ENSG00000147872/ENSG00000197696/ENSG00000164687/ENSG00000170323/ENSG00000240972/ENSG00000101188/ENSG00000174640/ENSG00000187980/ENSG00000205560,20
