"data type","highlight","interaction","name","networks","normalized max weight","raw weights","selected","shared interaction","shared name"
"Co-expression","1",,"H__sapiens__1_-784857|H__sapiens__1_-779585|Co-expression","Alizadeh-Staudt-2000|Boldrick-Relman-2002|Rosenwald-Staudt-2001","8.157272535261974E-5","0.0042710080742836|0.005015720147639513|0.0036673787981271744","false",,"H__sapiens__1_-784857|H__sapiens__1_-779585|Co-expression"
"Co-expression","1",,"H__sapiens__1_-784857|H__sapiens__1_-778676|Co-expression","Alizadeh-Staudt-2000","5.735020410573747E-6","0.004373783245682716","false",,"H__sapiens__1_-784857|H__sapiens__1_-778676|Co-expression"
"Co-expression","1",,"H__sapiens__1_-777943|H__sapiens__1_-777933|Co-expression","Alizadeh-Staudt-2000","2.002657955088146E-5","0.01527316588908434","false",,"H__sapiens__1_-777943|H__sapiens__1_-777933|Co-expression"
"Co-expression","1",,"H__sapiens__1_-780722|H__sapiens__1_-784857|Co-expression","Alizadeh-Staudt-2000","5.604198394298016E-6","0.004274012520909309","false",,"H__sapiens__1_-780722|H__sapiens__1_-784857|Co-expression"
"Co-expression","1",,"H__sapiens__1_-785351|H__sapiens__1_-784857|Co-expression","Alizadeh-Staudt-2000|Boldrick-Relman-2002|Rosenwald-Staudt-2001","9.573310405986107E-5","0.003162567038089037|0.00377627182751894|0.0043040066957473755","false",,"H__sapiens__1_-785351|H__sapiens__1_-784857|Co-expression"
"Co-expression","1",,"H__sapiens__1_-785351|H__sapiens__1_-780260|Co-expression","Alizadeh-Staudt-2000","2.2132758083113906E-5","0.016879431903362274","false",,"H__sapiens__1_-785351|H__sapiens__1_-780260|Co-expression"
"Co-expression","1",,"H__sapiens__1_-774747|H__sapiens__1_-773937|Co-expression","Alizadeh-Staudt-2000|Wang-Maris-2006|Mallon-McKay-2013|Roth-Zlotnik-2006|Rosenwald-Staudt-2001|Perou-Botstein-2000|Burington-Shaughnessy-2008|Perou-Botstein-1999","0.0012001198226370587","0.011177930049598217|0.008640526793897152|0.008217858150601387|0.008889096789062023|0.004914356395602226|0.017855819314718246|0.007916606031358242|0.021682515740394592","false",,"H__sapiens__1_-774747|H__sapiens__1_-773937|Co-expression"
"Co-expression","1",,"H__sapiens__1_-779237|H__sapiens__1_-774747|Co-expression","Alizadeh-Staudt-2000|Wang-Maris-2006|Rosenwald-Staudt-2001|Perou-Botstein-2000|Burington-Shaughnessy-2008|Bild-Nevins-2006 B|Ross-Perou-2001","7.045534176289163E-4","0.00883164070546627|0.008730645291507244|0.00758730573579669|0.01446675043553114|0.00572578189894557|0.018692584708333015|0.008812207728624344","false",,"H__sapiens__1_-779237|H__sapiens__1_-774747|Co-expression"
"Co-expression","1",,"H__sapiens__1_-777449|H__sapiens__1_-773937|Co-expression","Alizadeh-Staudt-2000|Wang-Maris-2006|Rieger-Chu-2004|Roth-Zlotnik-2006|Innocenti-Brown-2011|Rosenwald-Staudt-2001|Perou-Botstein-2000|Burington-Shaughnessy-2008|Bild-Nevins-2006 B|Jiang-de Kok-2017|Wang-Cheung-2015|Arijs-Rutgeerts-2009","8.82818514765658E-4","0.009532809257507324|0.00961525272578001|0.007260673679411411|0.005953984800726175|0.012124462984502316|0.005125369410961866|0.009189584292471409|0.0056884149089455605|0.007115582469850779|0.008199289441108704|0.004879920277744532|0.005465281195938587","false",,"H__sapiens__1_-777449|H__sapiens__1_-773937|Co-expression"
"Co-expression","1",,"H__sapiens__1_-777449|H__sapiens__1_-774747|Co-expression","Alizadeh-Staudt-2000|Roth-Zlotnik-2006|Dobbin-Giordano-2005|Rosenwald-Staudt-2001|Perou-Botstein-2000|Chen-Brown-2002|Burington-Shaughnessy-2008","6.104250139220999E-4","0.00595569284632802|0.008031755685806274|0.004260462708771229|0.005679203197360039|0.0077703180722892284|0.008328737691044807|0.006242032162845135","false",,"H__sapiens__1_-777449|H__sapiens__1_-774747|Co-expression"
"Co-expression","1",,"H__sapiens__1_-777449|H__sapiens__1_-779237|Co-expression","Alizadeh-Staudt-2000|Wang-Maris-2006|Ramaswamy-Golub-2001|Boldrick-Relman-2002|Rieger-Chu-2004|Roth-Zlotnik-2006|Innocenti-Brown-2011|Dobbin-Giordano-2005|Rosenwald-Staudt-2001|Perou-Botstein-2000|Chen-Brown-2002|Burington-Shaughnessy-2008|Wang-Cheung-2015|Ross-Perou-2001","0.0011045066550039104","0.008175154216587543|0.009221458807587624|0.015910815447568893|0.00936835166066885|0.007692748215049505|0.008232110179960728|0.010160412639379501|0.0025394409894943237|0.007844530045986176|0.006302288267761469|0.004433370660990477|0.004512420389801264|0.004196998197585344|0.00870343018323183","false",,"H__sapiens__1_-777449|H__sapiens__1_-779237|Co-expression"
"Co-expression","1",,"H__sapiens__1_-781887|H__sapiens__1_-774747|Co-expression","Alizadeh-Staudt-2000|Ramaswamy-Golub-2001|Boldrick-Relman-2002|Roth-Zlotnik-2006|Rosenwald-Staudt-2001|Burington-Shaughnessy-2008","0.001522717659140818","0.008829796686768532|0.021935295313596725|0.007874631322920322|0.009915309026837349|0.0032603696454316378|0.00710945762693882","false",,"H__sapiens__1_-781887|H__sapiens__1_-774747|Co-expression"
"Co-expression","1",,"H__sapiens__1_-781887|H__sapiens__1_-779237|Co-expression","Alizadeh-Staudt-2000|Wang-Maris-2006|Ramaswamy-Golub-2001|Boldrick-Relman-2002|Rieger-Chu-2004|Innocenti-Brown-2011|Dobbin-Giordano-2005|Rosenwald-Staudt-2001|Perou-Botstein-2000|Burington-Shaughnessy-2008|Bild-Nevins-2006 B|Jiang-de Kok-2017|Wang-Cheung-2015|Arijs-Rutgeerts-2009","0.001386358635472988","0.011477609165012836|0.012879135087132454|0.016427382826805115|0.008314641192555428|0.01232354436069727|0.010601256974041462|0.006903665605932474|0.004356836900115013|0.009453709237277508|0.005082656163722277|0.014247044920921326|0.008274663239717484|0.011141638271510601|0.01565074734389782","false",,"H__sapiens__1_-781887|H__sapiens__1_-779237|Co-expression"
"Co-expression","1",,"H__sapiens__1_-781887|H__sapiens__1_-777449|Co-expression","Alizadeh-Staudt-2000|Wang-Maris-2006|Ramaswamy-Golub-2001|Boldrick-Relman-2002|Rieger-Chu-2004|Innocenti-Brown-2011|Rosenwald-Staudt-2001|Perou-Botstein-2000|Burington-Shaughnessy-2008|Bild-Nevins-2006 B|Wang-Cheung-2015|Arijs-Rutgeerts-2009","0.0014778474852357607","0.007974670268595219|0.01414448767900467|0.018241968005895615|0.003206518478691578|0.012033184990286827|0.020296478644013405|0.003510840702801943|0.007134588435292244|0.005382859148085117|0.007513897027820349|0.008084970526397228|0.00829402171075344","false",,"H__sapiens__1_-781887|H__sapiens__1_-777449|Co-expression"
"Co-expression","1",,"H__sapiens__1_-776103|H__sapiens__1_-777971|Co-expression","Wang-Maris-2006","4.589926155792667E-4","0.010437740944325924","false",,"H__sapiens__1_-776103|H__sapiens__1_-777971|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778886|H__sapiens__1_-783298|Co-expression","Wang-Maris-2006","9.492041068498894E-4","0.021585416048765182","false",,"H__sapiens__1_-778886|H__sapiens__1_-783298|Co-expression"
"Co-expression","1",,"H__sapiens__1_-784380|H__sapiens__1_-829897|Co-expression","Wang-Maris-2006","7.697562044388648E-4","0.017504673451185226","false",,"H__sapiens__1_-784380|H__sapiens__1_-829897|Co-expression"
"Co-expression","1",,"H__sapiens__1_-779585|H__sapiens__1_-777971|Co-expression","Wang-Maris-2006","4.6663063009785106E-4","0.010611433535814285","false",,"H__sapiens__1_-779585|H__sapiens__1_-777971|Co-expression"
"Co-expression","1",,"H__sapiens__1_-776553|H__sapiens__1_-779339|Co-expression","Wang-Maris-2006|Innocenti-Brown-2011|Burington-Shaughnessy-2008|Bild-Nevins-2006 B","0.001993080463616771","0.02101486176252365|0.027372591197490692|0.018217366188764572|0.010486938059329987","false",,"H__sapiens__1_-776553|H__sapiens__1_-779339|Co-expression"
"Co-expression","1",,"H__sapiens__1_-779501|H__sapiens__1_-779585|Co-expression","Wang-Maris-2006|Innocenti-Brown-2011","9.832852830027729E-4","0.015209109522402287|0.013504254631698132","false",,"H__sapiens__1_-779501|H__sapiens__1_-779585|Co-expression"
"Co-expression","1",,"H__sapiens__1_-777568|H__sapiens__1_-788068|Co-expression","Wang-Maris-2006","4.204975974037185E-4","0.00956234335899353","false",,"H__sapiens__1_-777568|H__sapiens__1_-788068|Co-expression"
"Co-expression","1",,"H__sapiens__1_-783312|H__sapiens__1_-781320|Co-expression","Wang-Maris-2006","6.208650288903081E-4","0.014118807390332222","false",,"H__sapiens__1_-783312|H__sapiens__1_-781320|Co-expression"
"Co-expression","1",,"H__sapiens__1_-821758|H__sapiens__1_-779893|Co-expression","Wang-Maris-2006","8.055889895230055E-4","0.01831953041255474","false",,"H__sapiens__1_-821758|H__sapiens__1_-779893|Co-expression"
"Co-expression","1",,"H__sapiens__1_-829125|H__sapiens__1_-777971|Co-expression","Wang-Maris-2006","5.796968428300996E-4","0.013182620517909527","false",,"H__sapiens__1_-829125|H__sapiens__1_-777971|Co-expression"
