"","external_gene_name","uniprot_gn_id","cluster","betweenness","degree_centrality","file_id","ID","pocket","druggability","num_drug_pockets","struct_score","logFC","regulation","citation_score"
"1","MUC17","Q685J3",3,0,1,"AF-Q685J3-F5-model_v4","Q685J3-F5",0.317,1,7,50.3874125077656,2.93270441072143,"up_reg",99
"2","MUC17","Q685J3",3,0,1,"AF-Q685J3-F12-model_v4","Q685J3-F12",0.13,1,3,55.2405705081575,2.93270441072143,"up_reg",99
"3","MUC17","Q685J3",3,0,1,"AF-Q685J3-F3-model_v4","Q685J3-F3",0.321,1,5,57.0481037344398,2.93270441072143,"up_reg",99
"4","MUC17","Q685J3",3,0,1,"AF-Q685J3-F2-model_v4","Q685J3-F2",0.338,0.999,8,53.7420016594068,2.93270441072143,"up_reg",99
"5","MUC17","Q685J3",3,0,1,"AF-Q685J3-F10-model_v4","Q685J3-F10",0.303,0.998,8,57.3136964859542,2.93270441072143,"up_reg",99
"6","MUC17","Q685J3",3,0,1,"AF-Q685J3-F11-model_v4","Q685J3-F11",0.223,0.998,4,55.8011703011423,2.93270441072143,"up_reg",99
"7","MUC17","Q685J3",3,0,1,"AF-Q685J3-F13-model_v4","Q685J3-F13",0.184,0.998,9,52.1710827629123,2.93270441072143,"up_reg",99
"8","CENPE","Q02224",2,0,1,"AF-Q02224-F6-model_v4","Q02224-F6",0.135,0.997,5,72.5524854202401,1.2722314310454,"up_reg",439
"9","MUC17","Q685J3",3,0,1,"AF-Q685J3-F7-model_v4","Q685J3-F7",0.253,0.996,7,51.4707361010457,2.93270441072143,"up_reg",99
"10","MUC17","Q685J3",3,0,1,"AF-Q685J3-F1-model_v4","Q685J3-F1",0.162,0.996,6,51.8669174632542,2.93270441072143,"up_reg",99
"11","CD9","P21926",3,194,6,"AF-P21926-F1-model_v4","P21926-F1",0.063,0.994,1,88.1191475042064,1.20343822238994,"up_reg",2729
"12","MELK","Q14680",2,0,1,"AF-Q14680-F1-model_v4","Q14680-F1",0.159,0.993,1,70.6437161388783,1.75593555525133,"up_reg",669
"13","MUC17","Q685J3",3,0,1,"AF-Q685J3-F6-model_v4","Q685J3-F6",0.273,0.993,5,57.7093163011998,2.93270441072143,"up_reg",99
"14","MUC17","Q685J3",3,0,1,"AF-Q685J3-F17-model_v4","Q685J3-F17",0.018,0.993,2,52.4057740764467,2.93270441072143,"up_reg",99
"15","XPR1","Q9UBH6",2,0,1,"AF-Q9UBH6-F1-model_v4","Q9UBH6-F1",0.207,0.993,3,83.7337209705373,1.31817598326447,"up_reg",180
"16","KIF11","P52732",2,48,4,"AF-P52732-F1-model_v4","P52732-F1",0.141,0.991,1,74.7686384864088,1.23918466782036,"up_reg",827
"17","PTGS2","P35354",2,260,2,"AF-P35354-F1-model_v4","P35354-F1",0.262,0.987,1,93.3276978417266,2.33894612165408,"up_reg",41309
"18","TEAD4","Q15561",2,0,1,"AF-Q15561-F1-model_v4","Q15561-F1",0.243,0.986,2,76.5831209630065,1.59799875694052,"up_reg",388
"19","FABP1","P07148",2,0,1,"AF-P07148-F1-model_v4","P07148-F1",-0.023,0.981,1,94.9501004016064,7.46476286573092,"up_reg",900
"20","ABCA2","Q9BZC7",2,3430,2,"AF-Q9BZC7-F1-model_v4","Q9BZC7-F1",0.258,0.976,5,72.3389071383449,1.26202846988287,"up_reg",138
"21","PRC1","O43663",2,0,1,"AF-O43663-F1-model_v4","O43663-F1",0.226,0.975,2,80.1142706257473,1.45833031632384,"up_reg",1534
"22","SPAG4","Q9NPE6",2,0,1,"AF-Q9NPE6-F1-model_v4","Q9NPE6-F1",0.378,0.975,1,71.5642399294325,1.52115843670771,"up_reg",51
"23","KIF20B","Q96Q89",2,0,2,"AF-Q96Q89-F1-model_v4","Q96Q89-F1",0.232,0.971,4,63.7483354768835,1.02165854563199,"up_reg",57
"24","H2BC10","P62807",2,288,12,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221,1.20057441074882,"up_reg",0
"25","H2BC4","P62807",2,213,9,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221,1.12425178671753,"up_reg",0
"26","H2BC6","P62807",2,4200,13,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221,1.51390646662004,"up_reg",0
"27","H2BC7","P62807",2,2530,12,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221,1.65074028727143,"up_reg",0
"28","H2BC8","P62807",2,801,12,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221,1.3160502022776,"up_reg",1
"29","CENPE","Q02224",2,0,1,"AF-Q02224-F2-model_v4","Q02224-F2",0.126,0.96,2,70.7644444444445,1.2722314310454,"up_reg",439
"30","DNAH3","Q8TD57",7,0,1,"AF-Q8TD57-F4-model_v4","Q8TD57-F4",0.164,0.96,4,85.6663929332386,2.30566321277808,"up_reg",16
"31","RARA","P10276",2,5107,16,"AF-P10276-F1-model_v4","P10276-F1",0.362,0.958,1,79.418920518602,1.49098020872068,"up_reg",4411
"32","CYBA","P13498",2,1284,3,"AF-P13498-F1-model_v4","P13498-F1",0.48,0.957,1,77.0298854447439,1.27587130349678,"up_reg",1045
"33","H2BC17","P23527",2,260,9,"AF-P23527-F1-model_v4","P23527-F1",0.371,0.957,2,88.0009928352098,1.84452113032704,"up_reg",0
"34","TTK","P33981",2,1031,4,"AF-P33981-F1-model_v4","P33981-F1",0.087,0.956,1,63.954351783879,1.45747230650366,"up_reg",2071
"35","SLC19A3","Q9BZV2",3,0,1,"AF-Q9BZV2-F1-model_v4","Q9BZV2-F1",0.137,0.955,2,82.1684011184545,3.2053475525614,"up_reg",180
"36","FZD7","O75084",2,776,4,"AF-O75084-F1-model_v4","O75084-F1",0.435,0.953,3,84.1490576150067,1.54858424921725,"up_reg",390
"37","PLK1","P53350",2,2733,10,"AF-P53350-F1-model_v4","P53350-F1",0.175,0.953,2,85.1698896752706,1.60351847396121,"up_reg",3003
"38","IL32","P24001",2,0,1,"AF-P24001-F1-model_v4","P24001-F1",0.099,0.95,2,71.1900160599572,1.54414504681784,"up_reg",628
"39","ASPM","Q8IZT6",2,639,4,"AF-Q8IZT6-F10-model_v4","Q8IZT6-F10",0.434,0.949,4,62.6404820392025,1.47783628791996,"up_reg",518
"40","CENPE","Q02224",2,0,1,"AF-Q02224-F3-model_v4","Q02224-F3",0.416,0.949,1,70.8415997235899,1.2722314310454,"up_reg",439
"41","LAMA5","O15230",5,3,2,"AF-O15230-F12-model_v4","O15230-F12",0.086,0.946,2,79.2431394807853,2.1981138834585,"up_reg",155
"42","PDE3A","Q14432",2,0,1,"AF-Q14432-F1-model_v4","Q14432-F1",0.272,0.945,3,61.4864284900285,1.81607363202337,"up_reg",371
"43","H2BC13","Q99880",2,1475,19,"AF-Q99880-F1-model_v4","Q99880-F1",0.414,0.944,2,87.4487040816327,1.72393773252377,"up_reg",0
"44","PTGS1","P23219",2,0,1,"AF-P23219-F1-model_v4","P23219-F1",0.142,0.943,1,94.1155716054478,1.69168200144073,"up_reg",3045
"45","SPTBN5","Q9NRC6",2,0,1,"AF-Q9NRC6-F9-model_v4","Q9NRC6-F9",0.088,0.942,1,80.5840741069054,1.85988233420968,"up_reg",17
"46","DNAH3","Q8TD57",7,0,1,"AF-Q8TD57-F14-model_v4","Q8TD57-F14",0.099,0.941,1,85.2511541897445,2.30566321277808,"up_reg",16
"47","H2BC3","P33778",2,269,11,"AF-P33778-F1-model_v4","P33778-F1",0.423,0.941,2,87.6427142857143,1.42922681143819,"up_reg",2
"48","FBLN2","P98095",8,0,1,"AF-P98095-F1-model_v4","P98095-F1",0.228,0.938,1,67.6160731319555,2.43125558612647,"up_reg",74
"49","H2BC12","O60814",2,20,10,"AF-O60814-F1-model_v4","O60814-F1",0.241,0.937,1,88.0577868852459,1.12896591702655,"up_reg",3
"50","RAC3","P60763",2,2787,5,"AF-P60763-F1-model_v4","P60763-F1",0.341,0.937,1,93.8337150466045,1.21321034703389,"up_reg",301
