"","uniprot_gn_id","external_gene_name","cluster","betweenness","degree_centrality","file_id","ID","pocket","druggability","num_drug_pockets","struct_score"
"232","Q685J3","MUC17",3,0,1,"AF-Q685J3-F5-model_v4","Q685J3-F5",0.317,1,7,50.3874125077656
"235","Q685J3","MUC17",3,0,1,"AF-Q685J3-F12-model_v4","Q685J3-F12",0.13,1,3,55.2405705081575
"239","Q685J3","MUC17",3,0,1,"AF-Q685J3-F3-model_v4","Q685J3-F3",0.321,1,5,57.0481037344398
"240","Q685J3","MUC17",3,0,1,"AF-Q685J3-F2-model_v4","Q685J3-F2",0.338,0.999,8,53.7420016594068
"230","Q685J3","MUC17",3,0,1,"AF-Q685J3-F10-model_v4","Q685J3-F10",0.303,0.998,8,57.3136964859542
"236","Q685J3","MUC17",3,0,1,"AF-Q685J3-F11-model_v4","Q685J3-F11",0.223,0.998,4,55.8011703011423
"237","Q685J3","MUC17",3,0,1,"AF-Q685J3-F13-model_v4","Q685J3-F13",0.184,0.998,9,52.1710827629123
"177","Q02224","CENPE",2,0,1,"AF-Q02224-F6-model_v4","Q02224-F6",0.135,0.997,5,72.5524854202401
"231","Q685J3","MUC17",3,0,1,"AF-Q685J3-F7-model_v4","Q685J3-F7",0.253,0.996,7,51.4707361010457
"238","Q685J3","MUC17",3,0,1,"AF-Q685J3-F1-model_v4","Q685J3-F1",0.162,0.996,6,51.8669174632542
"94","P21926","CD9",3,194,6,"AF-P21926-F1-model_v4","P21926-F1",0.063,0.994,1,88.1191475042064
"202","Q14680","MELK",2,0,1,"AF-Q14680-F1-model_v4","Q14680-F1",0.159,0.993,1,70.6437161388783
"233","Q685J3","MUC17",3,0,1,"AF-Q685J3-F6-model_v4","Q685J3-F6",0.273,0.993,5,57.7093163011998
"234","Q685J3","MUC17",3,0,1,"AF-Q685J3-F17-model_v4","Q685J3-F17",0.018,0.993,2,52.4057740764467
"409","Q9UBH6","XPR1",2,0,1,"AF-Q9UBH6-F1-model_v4","Q9UBH6-F1",0.207,0.993,3,83.7337209705373
"146","P52732","KIF11",2,48,4,"AF-P52732-F1-model_v4","P52732-F1",0.141,0.991,1,74.7686384864088
"119","P35354","PTGS2",2,260,2,"AF-P35354-F1-model_v4","P35354-F1",0.262,0.987,1,93.3276978417266
"211","Q15561","TEAD4",2,0,1,"AF-Q15561-F1-model_v4","Q15561-F1",0.243,0.986,2,76.5831209630065
"69","P07148","FABP1",2,0,1,"AF-P07148-F1-model_v4","P07148-F1",-0.023,0.981,1,94.9501004016064
"352","Q9BZC7","ABCA2",2,3430,2,"AF-Q9BZC7-F1-model_v4","Q9BZC7-F1",0.258,0.976,5,72.3389071383449
"37","O43663","PRC1",2,0,1,"AF-O43663-F1-model_v4","O43663-F1",0.226,0.975,2,80.1142706257473
"371","Q9NPE6","SPAG4",2,0,1,"AF-Q9NPE6-F1-model_v4","Q9NPE6-F1",0.378,0.975,1,71.5642399294325
"330","Q96Q89","KIF20B",2,0,2,"AF-Q96Q89-F1-model_v4","Q96Q89-F1",0.232,0.971,4,63.7483354768835
"158","P62807","H2BC10",2,288,12,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221
"159","P62807","H2BC6",2,4200,13,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221
"160","P62807","H2BC8",2,801,12,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221
"161","P62807","H2BC7",2,2530,12,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221
"162","P62807","H2BC4",2,213,9,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221
"175","Q02224","CENPE",2,0,1,"AF-Q02224-F2-model_v4","Q02224-F2",0.126,0.96,2,70.7644444444445
