file_id,uniprot_id,ID,pocket,druggability,num_drug_pockets,struct_score
AF-A6NDP7-F1-model_v4,A6NDP7,A6NDP7-F1,0.25,1,1,86.323099137931
AF-E9PKD4-F1-model_v4,E9PKD4,E9PKD4-F1,0.024,1,1,52.1777035193743
AF-M0QZD8-F10-model_v4,M0QZD8,M0QZD8-F10,0.161,1,5,68.0445303609738
AF-M0QZD8-F8-model_v4,M0QZD8,M0QZD8-F8,0.256,1,8,67.7847503011211
AF-M0QZD8-F9-model_v4,M0QZD8,M0QZD8-F9,0.111,1,9,66.414912199201
AF-O00116-F1-model_v4,O00116,O00116-F1,0.817,1,1,89.1953030598324
AF-O14609-F1-model_v4,O14609,O14609-F1,0.141,1,4,60.2154032889585
AF-O43617-F1-model_v4,O43617,O43617-F1,0.192,1,1,90.5854154929578
AF-O95490-F1-model_v4,O95490,O95490-F1,0.173,1,1,69.2972899068188
AF-O95992-F1-model_v4,O95992,O95992-F1,-0.004,1,1,92.038676731794
AF-P00395-F1-model_v4,P00395,P00395-F1,0.108,1,2,96.1362496897493
AF-P11597-F1-model_v4,P11597,P11597-F1,0.011,1,1,91.4414715805866
AF-P16112-F1-model_v4,P16112,P16112-F1,1.204,1,5,53.5530948754216
AF-P16671-F1-model_v4,P16671,P16671-F1,0.173,1,2,94.1377510040161
AF-P19099-F1-model_v4,P19099,P19099-F1,0.098,1,1,90.130202020202
AF-P21397-F1-model_v4,P21397,P21397-F1,0.402,1,1,96.9742401902497
AF-P25391-F7-model_v4,P25391,P25391-F7,0.103,1,3,76.3553362856352
AF-P49888-F1-model_v4,P49888,P49888-F1,0.122,1,1,97.2009963695038
AF-P51790-F1-model_v4,P51790,P51790-F1,0.476,1,2,80.0069497346238
AF-P58550-F1-model_v4,P58550,P58550-F1,-0.021,1,1,71.77163538874
AF-Q02817-F6-model_v4,Q02817,Q02817-F6,0.595,1,2,59.838326425893
AF-Q02817-F7-model_v4,Q02817,Q02817-F7,4.795,1,3,53.2482505269497
AF-Q03001-F29-model_v4,Q03001,Q03001-F29,0.628,1,3,86.8189890323722
AF-Q15629-F1-model_v4,Q15629,Q15629-F1,0.09,1,2,84.3789078386356
AF-Q685J3-F12-model_v4,Q685J3,Q685J3-F12,0.13,1,3,55.2405705081575
AF-Q685J3-F3-model_v4,Q685J3,Q685J3-F3,0.321,1,5,57.0481037344398
AF-Q685J3-F5-model_v4,Q685J3,Q685J3-F5,0.317,1,7,50.3874125077656
AF-Q6NUT2-F1-model_v4,Q6NUT2,Q6NUT2-F1,0.083,1,3,81.6917430894309
AF-Q6TCH7-F1-model_v4,Q6TCH7,Q6TCH7-F1,0.06,1,1,89.5246346228996
AF-Q6UWP8-F1-model_v4,Q6UWP8,Q6UWP8-F1,0.528,1,3,51.220296728972
AF-Q6ZWL3-F1-model_v4,Q6ZWL3,Q6ZWL3-F1,0.24,1,1,91.2869478850199
AF-Q7KZN9-F1-model_v4,Q7KZN9,Q7KZN9-F1,0.033,1,1,85.1079506933744
AF-Q7Z449-F1-model_v4,Q7Z449,Q7Z449-F1,0.238,1,1,88.501808
AF-Q7Z5P9-F18-model_v4,Q7Z5P9,Q7Z5P9-F18,0.298,1,3,51.4479530771846
AF-Q7Z5P9-F20-model_v4,Q7Z5P9,Q7Z5P9-F20,0.183,1,4,55.3858748577929
AF-Q7Z5P9-F25-model_v4,Q7Z5P9,Q7Z5P9-F25,0.109,1,3,58.2354247324072
AF-Q8N7P7-F1-model_v4,Q8N7P7,Q8N7P7-F1,0.521,1,2,50.7633491404861
AF-Q8TCJ2-F1-model_v4,Q8TCJ2,Q8TCJ2-F1,0.887,1,1,80.5183854402658
AF-Q8TD08-F1-model_v4,Q8TD08,Q8TD08-F1,0.055,1,1,69.3901375711575
AF-Q969W1-F1-model_v4,Q969W1,Q969W1-F1,0.18,1,1,88.1179343942839
AF-Q96RQ9-F1-model_v4,Q96RQ9,Q96RQ9-F1,0.511,1,1,86.8211604326273
AF-Q9H6D3-F1-model_v4,Q9H6D3,Q9H6D3-F1,0.143,1,4,82.4310862014525
AF-Q9HCS2-F1-model_v4,Q9HCS2,Q9HCS2-F1,0.114,1,1,91.2253174976482
AF-Q9NRZ7-F1-model_v4,Q9NRZ7,Q9NRZ7-F1,0.642,1,2,94.9153703099511
AF-Q9NXL6-F1-model_v4,Q9NXL6,Q9NXL6-F1,0.211,1,6,80.4918290288476
AF-Q9UPC5-F1-model_v4,Q9UPC5,Q9UPC5-F1,0.205,1,1,77.8073467401881
AF-A3KFT3-F1-model_v4,A3KFT3,A3KFT3-F1,0.073,0.999,1,85.1275864875865
AF-O43704-F1-model_v4,O43704,O43704-F1,0.493,0.999,1,97.8191419276128
AF-O60341-F1-model_v4,O60341,O60341-F1,0.456,0.999,1,85.127216022015
AF-O60840-F1-model_v4,O60840,O60840-F1,0.17,0.999,5,67.3246816045329
AF-O94956-F1-model_v4,O94956,O94956-F1,0.074,0.999,2,78.8894650817236
AF-P04000-F1-model_v4,P04000,P04000-F1,0.2,0.999,1,82.5083566433566
AF-P11712-F1-model_v4,P11712,P11712-F1,0.133,0.999,1,92.7475115089514
AF-P25101-F1-model_v4,P25101,P25101-F1,0.114,0.999,1,75.1757427483153
AF-P29016-F1-model_v4,P29016,P29016-F1,0.036,0.999,1,90.786004601227
AF-P46089-F1-model_v4,P46089,P46089-F1,0.28,0.999,1,82.1874816924329
AF-P50226-F1-model_v4,P50226,P50226-F1,0.285,0.999,1,96.7244086021505
AF-P78329-F1-model_v4,P78329,P78329-F1,0.146,0.999,1,92.4006892468025
AF-P98187-F1-model_v4,P98187,P98187-F1,0.116,0.999,1,91.2930309473187
AF-Q02505-F11-model_v4,Q02505,Q02505-F11,0.538,0.999,2,51.5640022375915
