"","ensembl_gene_id","external_gene_name"
"1","ENSG00000004468","CD38"
"2","ENSG00000007174","DNAH9"
"3","ENSG00000008226","DLEC1"
"4","ENSG00000010932","FMO1"
"5","ENSG00000012223","LTF"
"6","ENSG00000016490","CLCA1"
"7","ENSG00000022556","NLRP2"
"8","ENSG00000050628","PTGER3"
"9","ENSG00000053524","MCF2L2"
"10","ENSG00000064655","EYA2"
"11","ENSG00000067715","SYT1"
"12","ENSG00000070985","TRPM5"
"13","ENSG00000072195","SPEG"
"14","ENSG00000077274","CAPN6"
"15","ENSG00000078549","ADCYAP1R1"
"16","ENSG00000084674","APOB"
"17","ENSG00000084734","GCKR"
"18","ENSG00000087258","GNAO1"
"19","ENSG00000087589","CASS4"
"20","ENSG00000088881","EBF4"
"21","ENSG00000089199","CHGB"
"22","ENSG00000092051","JPH4"
"23","ENSG00000092529","CAPN3"
"24","ENSG00000096006","CRISP3"
"25","ENSG00000096088","PGC"
"26","ENSG00000099958","DERL3"
"27","ENSG00000100604","CHGA"
"28","ENSG00000100842","EFS"
"29","ENSG00000101098","RIMS4"
"30","ENSG00000101850","GPR143"
"31","ENSG00000101977","MCF2"
"32","ENSG00000102010","BMX"
"33","ENSG00000102057","KCND1"
"34","ENSG00000102230","PCYT1B"
"35","ENSG00000102383","ZDHHC15"
"36","ENSG00000103184","SEC14L5"
"37","ENSG00000103472","RRN3P2"
"38","ENSG00000103647","CORO2B"
"39","ENSG00000105877","DNAH11"
"40","ENSG00000105894","PTN"
"41","ENSG00000106278","PTPRZ1"
"42","ENSG00000107317","PTGDS"
"43","ENSG00000107984","DKK1"
"44","ENSG00000108924","HLF"
"45","ENSG00000108947","EFNB3"
"46","ENSG00000109906","ZBTB16"
"47","ENSG00000111728","ST8SIA1"
"48","ENSG00000113263","ITK"
"49","ENSG00000113805","CNTN3"
"50","ENSG00000114279","FGF12"
"51","ENSG00000114638","UPK1B"
"52","ENSG00000114656","CFAP92"
"53","ENSG00000115523","GNLY"
"54","ENSG00000116824","CD2"
"55","ENSG00000117477","CCDC181"
"56","ENSG00000119698","PPP4R4"
"57","ENSG00000121577","POPDC2"
"58","ENSG00000121753","ADGRB2"
"59","ENSG00000122877","EGR2"
"60","ENSG00000123453","SARDH"
"61","ENSG00000123999","INHA"
"62","ENSG00000124479","NDP"
"63","ENSG00000125122","FBXL9P"
"64","ENSG00000125895","TMEM74B"
"65","ENSG00000125999","BPIFB1"
"66","ENSG00000126218","F10"
"67","ENSG00000126759","CFP"
"68","ENSG00000128596","CCDC136"
"69","ENSG00000129167","TPH1"
"70","ENSG00000129596","CDO1"
"71","ENSG00000130294","KIF1A"
"72","ENSG00000131386","GALNT15"
"73","ENSG00000132031","MATN3"
"74","ENSG00000132639","SNAP25"
"75","ENSG00000132821","VSTM2L"
"76","ENSG00000132840","BHMT2"
"77","ENSG00000133134","BEX2"
"78","ENSG00000134539","KLRD1"
"79","ENSG00000135314","KHDC1"
"80","ENSG00000135472","FAIM2"
"81","ENSG00000135835","KIAA1614"
"82","ENSG00000135914","HTR2B"
"83","ENSG00000136531","SCN2A"
"84","ENSG00000137745","MMP13"
"85","ENSG00000137766","UNC13C"
"86","ENSG00000137860","SLC28A2"
"87","ENSG00000137868","STRA6"
"88","ENSG00000138039","LHCGR"
"89","ENSG00000138115","CYP2C8"
"90","ENSG00000138131","LOXL4"
"91","ENSG00000138722","MMRN1"
"92","ENSG00000139973","SYT16"
"93","ENSG00000140274","DUOXA2"
"94","ENSG00000141469","SLC14A1"
"95","ENSG00000141837","CACNA1A"
"96","ENSG00000143320","CRABP2"
"97","ENSG00000143469","SYT14"
"98","ENSG00000144596","GRIP2"
"99","ENSG00000144712","CAND2"
"100","ENSG00000144847","IGSF11"
"101","ENSG00000144893","MED12L"
"102","ENSG00000145087","STXBP5L"
"103","ENSG00000145649","GZMA"
"104","ENSG00000145794","MEGF10"
"105","ENSG00000146530","VWDE"
"106","ENSG00000148795","CYP17A1"
"107","ENSG00000150471","ADGRL3"
"108","ENSG00000150625","GPM6A"
"109","ENSG00000151360","ALLC"
"110","ENSG00000152207","CYSLTR2"
"111","ENSG00000152292","SH2D6"
"112","ENSG00000152932","RAB3C"
"113","ENSG00000152953","STK32B"
"114","ENSG00000153064","BANK1"
"115","ENSG00000153404","PLEKHG4B"
"116","ENSG00000154016","GRAP"
"117","ENSG00000154319","FAM167A"
"118","ENSG00000154646","TMPRSS15"
"119","ENSG00000154764","WNT7A"
"120","ENSG00000154928","EPHB1"
"121","ENSG00000156234","CXCL13"
"122","ENSG00000157152","SYN2"
"123","ENSG00000157445","CACNA2D3"
"124","ENSG00000157551","KCNJ15"
"125","ENSG00000158683","PKD1L1"
"126","ENSG00000160111","CPAMD8"
"127","ENSG00000160181","TFF2"
"128","ENSG00000160469","BRSK1"
"129","ENSG00000161640","SIGLEC11"
"130","ENSG00000162739","SLAMF6"
"131","ENSG00000162753","SLC9C2"
"132","ENSG00000163116","STPG2"
"133","ENSG00000163606","CD200R1"
