"","external_gene_name","uniprot_gn_id","cluster","betweenness","degree_centrality","logFC","file_id","ID","pocket","druggability","num_drug_pockets","struct_score","base_count","cancer_count","MeSH_count","title_query","ovarian_count","title_count"
"1","SIDT1","Q9NXL6","4",0,1,2.33467034120891,"AF-Q9NXL6-F1-model_v4","Q9NXL6-F1",0.211,1,6,80.4918290288476,24,7,3,3,0,3
"2","ABCA12","Q86UK0","3",0,1,4.86008435253124,"AF-Q86UK0-F1-model_v4","Q86UK0-F1",0.128,0.999,5,68.1765444239899,231,35,21,7,1,7
"3","BPIFA2","Q96DR5","11",0,5,5.49415501947425,"AF-Q96DR5-F1-model_v4","Q96DR5-F1",0.057,0.999,1,61.7753846153846,95,8,6,1,0,1
"4","CD1B","P29016","4",873,3,2.67956789884259,"AF-P29016-F1-model_v4","P29016-F1",0.036,0.999,1,90.786004601227,445,75,41,14,2,14
"5","F2RL2","O00254","4",0,3,3.00750968758896,"AF-O00254-F1-model_v4","O00254-F1",0.106,0.998,4,76.8267676431425,36,19,12,1,0,1
"6","ZDHHC22","Q8N966","69",0,1,3.89222695088054,"AF-Q8N966-F1-model_v4","Q8N966-F1",0.026,0.998,1,88.4223471882641,7,3,2,1,0,1
"7","CENPE","Q02224","4",516,2,3.10189457809109,"AF-Q02224-F6-model_v4","Q02224-F6",0.135,0.997,5,72.5524854202401,445,189,84,68,6,68
"8","KCNK13","Q9HB14","41",0,4,2.25740351836417,"AF-Q9HB14-F1-model_v4","Q9HB14-F1",0.169,0.997,1,74.9018863779033,36,0,0,0,0,0
"9","GABRA3","P34903","4",3,3,4.53006614053743,"AF-P34903-F1-model_v4","P34903-F1",-0.016,0.996,1,77.5765834834062,166,25,19,5,0,5
"10","BPIFB1","Q8TDL5","11",0,4,6.36330212142812,"AF-Q8TDL5-F1-model_v4","Q8TDL5-F1",0.322,0.994,1,88.2841393331526,53,21,13,5,0,5
"11","CENPU","Q71F23","4",70,9,2.98195138385489,"AF-Q71F23-F1-model_v4","Q71F23-F1",0.002,0.994,1,65.518599280144,60,41,23,9,1,9
"12","MELK","Q14680","4",0,1,3.85203192078967,"AF-Q14680-F1-model_v4","Q14680-F1",0.159,0.993,1,70.6437161388783,685,326,209,109,11,109
"13","AKR1B15","C9JRZ8","6",0,1,2.18815650711719,"AF-C9JRZ8-F1-model_v4","C9JRZ8-F1",0.393,0.992,1,97.7242989930287,8,3,0,0,0,0
