"","gene_id","avg_seg_mean"
"A1BG","A1BG",-0.0583427083333333
"A1BG-AS1","A1BG-AS1",-0.0583427083333333
"A1CF","A1CF",0.0153709166666667
"A2M","A2M",0.141150833333333
"A2M-AS1","A2M-AS1",0.141150833333333
"A2ML1","A2ML1",0.143398416666667
"A2ML1-AS1","A2ML1-AS1",0.143577875
"A2ML1-AS2","A2ML1-AS2",0.143398416666667
"A2MP1","A2MP1",0.142066541666667
"A3GALT2","A3GALT2",0.0552888333333333
"A4GALT","A4GALT",-0.231690083333333
"A4GNT","A4GNT",0.196441
"AAAS","AAAS",0.061758
"AACS","AACS",0.00344966666666667
"AACSP1","AACSP1",-0.01185825
"AADAC","AADAC",NA
"AADACL2","AADACL2",0.21497125
"AADACL2-AS1","AADACL2-AS1",0.217163375
"AADACL3","AADACL3",0.00821475
"AADACL4","AADACL4",0.004649875
"AADACP1","AADACP1",0.217218291666667
"AADAT","AADAT",-0.143434333333333
"AAGAB","AAGAB",-0.0496635416666667
"AAK1","AAK1",0.0863961666666667
"AAMDC","AAMDC",0.158954541666667
"AAMP","AAMP",NA
"AANAT","AANAT",0.01137725
"AAR2","AAR2",0.14876
"AARD","AARD",0.251351208333333
"AARS1","AARS1",-0.183849083333333
"AARS1P1","AARS1P1",-0.1297685
"AARS2","AARS2",0.0840494583333333
"AARSD1","AARSD1",-0.160558916666667
"AARSD1P1","AARSD1P1",0.028773125
"AASDH","AASDH",-0.022539625
"AASDHPPT","AASDHPPT",0.036451125
"AASS","AASS",0.112123375
"AATBC","AATBC",-0.0143731666666667
"AATF","AATF",-0.190489333333333
"AATK","AATK",0.0195644583333333
"ABALON","ABALON",0.202855166666667
"ABAT","ABAT",-0.052714625
"ABCA1","ABCA1",-0.0655225833333333
"ABCA10","ABCA10",-0.0106493333333333
"ABCA11P","ABCA11P",NA
"ABCA12","ABCA12",0.040014
"ABCA13","ABCA13",0.0605479166666667
"ABCA15P","ABCA15P",-0.0236459583333333
"ABCA17P","ABCA17P",-0.0762619583333333
"ABCA2","ABCA2",NA
"ABCA3","ABCA3",-0.0765467916666667
"ABCA3P1","ABCA3P1",NA
"ABCA4","ABCA4",0.0381648333333333
"ABCA5","ABCA5",-0.00956020833333333
"ABCA6","ABCA6",-0.0106899166666667
"ABCA7","ABCA7",-0.235461875
"ABCA8","ABCA8",-0.010206125
"ABCA9","ABCA9",-0.0104040833333333
"ABCA9-AS1","ABCA9-AS1",-0.0104040833333333
"ABCB1","ABCB1",0.0964189166666667
"ABCB10","ABCB10",0.148477333333333
"ABCB10P1","ABCB10P1",NA
"ABCB10P3","ABCB10P3",NA
"ABCB10P4","ABCB10P4",NA
"ABCB11","ABCB11",0.084054375
"ABCB4","ABCB4",0.0954328333333333
"ABCB5","ABCB5",0.0258674583333333
"ABCB6","ABCB6",0.0346205833333333
"ABCB7","ABCB7",0.0264509166666667
"ABCB8","ABCB8",0.142257875
"ABCB9","ABCB9",0.0074025
"ABCC1","ABCC1",NA
"ABCC10","ABCC10",0.087083625
"ABCC11","ABCC11",-0.102210125
"ABCC12","ABCC12",-0.1001455
"ABCC13","ABCC13",-0.0225959166666667
"ABCC2","ABCC2",-0.0515118333333333
"ABCC3","ABCC3",-0.0545941666666667
"ABCC4","ABCC4",-0.0438241666666667
"ABCC5","ABCC5",NA
"ABCC5-AS1","ABCC5-AS1",NA
"ABCC6","ABCC6",NA
"ABCC6P1","ABCC6P1",NA
"ABCC6P2","ABCC6P2",NA
"ABCC8","ABCC8",-0.068105375
"ABCC9","ABCC9",0.15880025
"ABCD1","ABCD1",0.0715237083333333
"ABCD1P2","ABCD1P2",NA
"ABCD1P3","ABCD1P3",NA
"ABCD1P4","ABCD1P4",NA
"ABCD1P5","ABCD1P5",NA
"ABCD2","ABCD2",0.101301333333333
"ABCD3","ABCD3",0.0383210416666667
"ABCD4","ABCD4",-0.0491429583333333
"ABCE1","ABCE1",-0.112932958333333
"ABCF1","ABCF1",0.0900789583333333
"ABCF2","ABCF2",0.146070916666667
"ABCF2-H2BK1","ABCF2-H2BK1",0.14612025
"ABCF2P1","ABCF2P1",0.057838
"ABCF2P2","ABCF2P2",NA
"ABCF3","ABCF3",0.268718833333333
"ABCG1","ABCG1",-0.024198125
"ABCG2","ABCG2",-0.147133458333333
"ABCG4","ABCG4",0.0256920416666667
"ABCG5","ABCG5",0.108030958333333
"ABCG8","ABCG8",0.108093958333333
"ABHD1","ABHD1",0.098994875
"ABHD10","ABHD10",0.157016125
"ABHD11","ABHD11",0.0943329166666667
"ABHD12","ABHD12",0.13591475
"ABHD12B","ABHD12B",-0.026871
"ABHD13","ABHD13",-0.0402234583333333
"ABHD14A","ABHD14A",-0.006639875
"ABHD14A-ACY1","ABHD14A-ACY1",-0.00629275
"ABHD14B","ABHD14B",-0.006639875
"ABHD15","ABHD15",-0.176796083333333
"ABHD15-AS1","ABHD15-AS1",-0.176796083333333
"ABHD16A","ABHD16A",NA
"ABHD16B","ABHD16B",NA
"ABHD17A","ABHD17A",-0.243046041666667
"ABHD17AP1","ABHD17AP1",NA
"ABHD17AP3","ABHD17AP3",NA
"ABHD17AP4","ABHD17AP4",NA
"ABHD17AP5","ABHD17AP5",NA
"ABHD17AP6","ABHD17AP6",-0.213205791666667
"ABHD17AP7","ABHD17AP7",NA
"ABHD17AP8","ABHD17AP8",NA
"ABHD17AP9","ABHD17AP9",NA
"ABHD17B","ABHD17B",-0.059401625
"ABHD17C","ABHD17C",-0.0359359166666667
"ABHD18","ABHD18",-0.137165208333333
"ABHD2","ABHD2",-0.00925504166666667
"ABHD3","ABHD3",0.000863
"ABHD4","ABHD4",NA
"ABHD5","ABHD5",-5.55416666666668e-05
"ABHD6","ABHD6",0.0106835416666667
"ABHD8","ABHD8",0.15089625
"ABI1","ABI1",0.07963075
"ABI1P1","ABI1P1",-0.0533375
"ABI2","ABI2",0.06569075
"ABI3","ABI3",-0.064907625
"ABI3BP","ABI3BP",0.121116041666667
"ABITRAM","ABITRAM",-0.0702994583333333
"ABITRAMP1","ABITRAMP1",-0.130963083333333
"ABL1","ABL1",-0.0925524583333333
"ABL2","ABL2",0.154906875
"ABLIM1","ABLIM1",0.00644779166666667
"ABLIM2","ABLIM2",-0.023949
"ABLIM3","ABLIM3",-0.019402375
"ABO","ABO",-0.095521375
"ABR","ABR",-0.121642708333333
"ABR-AS1","ABR-AS1",NA
"ABRA","ABRA",0.211650583333333
"ABRACL","ABRACL",-0.117240208333333
"ABRAXAS1","ABRAXAS1",-0.123837208333333
"ABRAXAS2","ABRAXAS2",0.0353574166666667
"ABT1","ABT1",0.0921520833333333
"ABT1P1","ABT1P1",-0.167268125
"ABTB1","ABTB1",0.152035541666667
"ABTB2","ABTB2",0.0101730416666667
"ABTB3","ABTB3",-0.0116612916666667
"ACAA1","ACAA1",0.0118688333333333
"ACAA2","ACAA2",-0.109852375
"ACAA2P1","ACAA2P1",0.0478421666666667
"ACACA","ACACA",-0.1906875
"ACACB","ACACB",0.0077985
"ACAD10","ACAD10",0.007778
"ACAD11","ACAD11",0.166183458333333
"ACAD8","ACAD8",0.00644904166666667
"ACAD9","ACAD9",0.154808375
"ACAD9-DT","ACAD9-DT",0.154808375
"ACADL","ACADL",0.0506044583333333
"ACADM","ACADM",0.0309480416666667
"ACADS","ACADS",0.0103535833333333
"ACADSB","ACADSB",0.0232697083333333
"ACADVL","ACADVL",-0.147963541666667
"ACAN","ACAN",-0.01622
"ACAP1","ACAP1",-0.148653041666667
"ACAP2","ACAP2",0.237075458333333
"ACAP2-IT1","ACAP2-IT1",0.237127583333333
"ACAP3","ACAP3",NA
"ACAT1","ACAT1",0.0230812083333333
"ACAT2","ACAT2",-0.14266625
"ACBD3","ACBD3",0.146302416666667
"ACBD3-AS1","ACBD3-AS1",0.1462435
"ACBD4","ACBD4",-0.129845416666667
"ACBD5","ACBD5",0.080408125
"ACBD6","ACBD6",0.158802583333333
"ACBD7","ACBD7",0.0907486666666667
"ACCS","ACCS",0.00552275
"ACCSL","ACCSL",0.000134666666666667
"ACD","ACD",-0.19713
"ACE","ACE",-0.0193573333333333
"ACE2","ACE2",NA
"ACE2-DT","ACE2-DT",-0.035424125
"ACE3P","ACE3P",-0.020558375
"ACER1","ACER1",-0.129680041666667
"ACER2","ACER2",-0.0310555
"ACER2P1","ACER2P1",0.0578815833333333
"ACER3","ACER3",0.1466245
"ACHE","ACHE",0.106252416666667
"ACIN1","ACIN1",0.0111225833333333
"ACKR1","ACKR1",0.163426458333333
"ACKR2","ACKR2",0.00613675
"ACKR3","ACKR3",0.0148942916666667
"ACKR4","ACKR4",0.169186666666667
"ACKR4P1","ACKR4P1",NA
"ACLY","ACLY",-0.165732291666667
"ACMSD","ACMSD",0.0232483333333333
"ACNATP","ACNATP",-0.0736572083333333
"ACO1","ACO1",-0.0186805833333333
"ACO2","ACO2",-0.199315875
"ACOD1","ACOD1",-0.0792512083333333
"ACOT1","ACOT1",NA
