"","gene_id","avg_seg_mean"
"A1BG","A1BG",-0.0583427083333333
"A1BG-AS1","A1BG-AS1",-0.0584186381691527
"A1CF","A1CF",0.0141798228263405
"A2M","A2M",0.138691847979453
"A2M-AS1","A2M-AS1",0.141150833333333
"A2ML1","A2ML1",0.140234203817382
"A2ML1-AS1","A2ML1-AS1",0.141804332130649
"A2ML1-AS2","A2ML1-AS2",0.143398416666667
"A2MP1","A2MP1",0.141102334372926
"A3GALT2","A3GALT2",0.0548390340592158
"A4GALT","A4GALT",-0.229905200675192
"A4GNT","A4GNT",0.188291558829244
"AAAS","AAAS",0.061758
"AACS","AACS",0.00254766476791894
"AACSP1","AACSP1",-0.011440300252826
"AADAC","AADAC",NA
"AADACL2","AADACL2",0.215726401492493
"AADACL2-AS1","AADACL2-AS1",0.208543439595723
"AADACL3","AADACL3",0.00330240944598231
"AADACL4","AADACL4",0.00392853295423403
"AADACP1","AADACP1",0.217249481558275
"AADAT","AADAT",-0.143113628038963
"AAGAB","AAGAB",-0.0505375175531876
"AAK1","AAK1",0.0837255788095222
"AAMDC","AAMDC",0.155201044353005
"AAMP","AAMP",NA
"AANAT","AANAT",0.0117028534701987
"AAR2","AAR2",0.149234439984604
"AARD","AARD",0.254452528123444
"AARS1","AARS1",-0.182888509745206
"AARS1P1","AARS1P1",-0.1297685
"AARS2","AARS2",0.0841149979474754
"AARSD1","AARSD1",-0.16063678680039
"AARSD1P1","AARSD1P1",0.028773125
"AASDH","AASDH",-0.0220683963839444
"AASDHPPT","AASDHPPT",0.0361939861979031
"AASS","AASS",0.109368763439747
"AATBC","AATBC",-0.01433688810192
"AATF","AATF",-0.190457584010385
"AATK","AATK",0.0226543106645677
"ABALON","ABALON",0.202855166666667
"ABAT","ABAT",-0.0526228071734497
"ABCA1","ABCA1",-0.0675437594063483
"ABCA10","ABCA10",-0.0102613424424435
"ABCA11P","ABCA11P",NA
"ABCA12","ABCA12",0.0388363668027634
"ABCA13","ABCA13",NA
"ABCA15P","ABCA15P",-0.0237328638861226
"ABCA17P","ABCA17P",-0.0764550679120105
"ABCA2","ABCA2",NA
