"ensembl_gene_id","external_gene_name","description","gene_biotype","logFC","logCPM","F","PValue","FDR"
"ENSG00000000460","FIRRM","FIGNL1 interacting regulator of recombination and mitosis ","protein_coding",0.631612805732388,4.35560338982507,8.18876638266784,0.00646621569062716,0.039189584916525
"ENSG00000000971","CFH","complement factor H ","protein_coding",1.51486918046049,7.34326799638475,6.00433866928335,0.0183826529011933,0.0791283367363398
"ENSG00000001461","NIPAL3","NIPA like domain containing 3 ","protein_coding",-0.270369912827842,6.30400314718388,5.43465908360496,0.0244600486266973,0.0958630394440202
"ENSG00000001617","SEMA3F","semaphorin 3F ","protein_coding",1.03975038451171,4.97612814995795,7.373848428882,0.00946748058945851,0.0506918879762913
"ENSG00000002586","CD99","CD99 molecule (Xg blood group) ","protein_coding",1.06467417064936,5.73026837540292,21.2124736246844,3.59456343150051e-05,0.00185781516242657
"ENSG00000002822","MAD1L1","mitotic arrest deficient 1 like 1 ","protein_coding",0.450894326511463,4.5075115166377,5.34856711511901,0.0255531115727137,0.0985894416173777
"ENSG00000002834","LASP1","LIM and SH3 protein 1 ","protein_coding",0.90568755581582,8.73320906765957,5.3141571606291,0.0260045660294802,0.0995570898530897
"ENSG00000003147","ICA1","islet cell autoantigen 1 ","protein_coding",-0.60359047951353,6.58707288551253,5.77248466603971,0.0206334639929814,0.0853847960899439
"ENSG00000003249","DBNDD1","dysbindin domain containing 1 ","protein_coding",1.30969364422949,3.21445453222483,15.5340331687323,0.000291211709990104,0.00555729013231115
"ENSG00000003393","ALS2","alsin Rho guanine nucleotide exchange factor ALS2 ","protein_coding",-0.355814361651606,6.6489824804245,7.01976742739654,0.0112069765955321,0.0570586750580276
"ENSG00000003989","SLC7A2","solute carrier family 7 member 2 ","protein_coding",1.41130760706789,6.59807080433847,5.76961021735537,0.020663162715053,0.0854839291310629
"ENSG00000004059","ARF5","ADP ribosylation factor 5 ","protein_coding",0.509509921185499,5.35555786380352,9.34353132265504,0.00382432888055489,0.0280557591853423
"ENSG00000004142","POLDIP2","DNA polymerase delta interacting protein 2 ","protein_coding",0.683579994772785,6.16569091232742,12.8574937545308,0.000848161363819799,0.0107263227701425
"ENSG00000004399","PLXND1","plexin D1 ","protein_coding",0.983393372834429,5.86601817482402,8.91351111934344,0.00464131020318504,0.0316601828853168
"ENSG00000004478","FKBP4","FKBP prolyl isomerase 4 ","protein_coding",0.783969129580577,7.07956515955151,13.2846748206259,0.000712121630037411,0.00953231156754214
"ENSG00000004487","KDM1A","lysine demethylase 1A ","protein_coding",0.478745610795741,6.74589998527128,8.81784572786039,0.00484709095757264,0.032411926731118
"ENSG00000004777","ARHGAP33","Rho GTPase activating protein 33 ","protein_coding",1.31707721251186,1.88332156083074,10.8064778735786,0.00201439589716151,0.018775380669536
