"TARGETID","all_target_genes","uniprotswissprot","INDICATION","DRUGTYPE","UNIPROID","TARGNAME","TARGTYPE"
"T00140","ALOX5","P09917","Nasopharyngeal carcinoma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Solid tumour/cancer","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Non-small-cell lung cancer","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00884","CXCR1","P25024","Solid tumour/cancer","Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T01318","Malaria DHOdehase",NA,"Nasopharyngeal carcinoma","Small molecular drug","PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,"Non-small-cell lung cancer","Small molecular drug","PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T02246",NA,NA,"Solid tumour/cancer","Small molecular drug","NOUNIPROTAC","Iron (Fe)","Successful target"
"T02551","DRD3","P35462","Nasopharyngeal carcinoma","Small molecular drug","DRD3_HUMAN","Dopamine D3 receptor (D3R)","Successful target"
"T03346","IL4R","P24394","Solid tumour/cancer","Small molecular drug","IL4RA_HUMAN","Interleukin 4 receptor alpha (IL4R)","Successful target"
"T03661","ADA","P00813","Hairy cell leukaemia","Small molecular drug","ADA_HUMAN","Adenosine deaminase (ADA)","Successful target"
"T03691","LTA4H","P09960","Acute myeloid leukaemia","Small molecular drug","LKHA4_HUMAN","Leukotriene A-4 hydrolase (LTA4H)","Successful target"
"T03917","ATP1A1; ATP1A2; ATP1A3; ATP1B1; ATP1B2; ATP1B3",NA,"Solid tumour/cancer","Small molecular drug","AT1A1_HUMAN; AT1A2_HUMAN; AT1A3_HUMAN; AT1B1_HUMAN; AT1B2_HUMAN; AT1B3_HUMAN","Sodium/potassium-transporting ATPase (SPT ATPase)","Successful target"
"T05849","CCKBR","P32239","Intestine cancer","Small molecular drug","GASR_HUMAN","Gastrin/cholecystokinin type B receptor (CCKBR)","Successful target"
"T05849","CCKBR","P32239","Solid tumour/cancer","Small molecular drug","GASR_HUMAN","Gastrin/cholecystokinin type B receptor (CCKBR)","Successful target"
"T06273","PARP1","P09874","Prostate cancer","Small molecule","PARP1_HUMAN","Poly [ADP-ribose] polymerase 1 (PARP1)","Successful target"
"T06273","PARP1","P09874","Acute myeloid leukaemia","Small molecular drug","PARP1_HUMAN","Poly [ADP-ribose] polymerase 1 (PARP1)","Successful target"
"T06273","PARP1","P09874","Peritoneal cancer","Small molecular drug","PARP1_HUMAN","Poly [ADP-ribose] polymerase 1 (PARP1)","Successful target"
"T06273","PARP1","P09874","Fallopian tube cancer","Small molecular drug","PARP1_HUMAN","Poly [ADP-ribose] polymerase 1 (PARP1)","Successful target"
"T06273","PARP1","P09874","Ovarian cancer","Small molecular drug","PARP1_HUMAN","Poly [ADP-ribose] polymerase 1 (PARP1)","Successful target"
"T06273","PARP1","P09874","Solid tumour/cancer","Small molecular drug","PARP1_HUMAN","Poly [ADP-ribose] polymerase 1 (PARP1)","Successful target"
"T06569","CA6","P23280","Solid tumour/cancer","Small molecular drug","CAH6_HUMAN","Carbonic anhydrase VI (CA-VI)","Successful target"
"T06569","CA6","P23280","Breast cancer","Small molecular drug","CAH6_HUMAN","Carbonic anhydrase VI (CA-VI)","Successful target"
"T06955","CCR4","P51679","Solid tumour/cancer","Small molecular drug","CCR4_HUMAN","C-C chemokine receptor type 4 (CCR4)","Successful target"
"T07173","NTRK1","P04629","Non-small-cell lung cancer","Small molecular drug","NTRK1_HUMAN","Tropomyosin-related kinase A (TrkA)","Successful target"
"T07173","NTRK1","P04629","Mammary analogue secretory carcinoma","Small molecular drug","NTRK1_HUMAN","Tropomyosin-related kinase A (TrkA)","Successful target"
"T07173","NTRK1","P04629","Solid tumour/cancer","Small molecular drug","NTRK1_HUMAN","Tropomyosin-related kinase A (TrkA)","Successful target"
"T07173","NTRK1","P04629","Colorectal cancer","Small molecular drug","NTRK1_HUMAN","Tropomyosin-related kinase A (TrkA)","Successful target"
"T07303","FLT4","P35916","Renal cell carcinoma","Small molecular drug","VGFR3_HUMAN","Vascular endothelial growth factor receptor 3 (FLT-4)","Successful target"
"T07303","FLT4","P35916","Hepatocellular carcinoma","Small molecular drug","VGFR3_HUMAN","Vascular endothelial growth factor receptor 3 (FLT-4)","Successful target"
"T07303","FLT4","P35916","Prostate cancer","Small molecular drug","VGFR3_HUMAN","Vascular endothelial growth factor receptor 3 (FLT-4)","Successful target"
"T07303","FLT4","P35916","Solid tumour/cancer","Small molecular drug","VGFR3_HUMAN","Vascular endothelial growth factor receptor 3 (FLT-4)","Successful target"
"T07663","PDE5A","O76074","Colorectal cancer","Small molecular drug","PDE5A_HUMAN","Phosphodiesterase 5A (PDE5A)","Successful target"
"T08391","JAK2","O60674","Breast cancer","Small molecular drug","JAK2_HUMAN","Janus kinase 2 (JAK-2)","Successful target"
"T08391","JAK2","O60674","Solid tumour/cancer","Small molecular drug","JAK2_HUMAN","Janus kinase 2 (JAK-2)","Successful target"
"T08391","JAK2","O60674","Non-small-cell lung cancer","Small molecular drug","JAK2_HUMAN","Janus kinase 2 (JAK-2)","Successful target"
"T08391","JAK2","O60674","Malignant neoplasm","Small molecular drug","JAK2_HUMAN","Janus kinase 2 (JAK-2)","Successful target"
"T08391","JAK2","O60674","leukaemia","Small molecular drug","JAK2_HUMAN","Janus kinase 2 (JAK-2)","Successful target"
"T08391","JAK2","O60674","Pancreatic cancer","Small molecular drug","JAK2_HUMAN","Janus kinase 2 (JAK-2)","Successful target"
"T08391","JAK2","O60674","Myeloproliferative neoplasm","Small molecular drug","JAK2_HUMAN","Janus kinase 2 (JAK-2)","Successful target"
"T08391","JAK2","O60674","Liver cancer","Small molecular drug","JAK2_HUMAN","Janus kinase 2 (JAK-2)","Successful target"
"T09130",NA,NA,"Breast cancer","Small molecular drug","NOUNIPROTAC","Muscarinic acetylcholine receptor (CHRM)","Successful target"
"T09538","ALPL","P05186","Colon cancer","Small molecular drug","PPBT_HUMAN","Alkaline phosphatase tissue-nonspecific (ALPL)","Successful target"
"T09826","TOP1","P11387","Solid tumour/cancer","Small molecular drug","TOP1_HUMAN","DNA topoisomerase I (TOP1)","Successful target"
"T09826","TOP1","P11387","Neoplasm","Small molecular drug","TOP1_HUMAN","DNA topoisomerase I (TOP1)","Successful target"
"T09826","TOP1","P11387","Gastric adenocarcinoma","Small molecular drug","TOP1_HUMAN","DNA topoisomerase I (TOP1)","Successful target"
"T09826","TOP1","P11387","Breast cancer","Small molecular drug","TOP1_HUMAN","DNA topoisomerase I (TOP1)","Successful target"
"T09826","TOP1","P11387","Metastatic colorectal cancer","Small molecular drug","TOP1_HUMAN","DNA topoisomerase I (TOP1)","Successful target"
"T09826","TOP1","P11387","Esophageal cancer","Small molecular drug","TOP1_HUMAN","DNA topoisomerase I (TOP1)","Successful target"
"T09826","TOP1","P11387","Bladder cancer","Small molecular drug","TOP1_HUMAN","DNA topoisomerase I (TOP1)","Successful target"
"T09826","TOP1","P11387","Colorectal cancer","Small molecular drug","TOP1_HUMAN","DNA topoisomerase I (TOP1)","Successful target"
"T09826","TOP1","P11387","Small-cell lung cancer","Small molecular drug","TOP1_HUMAN","DNA topoisomerase I (TOP1)","Successful target"
"T09826","TOP1","P11387","Ovarian cancer","Small molecular drug","TOP1_HUMAN","DNA topoisomerase I (TOP1)","Successful target"
"T09826","TOP1","P11387","Lung cancer","Small molecular drug","TOP1_HUMAN","DNA topoisomerase I (TOP1)","Successful target"
"T11211","AR","P10275","Prostate cancer","Small molecular drug","ANDR_HUMAN","Androgen receptor (AR)","Successful target"
"T11211","AR","P10275","Mammary tumour","Small molecular drug","ANDR_HUMAN","Androgen receptor (AR)","Successful target"
"T11211","AR","P10275","Acute myeloid leukaemia","Small molecular drug","ANDR_HUMAN","Androgen receptor (AR)","Successful target"
"T11211","AR","P10275","Prostate cancer","Small molecule","ANDR_HUMAN","Androgen receptor (AR)","Successful target"
