"TARGETID","all_target_genes","uniprotswissprot","DRUGNAME","INDICATION","DRUGTYPE","UNIPROID","TARGNAME","TARGTYPE"
"T00140","ALOX5","P09917","WY-28342","Rheumatoid arthritis",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","WY-50295-tromethamine","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","CMI-206","Inflammation",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","PTC299","Rheumatoid arthritis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","E-6700","Asthma",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Linetastine","Rhinitis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","ZD-7717","Asthma",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","CGS-26529","Inflammation",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Sch-40120","Pruritus","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","BU-4601A","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","FPL-62064","Inflammation","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","5,8-Dihydroxy-1,4-naphthoquinone","Malaria","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","A-80263","Inflammation",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","CD-581","Atopic dermatitis",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","R zileuton","Asthma",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","UCB-35440","Rhinitis",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Ibuproxam","Respiratory disease","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","BIM23A760","Acromegaly","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","KC-11404","Asthma",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Darbufelone","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Tipelukast","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","3,4-Dihydroxycinnamic Acid","Thrombocytopenia","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","A-79175","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","BIM23A760","Carcinoid syndrome","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","A-78773","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","PF-4191834","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
