"","uniprotswissprot","external_gene_name","description","druggability","Fpocket_method","CP_score","PocketMiner_method","highest_score","source"
"1","A0A024R1R8","TMA7B","translation machinery associated 7 homolog B",0.637,"AF",0,NA,0.637,"AF"
"2","A0A024RBG1","NUDT4B","nudix hydrolase 4B",0.973,"AF",0.933519047619048,"AF",0.973,"AF"
"3","A0A024RCN7",NA,NA,0.699,"AF",0,NA,0.699,"AF"
"4","A0A075B6H5",NA,NA,0.159,"AF",0.876995238095238,"AF",0.876995238095238,"AF"
"5","A0A075B6H7","IGKV3-7","immunoglobulin kappa variable 3-7 (non-functional)",0.677,"AF",0.759607692307692,"AF",0.759607692307692,"AF"
"6","A0A075B6H8","IGKV1D-42","immunoglobulin kappa variable 1D-42 (non-functional)",0.348,"AF",0.41335625,"AF",0.41335625,"AF"
"7","A0A075B6H9","IGLV4-69","immunoglobulin lambda variable 4-69",0.425,"AF",0.537990476190476,"AF",0.537990476190476,"AF"
"8","A0A075B6I0","IGLV8-61","immunoglobulin lambda variable 8-61",0.157,"AF",0.370594117647059,"AF",0.370594117647059,"AF"
"9","A0A075B6I1","IGLV4-60","immunoglobulin lambda variable 4-60",0.452,"AF",0.947421052631579,"AF",0.947421052631579,"AF"
"10","A0A075B6I3","IGLV11-55","immunoglobulin lambda variable 11-55 (non-functional)",0.047,"AF",0.470152380952381,"AF",0.470152380952381,"AF"
"11","A0A075B6I4","IGLV10-54","immunoglobulin lambda variable 10-54",0.039,"AF",0.377257142857143,"AF",0.377257142857143,"AF"
"12","A0A075B6I6","IGLV1-50","immunoglobulin lambda variable 1-50 (non-functional)",0.309,"AF",0.140033333333333,"AF",0.309,"AF"
"13","A0A075B6I7","IGLV5-48","immunoglobulin lambda variable 5-48 (non-functional)",0.519,"AF",0.250228888888889,"AF",0.519,"AF"
"14","A0A075B6I9","IGLV7-46","immunoglobulin lambda variable 7-46",0.621,"AF",0.479657142857143,"AF",0.621,"AF"
"15","A0A075B6J1","IGLV5-37","immunoglobulin lambda variable 5-37",0.277,"AF",0.213319047619048,"AF",0.277,"AF"
"16","A0A075B6J2","IGLV2-33","immunoglobulin lambda variable 2-33 (non-functional)",0.404,"AF",0.825518181818182,"AF",0.825518181818182,"AF"
"17","A0A075B6J6","IGLV3-22","immunoglobulin lambda variable 3-22",0.106,"AF",0.367172727272727,"AF",0.367172727272727,"AF"
"18","A0A075B6J9","IGLV2-18","immunoglobulin lambda variable 2-18",0.467,"AF",0.690309523809524,"AF",0.690309523809524,"AF"
"19","A0A075B6K0","IGLV3-16","immunoglobulin lambda variable 3-16",0.248,"AF",0.114857857142857,"AF",0.248,"AF"
"20","A0A075B6K2","IGLV3-12","immunoglobulin lambda variable 3-12",0.096,"AF",0.233572727272727,"AF",0.233572727272727,"AF"
"21","A0A075B6K4","IGLV3-10","immunoglobulin lambda variable 3-10",0.28,"AF",0.815347619047619,"AF",0.815347619047619,"AF"
"22","A0A075B6K5","IGLV3-9","immunoglobulin lambda variable 3-9",0.701,"AF",0.716190909090909,"AF",0.716190909090909,"AF"
"23","A0A075B6K6","IGLV4-3","immunoglobulin lambda variable 4-3",0.123,"AF",0.5776,"AF",0.5776,"AF"
"24","A0A075B6L2","TRGV11","T cell receptor gamma variable 11 (non-functional)",0.612,"AF",0.177366666666667,"AF",0.612,"AF"
"25","A0A075B6L6","TRBV7-3","T cell receptor beta variable 7-3",0.189,"AF",0.653580952380952,"AF",0.653580952380952,"AF"
"26","A0A075B6N1","TRBV19","T cell receptor beta variable 19",0.576,"AF",0.152890909090909,"AF",0.576,"AF"
"27","A0A075B6N2","TRBV20-1","T cell receptor beta variable 20-1",0.391,"AF",0.986266666666667,"AF",0.986266666666667,"AF"
"28","A0A075B6N3","TRBV24-1","T cell receptor beta variable 24-1",0.231,"AF",0.591838095238095,"AF",0.591838095238095,"AF"
"29","A0A075B6N4","TRBV25-1","T cell receptor beta variable 25-1",0.437,"AF",0.674152380952381,"AF",0.674152380952381,"AF"
"30","A0A075B6P5","IGKV2-28","immunoglobulin kappa variable 2-28",0.577,"AF",0.905142857142857,"AF",0.905142857142857,"AF"
"31","A0A075B6Q5","IGHV3-64","immunoglobulin heavy variable 3-64",0.906,"AF",0.231185714285714,"AF",0.906,"AF"
"32","A0A075B6R0","TRGV2","T cell receptor gamma variable 2",0.618,"AF",0.887963636363636,"AF",0.887963636363636,"AF"
"33","A0A075B6R2","IGHV4-4","immunoglobulin heavy variable 4-4",0.205,"AF",0.667163636363636,"AF",0.667163636363636,"AF"
"34","A0A075B6R9","IGKV2D-24","immunoglobulin kappa variable 2D-24 (non-functional)",0.267,"AF",0.722223809523809,"AF",0.722223809523809,"AF"
"35","A0A075B6S2","IGKV2D-29","immunoglobulin kappa variable 2D-29",0.524,"AF",0.53427619047619,"AF",0.53427619047619,"AF"
