"TARGETID","all_target_genes","uniprotswissprot","INDICATION","DRUGTYPE","UNIPROID","TARGNAME","TARGTYPE"
"T00140","ALOX5","P09917","Chronic obstructive pulmonary disease",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917",NA,NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Nasopharyngeal carcinoma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Chronic obstructive pulmonary disease","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Pruritus","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Solid tumour/cancer","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Psoriasis vulgaris",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Non-small-cell lung cancer","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Rhinitis",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Pain","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Dermatitis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Thrombosis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Acromegaly","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Atopic dermatitis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Carcinoid syndrome","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Respiratory disease","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Inflammation",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Rheumatoid arthritis",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Idiopathic pulmonary fibrosis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Arthritis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Allergy","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Fungal infection","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Arthritis",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Lymphatic filariasis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Osteoarthritis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Rhinitis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917",NA,"Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Arteriosclerosis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Discovery agent",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Asthma",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Cardiac disease","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Psoriasis vulgaris","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Inflammation","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Atopic dermatitis",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
