"uniprot_id","druggability","struct_score","Fpocket_method","CP_score","PocketMiner_method","highest_score","source"
"A6NDP7",1,86.323099137931,"AF",0.686954545454545,"AF",1,"AF"
"E9PKD4",1,52.1777035193743,"AF",0.180454545454545,"AF",1,"AF"
"M0QZD8",1,68.0445303609738,"AF",0.905171428571429,"AF",1,"AF"
"O00116",1,88.5004370629371,"SM",0.702195238095238,"SM",1,"SM"
"O00555",1,62.8770755398044,"SM",0.516333333333333,"SM",1,"SM"
"O14609",1,60.2154032889585,"AF",0.424966666666667,"AF",1,"AF"
"O43617",1,90.5854154929578,"AF",0.217880952380952,"AF",1,"AF"
"O60341",1,88.0755078574166,"SM",0.423957142857143,"SM",1,"SM"
"O95490",1,69.2972899068188,"AF",0.487685714285714,"SM",1,"AF"
"O95992",1,92.038676731794,"AF",0.937142857142857,"AF",1,"AF"
"P00395",1,96.1362496897493,"AF",0.321915789473684,"AF",1,"AF"
"P05120",1,81.1514592933948,"SM",0.363919047619048,"AF",1,"SM"
"P11597",1,91.4414715805866,"AF",0.742828571428571,"AF",1,"AF"
"P14920",1,88.1970588235294,"SM",0.31422380952381,"AF",1,"SM"
"P16112",1,53.5530948754216,"AF",0.752366666666667,"SM",1,"AF"
"P16671",1,94.1377510040161,"AF",0.337966666666667,"SM",1,"AF"
"P19099",1,89.1639989504067,"SM",0.666445454545455,"SM",1,"SM"
"P21397",1,96.9742401902497,"AF",0.6051,"AF",1,"AF"
"P25391",1,76.3553362856352,"AF",0.6992,"SM",1,"AF"
"P27338",1,92.3504402515723,"SM",0.447033333333333,"SM",1,"SM"
"P43007",1,78.8096392846317,"SM",0.476928571428571,"SM",1,"SM"
"P49888",1,97.2009963695038,"AF",0.234209090909091,"SM",1,"AF"
"P51790",1,80.0069497346238,"AF",0.960338095238095,"AF",1,"AF"
"P58550",1,71.77163538874,"AF",0.708236363636364,"AF",1,"AF"
"Q02817",1,59.838326425893,"AF",0.864528571428571,"AF",1,"AF"
"Q03001",1,86.8189890323722,"AF",0.961480952380952,"AF",1,"AF"
"Q09428",1,71.7825213056762,"SM",0.202438095238095,"SM",1,"SM"
"Q15629",1,84.3789078386356,"AF",0.138754545454545,"AF",1,"AF"
"Q1EHB4",1,75.5208195637806,"SM",0.314247619047619,"AF",1,"SM"
"Q685J3",1,55.2405705081575,"AF",0.881714285714286,"AF",1,"AF"
"Q6NUT2",1,81.6917430894309,"AF",0.865752380952381,"AF",1,"AF"
"Q6TCH7",1,89.5246346228996,"AF",0.704614285714286,"AF",1,"AF"
"Q6UWP8",1,51.220296728972,"AF",0.551652380952381,"AF",1,"AF"
"Q6ZWL3",1,91.2869478850199,"AF",0.826766666666667,"AF",1,"AF"
"Q7KZN9",1,85.1079506933744,"AF",0.152290952380952,"AF",1,"AF"
"Q7Z449",1,88.501808,"AF",0.6767,"AF",1,"AF"
"Q7Z5P9",1,51.4479530771846,"AF",0.949314285714286,"AF",1,"AF"
"Q7Z7J7",1,68.3474341192788,"SM",0.340319047619048,"AF",1,"SM"
"Q86V24",1,79.4286345558992,"SM",0.270776190476191,"SM",1,"SM"
"Q8N7P7",1,50.7633491404861,"AF",0.915780952380952,"AF",1,"AF"
"Q8TCJ2",1,80.5183854402658,"AF",0.187495238095238,"AF",1,"AF"
"Q8TD08",1,69.3901375711575,"AF",0.261257142857143,"SM",1,"AF"
"Q969W1",1,88.1179343942839,"AF",0.644766666666667,"AF",1,"AF"
"Q96RQ9",1,86.8211604326273,"AF",0.728004761904762,"AF",1,"AF"
"Q9H6D3",1,82.4310862014525,"AF",0.81652380952381,"SM",1,"AF"
"Q9HCS2",1,91.2253174976482,"AF",0.441809523809524,"AF",1,"AF"
"Q9NRZ7",1,94.9153703099511,"AF",0.08325,"AF",1,"AF"
"Q9NXL6",1,80.4918290288476,"AF",0.871819047619048,"AF",1,"AF"
"Q9NYQ3",1,84.8200371057514,"SM",0.409842857142857,"AF",1,"SM"
"Q9UNN8",1,86.1472045293701,"SM",0.823954545454545,"SM",1,"SM"
"Q9UPC5",1,77.8073467401881,"AF",0.764090476190476,"AF",1,"AF"
"Q9UPR5",1,66.803730017762,"SM",0.646723809523809,"AF",1,"SM"
"A3KFT3",0.999,85.1275864875865,"AF",0.452318181818182,"AF",0.999,"AF"
"O43704",0.999,97.8191419276128,"AF",0.658119047619048,"SM",0.999,"AF"
"O60706",0.999,67.7397137014315,"SM",0.650728571428571,"SM",0.999,"SM"
"O60840",0.999,67.3246816045329,"AF",0.403719047619048,"SM",0.999,"AF"
"O94956",0.999,78.8894650817236,"AF",0.524336363636364,"AF",0.999,"AF"
"O95180",0.999,58.8297794480715,"AF",0.641452380952381,"SM",0.999,"AF"
"P01008",0.999,80.5061547479484,"SM",0.127065238095238,"AF",0.999,"SM"
"P04000",0.999,82.5083566433566,"AF",0.907257142857143,"SM",0.999,"AF"
"P11712",0.999,92.7475115089514,"AF",0.851685714285714,"SM",0.999,"AF"
"P22670",0.999,60.8896990646604,"AF",0.389819047619048,"AF",0.999,"AF"
"P25101",0.999,75.1757427483153,"AF",0.613761111111111,"AF",0.999,"AF"
"P29016",0.999,90.786004601227,"AF",0.929338095238095,"AF",0.999,"AF"
"P29017",0.999,81.9675799086758,"SM",0.915233333333333,"AF",0.999,"SM"
"P35499",0.999,66.4445334109768,"SM",0.689795238095238,"SM",0.999,"SM"
"P40939",0.999,81.8431904503527,"SM",0.13976,"SM",0.999,"SM"
"P46089",0.999,82.1874816924329,"AF",0.390361904761905,"AF",0.999,"AF"
"P46095",0.999,75.2642156862745,"SM",0.930242857142857,"AF",0.999,"SM"
"P49815",0.999,69.3458166024748,"SM",0.340438095238095,"AF",0.999,"SM"
"P50225",0.999,92.6186224489796,"SM",0.491861904761905,"SM",0.999,"SM"
"P50226",0.999,96.7244086021505,"AF",0.237431904761905,"SM",0.999,"AF"
"P59541",0.999,78.615763546798,"SM",0.219880952380952,"AF",0.999,"SM"
"P78329",0.999,92.4006892468025,"AF",0.617619047619048,"AF",0.999,"AF"
"P98187",0.999,91.2930309473187,"AF",0.849242857142857,"AF",0.999,"AF"
"Q02505",0.999,51.5640022375915,"AF",0.706880952380952,"AF",0.999,"AF"
"Q05940",0.999,70.6940170940171,"SM",0.637545454545455,"AF",0.999,"SM"
"Q12816",0.999,50.0885673295736,"AF",0.45982380952381,"AF",0.999,"AF"
"Q14108",0.999,90.4637909319899,"SM",0.672236363636364,"AF",0.999,"SM"
"Q14524",0.999,63.5592605272167,"SM",0.971614285714286,"AF",0.999,"SM"
"Q16518",0.999,91.13406133829,"SM",0.497242857142857,"AF",0.999,"SM"
"Q16572",0.999,76.2258599202393,"AF",0.9035875,"AF",0.999,"AF"
"Q16635",0.999,87.9650508474576,"AF",0.472919047619048,"AF",0.999,"AF"
"Q33E94",0.999,66.6760006824774,"AF",0.748852380952381,"AF",0.999,"AF"
"Q5T9L3",0.999,86.3803863298663,"SM",0.213597777777778,"AF",0.999,"SM"
"Q5U5X0",0.999,91.3494040524434,"AF",0.791633333333333,"AF",0.999,"AF"
"Q674R7",0.999,69.4013621076233,"AF",0.8293,"SM",0.999,"AF"
"Q6NXT6",0.999,72.0728308986277,"AF",0.3893,"AF",0.999,"AF"
"Q6QHF9",0.999,92.9707172026544,"AF",0.737585714285714,"AF",0.999,"AF"
"Q6TCH4",0.999,91.5229519194931,"AF",0.165190476190476,"AF",0.999,"AF"
"Q6VVX0",0.999,93.8030867482704,"SM",0.664823809523809,"SM",0.999,"SM"
"Q6ZRR5",0.999,94.8906510681587,"AF",0.543,"AF",0.999,"AF"
"Q7Z4L5",0.999,88.8523329798515,"SM",0.726980952380952,"AF",0.999,"SM"
"Q86SK9",0.999,90.2770570570571,"AF",0.470552380952381,"SM",0.999,"AF"
"Q86UK0",0.999,68.1765444239899,"AF",0.301290476190476,"AF",0.999,"AF"
"Q86UQ4",0.999,57.5871986313388,"AF",0.987038095238095,"AF",0.999,"AF"
"Q86YH6",0.999,80.2112838709677,"AF",0.984804761904762,"AF",0.999,"AF"
