gene_id,base_count,cancer_count,MeSH_count,title_query,ovarian_count,title_count
C4A,1940,123,73,7,9,7.0
KRT24,19,9,5,1,0,1.0
IL21R,1722,541,323,6,10,6.0
GIP,5897,526,306,54,38,54.0
GINS4,39,26,16,8,0,8.0
NOX1,1920,336,171,83,9,83.0
MAPK8IP2,43,13,8,4,0,4.0
GINS1,70,48,29,13,1,13.0
PADI6,63,10,6,5,0,5.0
ONECUT1,178,38,20,2,0,2.0
H3C8,0,0,0,0,0,0.0
CD2,18308,2660,1818,317,37,317.0
FOXM1,2314,1851,1287,996,110,996.0
ASPN,746,113,60,10,2,10.0
SDS,86207,6737,3612,61,267,61.0
APOBEC3B,409,326,194,181,20,181.0
KRT31,15,2,1,0,0,0.0
S100A7A,70,32,24,1,3,1.0
PDX1,3121,619,312,99,9,99.0
IFIT1,590,123,73,15,1,15.0
ZDHHC22,7,3,2,1,0,1.0
AGR2,458,341,237,135,20,135.0
CDT1,668,271,102,70,9,70.0
ASF1B,116,58,32,26,0,26.0
FOXA2,1587,420,234,121,15,121.0
ENTHD1,1,1,0,0,0,0.0
CXCL13,2193,761,521,150,36,150.0
CRB3,488,126,94,10,3,10.0
MAD2L1,690,440,270,33,19,33.0
EME1,192,86,22,19,1,19.0
CTNND2,118,32,24,5,1,5.0
MARCKSL1,110,43,24,13,1,13.0
BRIP1,570,527,376,88,205,88.0
CENPH,90,44,25,10,0,10.0
MSI2,271,186,123,64,4,64.0
RAD21L1,5,1,0,0,1,0.0
CKS2,173,126,78,40,4,40.0
HSPA2,293,77,47,19,3,19.0
SIGLEC15,143,110,62,65,1,65.0
TONSL,56,24,9,11,3,11.0
C4B,3366,215,144,31,11,31.0
IGHV1-3,2,0,0,0,0,0.0
LMNB1,211,75,45,11,2,11.0
OAS2,288,62,29,8,2,8.0
STIL,483,260,169,52,23,52.0
ORC6,105,31,11,7,0,7.0
POSTN,1698,559,412,34,48,34.0
KCNK9,234,42,27,11,3,11.0
CCR5,10915,1449,603,388,28,388.0
CKAP2,75,47,34,23,2,23.0
CXCR3,4354,1096,639,295,30,295.0
GABRD,161,25,14,9,0,9.0
CCNB1,2332,1547,1017,71,59,71.0
CYP2A13,193,83,50,36,2,36.0
GRP,6016,1844,736,134,72,134.0
FBXO43,50,15,4,2,0,2.0
FGB,639,94,54,7,0,7.0
DLGAP5,188,147,93,27,12,27.0
TIGIT,1424,1010,620,297,29,297.0
CCNP,57,16,7,1,0,1.0
NPNT,94,18,11,6,0,6.0
CLDN6,120,79,50,29,10,29.0
GRM4,77,21,15,7,0,7.0
EPO,13406,2258,1380,148,80,148.0
BUB1,1306,773,407,128,32,128.0
UHRF1,712,421,238,234,8,234.0
H2AC8,1,0,0,0,0,0.0
H2BC12,3,1,0,0,0,0.0
ZNF280A,8,7,4,5,0,5.0
DSCC1,21,14,8,5,0,5.0
NELL2,107,39,26,9,2,9.0
