"","gene_id","cluster","betweenness","degree_centrality"
"57","BRCA1","3",22167,26
"362","H2BC13","3",7073,20
"258","ESR1","3",55583,16
"296","FN1","3",27713,16
"316","GATA3","3",40579,15
"368","H2BC6","3",22518,15
"359","H2AX","3",23216,14
"691","SMC1B","3",27597,14
"79","CALML5","3",19329,13
"85","CBX2","3",32565,13
"364","H2BC15","3",4413,13
"367","H2BC5","3",31489,13
"543","NEIL3","3",13872,13
"599","POLR2F","3",45589,13
"354","H2AC14","3",17681,12
"361","H2BC12","3",136,12
"377","H4C11","3",14396,12
"382","H4C8","3",11017,12
"452","KIF26B","3",7340,12
"455","KIF5C","3",2502,12
"697","SOX2","3",10591,12
"86","CBX4","3",1,11
"171","CLTC","3",12671,11
"264","EZH2","3",5027,11
"265","EZR","3",9043,11
"332","GNG13","3",9495,11
"360","H2BC11","3",22319,11
"378","H4C12","3",296,11
"380","H4C15","3",1183,11
"381","H4C4","3",52,11
"592","PLK1","3",22076,11
"104","CCR4","3",6818,10
"107","CCT3","3",7453,10
"129","CDK1","3",4953,10
"142","CENPI","3",3203,10
"253","ERBB2","3",15327,10
"363","H2BC14","3",2317,10
"447","KIF18B","3",2856,10
"463","KRT18","3",18316,10
"125","CDH1","3",12346,9
"144","CENPL","3",0,9
"145","CENPM","3",2242,9
"365","H2BC17","3",2006,9
"369","H2BC9","3",37867,9
"408","IGKV2D-40","3",5587,9
"449","KIF20A","3",8473,9
"510","MED1","3",2111,9
"583","PCNA","3",6044,9
"664","SDC1","3",3707,9
"95","CCNB1","3",32128,8
"141","CENPH","3",1193,8
"143","CENPK","3",0,8
"146","CENPU","3",641,8
"297","FOXA1","3",8741,8
"341","GRIK3","3",6217,8
"366","H2BC4","3",3084,8
"562","OIP5","3",625,8
"61","BRIP1","3",4490,7
"64","BUB1B","3",1345,7
"94","CCNA2","3",25707,7
"98","CCNE1","3",2343,7
"231","E2F1","3",4164,7
"313","GABRR3","36",1,7
"334","GNGT1","3",9990,7
"357","H2AC6","3",26555,7
"444","KIF14","3",7609,7
"459","KNL1","3",0,7
"464","KRT19","3",0,7
"465","KRT24","3",0,7
"466","KRT28","3",0,7
"467","KRT31","3",197,7
"468","KRT32","3",0,7
"469","KRT33A","3",197,7
"470","KRT37","3",197,7
"504","MARVELD2","3",3171,7
"509","MCM4","3",12169,7
"568","ORC1","3",47627,7
"574","PARP1","3",12969,7
"597","POLE2","3",14726,7
"604","POTEF","3",1249,7
"629","RAD51AP1","3",2629,7
"710","STAT1","3",8205,7
"756","TOP2A","3",6519,7
"788","WDR76","3",3472,7
"18","ANK1","3",4383,6
"33","ATAD2","3",625,6
"39","AURKA","3",2136,6
"127","CDH2","3",6273,6
"138","CENPA","3",3915,6
"180","COL1A2","3",7138,6
"207","DCAF12L1","3",22,6
"209","DCAF4L2","3",1,6
"210","DCAF8L2","3",6579,6
"300","FOXM1","3",4065,6
"310","GABRD","36",11,6
"312","GABRQ","36",5,6
"333","GNG4","3",673,6
"358","H2AC8","3",8664,6
"443","KIF11","3",3107,6
"461","KPNA2","3",2686,6
"561","OCLN","3",6498,6
"587","PIK3CG","3",8687,6
"648","RMI1","3",630,6
"649","RMI2","3",1374,6
"696","SOX11","3",571,6
"717","SYT1","3",3734,6
"733","TERT","3",2446,6
"742","TIMELESS","3",17205,6
"785","VWC2L","3",693,6
"13","AGR2","3",4761,5
"20","AP1M2","3",1,5
"21","AP1S3","3",3718,5
"58","BRCA2","3",966,5
"96","CCNB2","3",2174,5
"106","CCR8","3",1386,5
"113","CD3G","3",2841,5
"123","CDCA8","3",625,5
"170","CLSPN","3",2088,5
"196","CXCL10","3",7739,5
"206","DCAF10","3",4960,5
"230","DTL","3",8698,5
"263","EYA1","3",6531,5
"283","FCGR3A","3",8437,5
"292","FGL1","3",2517,5
"294","FLRT3","3",4954,5
"305","FZD2","3",1249,5
"331","GNAT3","3",4318,5
"370","H3C10","3",8984,5
"393","HSPA2","3",3064,5
"404","IGF1R","3",1952,5
"441","KCNQ5","3",1869,5
"453","KIF2C","3",450,5
"456","KIFC1","3",723,5
"507","MCM10","3",8023,5
"517","MMP9","3",3543,5
"524","MUC1","3",8911,5
"526","MUC5B","3",2873,5
"577","PAX2","3",5449,5
"586","PIERCE1","3",1203,5
"605","PPP2R2C","3",4348,5
"626","RACGAP1","3",7733,5
"628","RAD51","3",3849,5
"636","RECQL4","3",0,5
"638","RET","3",2409,5
"644","RIBC2","3",1349,5
"730","TEKT1","3",0,5
"731","TEKT4","3",964,5
"761","TRIM36","3",2494,5
"792","XRCC2","3",0,5
"15","ALB","3",1646,4
"19","ANLN","3",1249,4
"30","ASPM","3",14052,4
"49","BMP7","3",3112,4
"52","BPIFA1","13",0,4
"53","BPIFA2","13",0,4
"56","BPIFB6","13",1,4
"63","BUB1","3",1249,4
"80","CAMP","3",3145,4
"92","CCL5","3",11655,4
"97","CCND1","3",992,4
"108","CD1A","3",1540,4
"114","CD80","3",3112,4
"130","CDK5","3",1871,4
"139","CENPE","3",1249,4
"150","CFAP77","3",816,4
"155","CHRNA1","22",3,4
"178","COL11A1","3",1245,4
"182","COL2A1","3",0,4
"197","CXCL11","3",2700,4
"198","CXCL13","3",1323,4
"199","CXCL17","3",6562,4
"236","ECT2","3",374,4
