"","external_gene_name","uniprot_gn_id","cluster","betweenness","degree_centrality","logFC","file_id","ID","pocket","druggability","num_drug_pockets","struct_score","base_count","cancer_count","MeSH_count","title_query","ovarian_count","title_count"
"1","SIDT1","Q9NXL6","3",0,1,2.29377185723596,"AF-Q9NXL6-F1-model_v4","Q9NXL6-F1",0.211,1,6,80.4918290288476,24,7,3,3,0,3
"2","ABCA12","Q86UK0","3",0,1,5.70352135051687,"AF-Q86UK0-F1-model_v4","Q86UK0-F1",0.128,0.999,5,68.1765444239899,231,35,21,7,1,7
"3","BPIFA2","Q96DR5","13",0,4,3.64063984655446,"AF-Q96DR5-F1-model_v4","Q96DR5-F1",0.057,0.999,1,61.7753846153846,95,8,6,1,0,1
"4","F2RL2","O00254","3",0,3,2.0712514493216,"AF-O00254-F1-model_v4","O00254-F1",0.106,0.998,4,76.8267676431425,36,19,12,1,0,1
"5","ZDHHC22","Q8N966","70",0,1,5.47221814807408,"AF-Q8N966-F1-model_v4","Q8N966-F1",0.026,0.998,1,88.4223471882641,7,3,2,1,0,1
"6","CENPE","Q02224","3",1249,4,4.49550228626164,"AF-Q02224-F6-model_v4","Q02224-F6",0.135,0.997,5,72.5524854202401,445,189,84,68,6,68
"7","GABRA3","P34903","36",5,4,6.01849877289717,"AF-P34903-F1-model_v4","P34903-F1",-0.016,0.996,1,77.5765834834062,166,25,19,5,0,5
"8","BPIFB1","Q8TDL5","13",0,3,5.56250007185795,"AF-Q8TDL5-F1-model_v4","Q8TDL5-F1",0.322,0.994,1,88.2841393331526,53,21,13,5,0,5
"9","CENPU","Q71F23","3",641,8,4.08031102237409,"AF-Q71F23-F1-model_v4","Q71F23-F1",0.002,0.994,1,65.518599280144,60,41,23,9,1,9
"10","MELK","Q14680","3",0,1,5.29517265799305,"AF-Q14680-F1-model_v4","Q14680-F1",0.159,0.993,1,70.6437161388783,685,326,208,109,11,109
"11","ACTL6B","O94805","3",0,1,5.47011596560757,"AF-O94805-F1-model_v4","O94805-F1",0.097,0.992,1,91.6544207965947,27,7,6,1,0,1
"12","OR10H5","Q8NGA6","3",0,1,2.39107094011487,"AF-Q8NGA6-F1-model_v4","Q8NGA6-F1",0.075,0.992,1,86.7356191254597,1,1,1,0,0,0
"13","DHCR7","Q9UBM7","32",0,1,2.11227403649501,"AF-Q9UBM7-F1-model_v4","Q9UBM7-F1",0.132,0.991,1,91.715849935317,545,89,49,10,4,10
"14","KIF11","P52732","3",3107,6,4.70163397492912,"AF-P52732-F1-model_v4","P52732-F1",0.141,0.991,1,74.7686384864088,832,429,246,51,22,51
"15","CD1A","P06126","3",1540,4,4.0109728994328,"AF-P06126-F1-model_v4","P06126-F1",0.024,0.99,1,89.2181280975982,3995,1302,979,110,11,110
"16","CYP2A13","Q16696","30",0,1,4.62576330209844,"AF-Q16696-F1-model_v4","Q16696-F1",0.076,0.99,1,96.149041781336,193,83,50,36,2,36
"17","NOX1","Q9Y5S8","3",0,1,2.09286358628632,"AF-Q9Y5S8-F1-model_v4","Q9Y5S8-F1",0.056,0.989,2,89.680390744379,1920,336,171,83,9,83
"18","SCN1A","P35498","3",118,2,5.16347149995265,"AF-P35498-F1-model_v4","P35498-F1",0.286,0.989,2,69.2496348733234,1679,39,14,7,1,7
"19","AFP","P02771","3",0,1,3.27008494680824,"AF-P02771-F1-model_v4","P02771-F1",0.177,0.987,2,88.9915831079675,27052,11811,9540,843,517,843
