"","Features","Importance_100m","Importance_1000m","Importance_10000m"
"1","Molecularweight",1.46384062483961,1.50412605169953,1.49420445116945
"2","Residues",1.44782616169564,1.4932022956727,1.48263686297624
"3","AvResWeight",1.47459774197671,1.47515949746694,1.47302787186387
"4","Charge",1.46009011383902,1.4721736293962,1.46792608399628
"5","Isoelectric",1.66232828788293,1.66910797083426,1.66269958301473
"6","A280_molar_ext",2.29137197381333,2.2964501601837,2.26701749150958
"7","A280_molar_ext_cyst",2.39534509439879,2.37688955959649,2.34760162901328
"8","A280_ext_coeff",2.94320294660898,2.91778734092692,2.96083460396863
"9","A280_ext_coeff_cyst",2.96802980924236,2.94798701872584,2.99541237473092
"10","Prob",1.52484560669858,1.50176051929093,1.50695539399337
"11","Ala",1.56012953015725,1.57778588594159,1.56982001168087
"12","Arg",2.18839116288859,2.24999395091471,2.22917467581945
"13","Asn",1.81557179216133,1.83815039964728,1.8294585350346
"14","Asp",1.58864789179102,1.59829376336749,1.6011655398515
"15","Cys",2.06949477782343,2.127122810076,2.12202356484192
"16","Gln",1.64017718079097,1.69929904927255,1.69423947265589
"17","Glu",1.51571748956248,1.52729006563906,1.52344208593441
"18","Gly",1.74751055976246,1.79335305656542,1.79575634894081
"19","His",1.67079107904256,1.70872831129391,1.69255233764488
"20","Ile",1.81381038535543,1.83004136031353,1.81795624370957
"21","Leu",1.61139203345009,1.64291650009525,1.6450623057109
"22","Lys",1.56415901313558,1.57899079756251,1.57174122411552
"23","Met",1.77455871428051,1.78483933770938,1.78195096031352
"24","Phe",1.98730994678528,1.98816634339346,1.97439467748557
"25","Pro",1.74564654606038,1.7187181014383,1.71847316546589
"26","Ser",1.73980589634526,1.73854780514834,1.7588413480858
"27","Thr",1.85050713648155,1.85266375275567,1.85329968572225
"28","Trp",2.42372993297375,2.44686334265682,2.48002177343356
"29","Tyr",2.16857243704189,2.16335748716776,2.13921550909813
"30","Val",2.72182692604295,2.73695867464573,2.76070160876332
"31","Acidic",1.50016195582871,1.50248044177857,1.49670776155088
"32","Aliphatic",1.5643267313254,1.58242147264917,1.5884365374083
"33","Aromatic",2.23687778147685,2.25123392877007,2.24547042836891
"34","Basic",2.1165476001926,2.15133476092242,2.13869683182387
"35","Charged",2.12081462866638,2.09726915420069,2.08270192697759
"36","Non.polar",1.82382837809129,1.83052374821012,1.83438640807948
"37","Polar",1.82447077570172,1.82580489544827,1.8356550664671
"38","Small",1.47605090145403,1.4756095496709,1.47190907970141
"39","Tiny",1.4582350674996,1.45868163487115,1.45660752403953
"40","Glyc_N",1.14784723741054,1.12677545697926,1.13293088974671
"41","Glyc_O",1.87737097765673,1.86145138734675,1.85825663159893
"42","Enzyme.Classification",1.26572747413977,1.28431621502945,1.27838334009588
"43","ph_TYR",0.860816360557432,0.830006645496606,0.828854082725816
"44","ph_THR",0.728710369998628,0.727517406270063,0.728800717727946
"45","ph_SER",1.12217367923511,1.15689354601246,1.15622104508932
"46","Localization",0.988715817967591,0.9864986008499,0.992726155039961
"47","Transmembrane.Helices",1.33365032218061,1.35109812288984,1.364675929015
"48","Signal.Peptide",0.603073145880659,0.58937885530643,0.591017637336655
"49","Essentiality",10.0271027760131,10.0106238874577,10.1610445145138
"50","PEST.region",0.17085140265609,0.167838466155709,0.16788661021022
"51","Secondary.Structure..Helices.",1.55515820327389,1.59749483061815,1.60455377916418
"52","Secondary.Structure..Betasheet.",2.19936262358762,2.22299493314246,2.23775608103979
"53","Secondary.Structure..turn.",1.97290928995047,2.02673145532691,2.03210925221089
"54","Secondary.Structure..coil.",1.95053040381882,1.96170206969805,1.9504781206761
"55","Tissue.Specificity",3.94607781827422,4.00211950788731,3.99768082227901
"56","Solvent.Accessibility",3.27533998233765,3.31398432550333,3.27206033640444
"57","Biological.Process..1.",16.795666672877,16.6537513522881,16.6815482344411
"58","Biological.Process..2.",20.7143468656539,20.8497050596981,20.9297587165917
"59","Biological.Process..3.",21.3820119419522,21.4464589067665,21.4363344508258
"60","Molecular.Function..1.",7.64193599632011,7.37663472305467,7.37828230087914
"61","Molecular.Function..2.",8.50206077232889,8.19739690395781,8.12868838063576
"62","Molecular.Function..3.",10.3240694199795,10.1961784615573,10.0745213644304
"63","Maps..1.",13.6831987662396,13.3519691523523,13.2939506189088
"64","Maps..2.",7.32677621219912,7.36936140472704,7.34667365945842
"65","Maps..3.",4.27090204888674,4.1872958973428,4.16883070545453
"66","Degree",6.98054193517616,7.15039749387231,7.20842835567307
"67","Closeness",7.58865584533675,7.75182715157935,7.76549934676181
"68","Betweeness",5.5909684737152,5.49695051998464,5.50174380539491
"69","EigenCent",4.35025617397932,4.34889264396844,4.36129620652145
"70","PageRank",7.33206829757009,7.42591488200597,7.45014295726943
