"","Features","Importance_100m","Importance_1000m","Importance_10000m"
"1","Molecularweight",0.594759811791218,0.580025944024354,0.5885740478242
"2","Residues",0.604557940812392,0.579358525782355,0.5866359717776
"3","AvResWeight",0.441097619631661,0.418839404853482,0.417277861287685
"4","Charge",0.406232306748799,0.40204408425746,0.401113496010629
"5","Isoelectric",0.447388002862699,0.434043915015685,0.430887759419411
"6","A280_molar_ext",0.929488310385159,0.893674341985181,0.906758155802409
"7","A280_molar_ext_cyst",0.940253256652267,0.916683789914626,0.931557351607312
"8","A280_ext_coeff",0.775713048021858,0.770581138758394,0.760504798861747
"9","A280_ext_coeff_cyst",0.796816671513581,0.784932939873436,0.772992868906699
"10","Prob",0.435503513042844,0.426732736211968,0.429552044489736
"11","Ala",0.444360260473641,0.42653340439669,0.422308259332628
"12","Arg",0.744311176917817,0.719843050192457,0.720651635452918
"13","Asn",0.746258181675766,0.751579393366266,0.753499354209586
"14","Asp",0.59269754392811,0.577498287009551,0.57191577949345
"15","Cys",0.592631272992178,0.574260492027685,0.572883204509243
"16","Gln",0.587024490636043,0.587410476361913,0.585466563186459
"17","Glu",0.59883198034328,0.614239409732405,0.613191653077178
"18","Gly",0.384072321974439,0.370253666340131,0.376863858143866
"19","His",0.534214772128923,0.516861687434746,0.521869557728265
"20","Ile",0.817450764154486,0.802582611768407,0.806398835177239
"21","Leu",0.609011445626627,0.597028402679209,0.601650355029296
"22","Lys",0.581852059845868,0.560835224382009,0.559708748073271
"23","Met",0.595998109315409,0.565908052891783,0.566330715053483
"24","Phe",1.14123593502793,1.10613783760621,1.10487092320357
"25","Pro",0.572726134509019,0.566590404682071,0.566622107867194
"26","Ser",0.602631484870512,0.594593039788528,0.600147803216436
"27","Thr",0.458867615954353,0.463430585016391,0.467535323064728
"28","Trp",0.68204804921119,0.670311143949437,0.66229581151285
"29","Tyr",0.637960507783622,0.626981678999393,0.625683721842598
"30","Val",0.553638418398442,0.534914710876313,0.529049308444717
"31","Acidic",0.573718597843844,0.571587336883071,0.564201656962299
"32","Aliphatic",0.424245903400988,0.416630950465491,0.421808741366734
"33","Aromatic",0.864293705543285,0.846946618575312,0.821938119141229
"34","Basic",1.30134023664423,1.23771112547628,1.23287945301587
"35","Charged",1.10713166822954,1.08871936363752,1.07500650155777
"36","Non.polar",0.914883720029618,0.878153997069946,0.861726234808825
"37","Polar",0.897348734107064,0.876989500125937,0.862164379526711
"38","Small",0.511740507554346,0.50162272932946,0.500479106044116
"39","Tiny",0.491712579356013,0.460733171852883,0.458578737098956
"40","Glyc_N",0.217304042826375,0.212089820849811,0.214265748387091
"41","Glyc_O",0.587006270003022,0.569228316798596,0.571386713158179
"42","Enzyme.Classification",0.280441221213889,0.262719997153463,0.260029246526942
"43","ph_TYR",0.254304654014176,0.259374388728316,0.262948067699161
"44","ph_THR",0.207824552987829,0.206002192942203,0.204357923575745
"45","ph_SER",0.368964322964037,0.356217158474857,0.360869016909182
"46","Localization",0.283579662259748,0.274727474251316,0.274226023936687
"47","Transmembrane.Helices",0.756699402315271,0.754010758584221,0.750035108419796
"48","Signal.Peptide",0.164091019074702,0.168622301330788,0.165028788734261
"49","Essentiality",3.35287492847924,3.25495649856294,3.26130727369937
"50","PEST.region",0.0566780237705326,0.0570809852481507,0.0565931587422145
"51","Secondary.Structure..Helices.",0.600926999232432,0.593221943981434,0.596913696169778
"52","Secondary.Structure..Betasheet.",0.513951521404096,0.504012021974137,0.503991215188298
"53","Secondary.Structure..turn.",0.623855097372855,0.599279308585746,0.597303279444062
"54","Secondary.Structure..coil.",0.581885853263214,0.549741525845779,0.553762987249204
"55","Tissue.Specificity",1.9475514996328,1.92292801155675,1.89346128484568
"56","Solvent.Accessibility",0.91353958203134,0.884940412939956,0.885896694070616
"57","Biological.Process..1.",5.95303151871107,6.07676134105228,6.05392465481283
"58","Biological.Process..2.",7.77194042334674,8.05981622680755,8.00487639942286
"59","Biological.Process..3.",7.57790752931528,7.88477981835278,7.88681705254172
"60","Molecular.Function..1.",2.47218445936907,2.41305564611207,2.4029419365183
"61","Molecular.Function..2.",3.40148150395382,3.4194514168602,3.39890061002777
"62","Molecular.Function..3.",3.74162273188862,3.85023721873099,3.84710049786282
"63","Maps..1.",7.67516180694735,7.55272317752112,7.65173031653327
"64","Maps..2.",4.04294573394178,4.03325423023236,4.06374736655915
"65","Maps..3.",1.89911302029629,1.95653231132515,1.96765433661413
"66","Degree",4.05494244451553,4.17819873658902,4.18141981139721
"67","Closeness",5.6628259000612,5.62977074645893,5.6712981476954
"68","Betweeness",2.85704562420317,2.82128904013654,2.83368048696369
"69","EigenCent",2.99962475018256,3.02085754708951,2.99537618236389
"70","PageRank",3.74311122087506,3.86077891799523,3.87473006099787
