gene_id,citation_score
NDC80,589
CLDN3,478
KLK10,175
HMMR,245
SCGB2A1,45
ALDH1L1,207
RECQL4,330
ALDH1A2,390
SERPINA1,1034
H2AC4,0
FABP3,925
FABP1,885
MME,2199
CYP3A4,17235
MMP7,3028
H2AC16,0
CXCL8,6959
MYB,8983
MYBL2,472
TOP2A,1310
SI,164664
ANPEP,183
H2BC17,0
GUCY2C,139
ANXA13,24
DPP4,5804
HOXA10,877
PCK1,721
NNMT,393
RARRES1,100
KHK,948
MTTP,1486
H3C12,0
SLC7A5,841
CREB5,105
FOLH1,1487
CDC20,1623
CDH17,228
PMAIP1,734
GRB7,305
MEP1A,43
PGGHG,2
FREM1,100
PDZK1,288
MUC17,97
MUC17,97
MUC17,97
MUC17,97
MUC17,97
MUC17,97
MUC17,97
MUC17,97
MUC17,97
MUC17,97
MUC17,97
OLFM4,311
ASRGL1,45
MCM10,223
SAPCD2,30
ABCA12,222
CYP4X1,33
KIF18A,140
MUC16,1329
MUC16,1329
MUC16,1329
MUC16,1329
MUC16,1329
MUC16,1329
MUC16,1329
MUC16,1329
MUC16,1329
MUC16,1329
PGAP3,56
ADGRG7,10
LRATD1,5
PRAP1,29
DEPDC7,6
CDX2,3280
CDC6,1054
MIEN1,44
FSD1L,7
SLC19A3,176
KRT23,47
CHST6,83
CDT1,653
LRRC19,13
SPON1,118
MLXIPL,492
PIPOX,57
PPP1R1B,387
DCDC2,153
VAV3,317
PADI2,190
HIF3A,226
