"","node_1","node_2","score"
"759","CDT1","CHL1",8.15727253526197e-05
"646","CDT1","KLF2",5.73502041057375e-06
"577","FABP3","DEPDC7",2.00265795508815e-05
"1370","CYP11A1","CDT1",5.60419839429802e-06
"1358","CXCL8","CDT1",9.57331040598611e-05
"838","CXCL8","MMP7",2.21327580831139e-05
"98","CDC6","HMMR",0.00120011982263706
"253","TOP2A","CDC6",0.000704553417628916
"92","CDC20","HMMR",0.000882818514765658
"259","CDC20","CDC6",0.0006104250139221
"691","CDC20","TOP2A",0.00110450665500391
"250","MKI67","CDC6",0.00152271765914082
"693","MKI67","TOP2A",0.00138635863547299
"522","MKI67","CDC20",0.00147784748523576
"599","PRUNE2","SV2C",0.000458992615579267
"1077","KLK10","CYP3A4",0.000949204106849889
"1833","CDX2","H2AC16",0.000769756204438865
"597","CHL1","SV2C",0.000466630630097851
"712","POU2AF1","JCHAIN",0.00199308046361677
"758","PDZD2","CHL1",0.000983285283002773
"1528","MYB","RGS6",0.000420497597403718
"912","RECQL4","ABCA12",0.000620865028890308
"792","SPON1","CAPN9",0.000805588989523006
"607","PRSS2","SV2C",0.0005796968428301
"1742","CLDN3","MUC2",0.000353840981630909
"1785","CLDN3","HOXA10",0.000209251991958865
"1195","GUCY2C","CLDN3",0.000277510677806072
"230","CP","SI",0.000663287030289236
"784","MMP1","CAPN9",0.00111533558195292
"293","NDC80","OLFM4",0.00122023351785545
"356","ALDH3A1","ANXA13",0.000533175031138402
"1201","FABP1","CLDN3",0.000286421940470112
"59","FABP1","GUCY2C",0.0016503375998821
"1082","MME","CYP3A4",0.000620050712226006
"37","MME","CP",0.000381896466683907
"1784","MMP7","HOXA10",0.000254053252838785
"1198","MMP7","CLDN3",0.000197821406169921
"1124","CDH17","FABP1",0.00176823893694292
"1309","CXCL8","ANPEP",0.000727743909675526
"1689","CXCL8","SERPINA1",0.000591215439370732
"1673","DPP4","SERPINA1",0.000799824658965146
"1353","MYBL2","CDT1",0.00162018320083558
"1091","MYBL2","RECQL4",0.00035413847353424
"154","MYBL2","NDC80",0.000678302424830572
"295","HMMR","OLFM4",0.00043796234612559
"158","HMMR","NDC80",0.000740775469154485
"262","HMMR","MYBL2",0.00113532803814353
"617","MTTP","PCK1",0.00108680926522442
"149","CDC6","NDC80",0.00035398985044542
"266","CDC6","MYBL2",0.00118579845156412
"144","TOP2A","NDC80",0.000940346199276098
"268","TOP2A","MYBL2",0.00108707276957028
"97","TOP2A","HMMR",0.00129647952920717
"1088","CDC20","RECQL4",0.000467396720894065
"159","CDC20","NDC80",0.000981048355694811
"264","CDC20","MYBL2",0.000880636426348076
"1783","CDX1","HOXA10",0.000299062889104737
"1202","CDX1","CLDN3",0.000245418779688602
"88","CDX1","GUCY2C",0.00175095545126559
"1129","CDX1","FABP1",0.00113415229512974
"840","CDX1","MMP7",0.000295305108496805
"503","LGALS4","AADAC",0.000686701330397739
"452","DEFA6","MEP1A",0.00123422256126943
"600","PRSS3","SV2C",0.000560280417806851
"1820","PRSS3","PRSS2",0.00435326031659449
"1200","VIL1","CLDN3",0.000270122525361031
"621","VIL1","PCK1",0.000711932280540373
"863","VIL1","MTTP",0.0018604556077201
"971","UGT2B17","ALDH1L1",0.000701116431360971
"683","REG1B","KLK10",0.000431717022915465
"361","REG1B","ANXA13",0.000493321559434018
"1338","REG1B","MYO1A",0.00191046479426558
"1440","ALDOB","REG1B",0.000263151615139438
"418","CLCA1","ALDH3A1",0.000440987802742691
"1613","DEFA5","MME",0.000361516387408819
"1723","SPINK4","MUC2",0.00233786321062872
"1790","SPINK4","HOXA10",0.000178869935108471
