"","uniprotswissprot","hgnc_symbol","Prediction_Score","Prediction_Score_after_100","Prediction_Score_after_1000","Label","validation"
"1","P10721","KIT",0.9960606,0.99612,0.995949,"1","0"
"2","P24530","EDNRB",0.9945876,0.99394,0.994551,"1","0"
"3","P35367","HRH1",0.993133,0.99259,0.992812,"1","0"
"4","P35354","PTGS2",0.9929965,0.99242,0.992956,"1","0"
"5","P35968","KDR",0.992956,0.99292,0.993186,"1","0"
"6","P21802","FGFR2",0.9928139,0.99264,0.992814,"1","0"
"7","P06213","INSR",0.991718,0.99183,0.991692,"1","0"
"8","P08581","MET",0.9907861,0.98897,0.990548,"1","0"
"9","P22888","LHCGR",0.9907039,0.98969,0.990458,"1","0"
"10","P09619","PDGFRB",0.9906463,0.99001,0.990649,"1","0"
"11","P35916","FLT4",0.9902323,0.98957,0.990046,"1","0"
"12","P04626","ERBB2",0.9900963,0.98961,0.99034,"1","0"
"13","P23945","FSHR",0.9896382,0.98898,0.989468,"1","0"
"14","Q02763","TEK",0.9896216,0.99392,0.991041,"0","1"
"15","P21554","CNR1",0.9893879,0.98833,0.989264,"1","0"
"16","P00533","EGFR",0.989215,0.98936,0.989765,"1","0"
"17","P07333","CSF1R",0.9889482,0.99224,0.988798,"0","0"
"18","P08069","IGF1R",0.9881972,0.98788,0.988181,"1","0"
"19","P12931","SRC",0.9870256,0.9851,0.986613,"1","0"
"20","P25101","EDNRA",0.9864246,0.98681,0.987163,"1","0"
"21","P13612","ITGA4",0.9851761,0.9879,0.983468,"0","0"
"22","P00734","F2",0.9844965,0.98318,0.983901,"1","0"
"23","P25103","TACR1",0.9840702,0.98175,0.983522,"1","0"
"24","Q9ULV1","FZD4",0.9835839,0.97348,0.980102,"0","0"
"25","P08709","F7",0.9830155,0.98217,0.983403,"1","0"
"26","P16234","PDGFRA",0.9827459,0.97997,0.98214,"1","0"
"27","P15056","BRAF",0.9815793,0.97976,0.981142,"1","0"
"28","P25116","F2R",0.9810305,0.97865,0.980388,"1","0"
"29","P21860","ERBB3",0.9809324,0.98313,0.982114,"0","1"
"30","P36888","FLT3",0.9803119,0.97958,0.980182,"1","0"
"31","P03372","ESR1",0.9798519,0.97863,0.97946,"1","0"
"32","P31785","IL2RG",0.9796317,0.97863,0.979399,"1","0"
"33","P07949","RET",0.9790921,0.9771,0.979045,"1","0"
"34","P07550","ADRB2",0.9788264,0.98215,0.979297,"0","0"
"35","P23219","PTGS1",0.9787093,0.97713,0.978543,"1","0"
"36","P35372","OPRM1",0.9780723,0.97734,0.978431,"1","0"
