"ensembl_peptide_id","uniprot_id","cluster","betweenness","degree_centrality"
"ENSP00000241261","P50591","1",0,1
"ENSP00000250160","O95388","1",0,1
"ENSP00000276708","Q9BYG8","1",0,1
"ENSP00000302578","Q96KN1","1",14,3
"ENSP00000312150","Q96RU8","1",0,1
"ENSP00000319305","Q7Z3I7","1",6,2
"ENSP00000404854","Q92597","1",6,2
"ENSP00000295797","P41743","2",4,2
"ENSP00000337688","Q99442","2",0,2
"ENSP00000348161","Q9UJ42","2",0,2
"ENSP00000391299","Q7Z3H4","2",0,1
"ENSP00000415243","P12757","2",8,4
"ENSP00000420294","Q8NDX5","2",0,1
"ENSP00000325978","Q6UY01","3",6,4
"ENSP00000326240","Q9NPC7","3",0,1
"ENSP00000333037","Q9BYD9","3",0,1
"ENSP00000342188","A6NIV6","3",0,1
"ENSP00000414635","Q8IZ02","3",0,1
