drugBank_target,drug,Uniprot_ID,ensembl_gene_id,DrugBank_ID
CDK4,abemaciclib,P11802,ENSG00000135446,DB12001
CDK6,abemaciclib,Q00534,ENSG00000105810,DB12001
PIK3CA,alpelisib,P42336,ENSG00000121879,DB12015
CYP19A1,anastrozole,P11511,ENSG00000137869,DB01217
AKT1,capivasertib,P31749,ENSG00000142208,DB12218
AKT2,capivasertib,P31751,ENSG00000105221,DB12218
AKT3,capivasertib,Q9Y243,ENSG00000117020,DB12218
AKT3,capivasertib,Q9Y243,ENSG00000275199,DB12218
ESR1,elacestrant,P03372,ENSG00000091831,DB06374
NA,elacestrant dihydrochloride,NA,NA,NA
MTOR,everolimus,P42345,ENSG00000198793,DB01590
CYP19A1,exemestane,P11511,ENSG00000137869,DB00990
NA,fam-trastuzumab deruxtecan-nxki,NA,NA,NA
ESR1,fulvestrant,P03372,ENSG00000091831,DB00947
TGFB1,hyaluronidase,P01137,ENSG00000105329,DB14740
EGFR,lapatinib,P00533,ENSG00000146648,DB01259
ERBB2,lapatinib,P04626,ENSG00000141736,DB01259
NA,lapatinib ditosylate,NA,NA,NA
CYP19A1,letrozole,P11511,ENSG00000137869,DB01006
ERBB2,margetuximab,P04626,ENSG00000141736,DB14967
NA,margetuximab-cmkb,NA,NA,NA
EGFR,neratinib,P00533,ENSG00000146648,DB11828
NA,neratinib maleate,NA,NA,NA
AKR1C3,olaparib,P42330,ENSG00000196139,DB09074
PARP1,olaparib,P09874,ENSG00000143799,DB09074
PARP2,olaparib,Q9UGN5,ENSG00000129484,DB09074
PARP2,olaparib,Q9UGN5,ENSG00000291803,DB09074
PARP3,olaparib,Q9Y6F1,ENSG00000041880,DB09074
CDK4,palbociclib,P11802,ENSG00000135446,DB09073
CDK6,palbociclib,Q00534,ENSG00000105810,DB09073
CD274,pembrolizumab,Q9NZQ7,ENSG00000120217,DB09037
PDCD1,pembrolizumab,Q15116,ENSG00000188389,DB09037
PDCD1,pembrolizumab,Q15116,ENSG00000276977,DB09037
ERBB2,pertuzumab,P04626,ENSG00000141736,DB06366
NA,"pertuzumab, trastuzumab, and hyaluronidase-zzxf",NA,NA,NA
CDK4,ribociclib ,P11802,ENSG00000135446,DB11730
CDK6,ribociclib ,Q00534,ENSG00000105810,DB11730
FUBP1,sacituzumab govitecan,Q96AE4,ENSG00000162613,DB12893
TACSTD2,sacituzumab govitecan,P09758,ENSG00000184292,DB12893
TOP1,sacituzumab govitecan,P11387,ENSG00000198900,DB12893
NA,sacituzumab govitecan-hziy,NA,NA,NA
PARP1,talazoparib ,P09874,ENSG00000143799,DB11760
PARP2,talazoparib ,Q9UGN5,ENSG00000129484,DB11760
PARP2,talazoparib ,Q9UGN5,ENSG00000291803,DB11760
NA,talazoparib tosylate ,NA,NA,NA
AR,tamoxifen,P10275,ENSG00000169083,DB00675
EBP,tamoxifen,Q15125,ENSG00000147155,DB00675
ESR1,tamoxifen,P03372,ENSG00000091831,DB00675
ESR2,tamoxifen,Q92731,ENSG00000140009,DB00675
ESRRG,tamoxifen,P62508,ENSG00000196482,DB00675
KCNH2,tamoxifen,Q12809,ENSG00000055118,DB00675
MAPK8,tamoxifen,P45983,ENSG00000107643,DB00675
NR1I2,tamoxifen,O75469,ENSG00000144852,DB00675
PRKCA,tamoxifen,P17252,ENSG00000154229,DB00675
PRKCB,tamoxifen,P05771,ENSG00000166501,DB00675
PRKCD,tamoxifen,Q05655,ENSG00000163932,DB00675
PRKCE,tamoxifen,Q02156,ENSG00000171132,DB00675
PRKCG,tamoxifen,P05129,ENSG00000126583,DB00675
PRKCI,tamoxifen,P41743,ENSG00000163558,DB00675
PRKCQ,tamoxifen,Q04759,ENSG00000065675,DB00675
PRKCZ,tamoxifen,Q05513,ENSG00000067606,DB00675
SHBG,tamoxifen,P04278,ENSG00000129214,DB00675
NA,tamoxifen citrate,NA,NA,NA
ESR1,toremifene,P03372,ENSG00000091831,DB00539
SHBG,toremifene,P04278,ENSG00000129214,DB00539
ERBB2,trastuzumab,P04626,ENSG00000141736,DB00072
FCGR1A,trastuzumab deruxtecan,P12314,ENSG00000150337,DB14962
TOP1,trastuzumab deruxtecan,P11387,ENSG00000198900,DB14962
ERBB2,trastuzumab emtansine,P04626,ENSG00000141736,DB05773
ERBB2,tucatinib,P04626,ENSG00000141736,DB11652
ERBB3,tucatinib,P21860,ENSG00000065361,DB11652
