"external_gene_name","description","count","counts_when_betweeness_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_cryptic_pockets_0"
"RFC5","replication factor C subunit 5",159,14,18,7,0
"H2BC17","H2B clustered histone 17",153,4,5,12,0
"WDR76","WD repeat domain 76",149,4,6,7,0
"PLK1","polo like kinase 1",135,2,3,5,0
"XRCC5","X-ray repair cross complementing 5",119,2,3,5,0
"NBN","nibrin",91,1,3,3,0
"TRIM28","tripartite motif containing 28",88,1,3,3,0
"TRRAP","transformation/transcription domain associated protein",86,5,4,4,0
"HSP90AA1","heat shock protein 90 alpha family class A member 1",79,1,1,1,0
"SH3GL2","SH3 domain containing GRB2 like 2, endophilin A1",79,24,10,17,0
"HUWE1","HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",77,5,8,0,0
"DCTN5","dynactin subunit 5",72,17,20,0,0
"CTNNB1","catenin beta 1",61,5,7,0,0
"P4HB","prolyl 4-hydroxylase subunit beta",59,34,32,0,2
"MBOAT2","membrane bound O-acyltransferase domain containing 2",58,3,4,0,0
"ANLN","anillin, actin binding protein",56,26,26,0,0
"CCT3","chaperonin containing TCP1 subunit 3",56,12,12,0,0
"F2RL2","coagulation factor II thrombin receptor like 2",56,24,26,0,0
"KIF4A","kinesin family member 4A",42,4,8,0,0
"NDRG1","N-myc downstream regulated 1",41,17,20,0,0
"CCDC87","coiled-coil domain containing 87",36,7,9,0,0
"CCR2","C-C motif chemokine receptor 2",36,11,12,0,0
"NOX1","NADPH oxidase 1",36,11,14,0,0
"RFC2","replication factor C subunit 2",34,13,9,0,0
"HAUS6","HAUS augmin like complex subunit 6",33,3,3,0,0
"SEC13","SEC13 homolog, nuclear pore and COPII coat complex component",33,1,2,0,0
"CCT5","chaperonin containing TCP1 subunit 5",29,6,4,0,1
"H2BC7","H2B clustered histone 7",27,3,3,0,1
"POLD1","DNA polymerase delta 1, catalytic subunit",27,1,2,0,0
"TNFRSF12A","TNF receptor superfamily member 12A",27,8,6,0,4
"FANCC","FA complementation group C",25,1,1,0,0
"GBA1","glucosylceramidase beta 1",23,2,2,0,3
"CLTC","clathrin heavy chain",22,1,3,0,3
"YWHAE","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon",21,4,3,0,9
"CALML5","calmodulin like 5",20,1,2,0,2
"CYP1B1","cytochrome P450 family 1 subfamily B member 1",20,1,2,0,2
"GNB4","G protein subunit beta 4",17,1,2,0,2
"TP53","tumor protein p53",17,3,3,0,6
