"","gene","count","counts_when_betweeness_0","counts_when_centrality_0","counts_when_citation_0","counts_when_druggability_0"
"CCNB1","CCNB1",196,19,28,9,0
"UBE2S","UBE2S",196,17,32,49,3
"PLK1","PLK1",182,26,34,16,0
"AP1M2","AP1M2",134,5,8,6,0
"UBE2C","UBE2C",132,14,7,18,0
"IGKV2D-28","IGKV2D-28",124,14,12,17,0
"CD9","CD9",121,8,12,4,0
"CDK1","CDK1",119,12,9,30,0
"TOP2A","TOP2A",111,4,7,2,0
"CDH1","CDH1",111,20,25,1,0
"CENPU","CENPU",83,39,20,57,35
"CKS2","CKS2",79,4,1,9,0
"BAIAP2L1","BAIAP2L1",72,15,0,13,0
"NDUFB9","NDUFB9",61,23,12,44,1
"MAPK15","MAPK15",55,32,30,56,52
"SYK","SYK",46,11,0,6,0
"DERL3","DERL3",46,19,11,44,43
"SGPP2","SGPP2",44,27,36,50,58
"COX5A","COX5A",44,29,8,27,56
"CENPA","CENPA",43,39,18,10,44
"ATP6V0E2","ATP6V0E2",42,20,0,8,12
"SMKR1","SMKR1",42,20,0,2,11
"RAC3","RAC3",38,10,24,37,53
"TEAD4","TEAD4",37,4,23,37,45
"CCNB2","CCNB2",36,7,11,0,0
"KIF11","KIF11",35,22,26,0,0
"KLHL14","KLHL14",35,16,19,0,0
"CCL28","CCL28",35,19,23,0,0
"CLDN10","CLDN10",30,10,0,0,0
"EPPK1","EPPK1",29,12,16,0,0
"CFAP126","CFAP126",27,15,19,0,0
"THEM6","THEM6",22,2,0,0,0
"KIF20A","KIF20A",16,7,0,0,6
"TJP3","TJP3",16,6,6,0,0
"LAMP3","LAMP3",15,2,2,0,0
"LAPTM5","LAPTM5",14,15,17,0,12
"NOL4L","NOL4L",12,14,17,0,18
"MELK","MELK",11,9,10,0,11
"TSPAN15","TSPAN15",10,9,10,0,18
"SEL1L3","SEL1L3",10,5,6,0,0
"TTK","TTK",9,6,6,0,9
"CXCL10","CXCL10",9,5,5,0,5
"CLDN9","CLDN9",8,4,4,0,7
"MRPL14","MRPL14",8,3,3,0,7
"FAM181A","FAM181A",8,1,2,0,2
"LGR6","LGR6",7,0,5,10,36
"EPS8L1","EPS8L1",7,0,0,5,6
"SDC1","SDC1",6,0,20,20,41
"TUBA1C","TUBA1C",3,0,17,19,1
"MARVELD3","MARVELD3",2,0,14,9,22
"SYNGR2","SYNGR2",2,0,5,5,6
