gene_id,citation_score
SLC34A2,287
AGR2,449
IGKV2D-28,4
TJP3,60
MARVELD2,78
KRT80,32
SPI1,1313
CDR2L,26
CD47,2510
CCND1,6385
SKA3,97
L1CAM,2436
CENPF,385
AURKB,1367
BCL11A,705
MISP,191
IL2RG,1135
RAB6B,35
KRT8,424
KRT23,47
RAB25,189
SGPP2,40
CCL28,356
ATP6V0E2,8
SYTL1,40
SERPINA1,1051
MYO5B,185
PBK,780
GAPDH,8500
SORT1,283
CXCL1,6209
LPAR3,129
PLAU,569
RGCC,128
HLA-DRA,1221
STXBP6,31
MAPK15,63
NCAPH,71
LGR6,190
PLS1,352
CENPM,49
CXCR4,15911
RORC,1288
SYK,5391
KIFC1,186
KRT18,409
UBD,633
COL10A1,678
RNF43,369
DERL3,28
SKA1,114
TNFRSF12A,445
CKS2,168
VANGL1,163
CDT1,655
ESRP1,197
HLA-DQB1,3666
CENPA,1087
PARD6B,40
GJB1,358
TK1,777
IL18,16093
FCGR3A,762
CLDN10,99
CDC45,594
LMNB1,199
PTPN6,1532
PKP3,90
ITGB4,363
HOXB7,318
CCL4,14595
MAD2L1,681
NEK2,489
ALG3,130
KIF4A,226
ANLN,227
CTSS,562
UNC5A,71
UBE2S,116
FOXQ1,206
CXCL17,103
CXCL10,8864
IQGAP3,85
PDZK1IP1,81
HMGA1,1299
PPP1R1B,389
S100A4,1705
CLDN1,1278
APLP1,286
MX2,1097
ANPEP,188
IFI27,271
CDCA5,156
LILRB4,208
CEP55,273
TM4SF1,151
CD68,14771
STXBP2,160
FOLR1,356
MARVELD3,36
FCGR1A,253
LAMC2,472
VGLL1,32
CENPN,67
KRT7,692
NRARP,46
COMP,119691
PITX1,479
EVPL,34
MPPED2,28
CHMP4C,64
VDR,8873
RUNX3,1559
RAD54L,180
KIF20A,301
GJB3,328
PTTG1,437
IL32,625
OASL,267
S100A2,303
BUB1B,471
SPC24,79
OAS2,278
CACNG4,36
LCN2,3658
COL9A2,166
AP1M2,40
BAIAP2L1,46
MELK,658
KIF18B,74
USP18,351
TREM2,1701
CLDN16,118
KRT19,448
DSP,5440
CLDN7,302
SLC16A3,194
CDC20,1649
DTL,625
RBBP8,287
SMKR1,1
EPS8L1,11
E2F1,5116
SYNGR2,14
HCST,246
FAM83D,57
SEL1L3,15
BMP7,3267
DLGAP5,180
ASF1B,113
PNP,6776
B3GNT3,42
RRM2,904
TRIM29,178
CLDN6,113
SPTBN2,97
MRPL3,27
HOXB4,429
CITED4,42
CDH6,108
DEPDC1B,54
TUBB3,932
CCNB1,2282
ATP6V1B1,151
CEBPA,1907
ILDR1,49
CRB3,484
HMMR,249
DOK7,193
DMTN,60
TACSTD2,296
MYH14,115
TNNI3,281
NOL4L,11
TUBB4A,118
PKMYT1,107
LAMP3,245
HLA-DPB1,1195
SFN,2475
CCL5,8479
HLA-DMB,427
CKAP2,74
GJB2,2562
CKS1B,191
CDK1,5952
CCL20,2592
DSC2,297
ERBB3,2707
RASSF7,42
FCER1G,172
KIF23,207
CKMT1B,16
PTGS1,3039
KLHL14,22
RHOF,82
MND1,120
COX7B,50
TPX2,682
MAL2,176
TYMP,270
TRIB1,270
TNNT1,141
TNFAIP2,97
TTK,2044
SLC7A1,218
ZWINT,129
SPINT1,238
KIF1A,351
CLDN3,485
UHRF1,695
TPM3,485
RPS6KA1,451
PPP1CA,98
NDC80,592
CDKN2A,13650
CLDN9,51
SDC1,1547
CSPG5,42
KIF2C,295
HLA-DRB1,10647
DEFB1,601
STC2,353
CCL2,20906
OAS3,199
MYBL2,478
JCHAIN,216
LAMB3,288
C15orf48,21
JUP,483
APOBEC3B,399
TACC3,369
HLA-DQA1,1988
CD9,2701
WWC1,174
ISG15,1802
CD48,1311
CXCL9,3394
ASPM,510
FAM181A,11
AQP5,1155
HLA-DPA1,361
CCNE1,1060
CDKN3,184
CLIC3,47
CHI3L1,1593
CDH1,5699
PLK1,2967
ESPL1,146
ESPN,202
NQO1,5530
THEM6,6
C2,83261
CRIP1,118
CDC25C,1460
CKMT1A,20
LAPTM4B,179
GRB7,309
TRIP13,196
NDUFC2,29
REC8,418
GINS1,67
TYMS,818
NUF2,201
TUBA1C,52
KIF11,819
CA9,2014
TOP2A,1326
SDC3,173
FOXM1,2249
MIF,6372
PERP,673
NTN1,738
CD24,4009
MCM4,448
TEAD4,380
BUB1,1283
NR2F6,89
CCNB2,453
SPON1,119
RACGAP1,171
CDK5,3066
IFIT1,577
LTB,2404
C1QC,158
EPHA1,315
LGALS9,532
PI3,9622
S100A1,521
HTR3A,265
NDUFB9,33
ADGRG1,168
CRB2,224
ANXA3,190
EPPK1,38
COX5A,134
SCARA3,53
TSPAN15,34
CENPW,60
UBE2C,434
ECT2,384
CCL3,4701
MSLN,808
SOX17,1020
CDCA8,204
MUC16,1348
TMC6,76
ST14,575
MCM2,1556
LSR,1446
HLA-DOA,61
CLIC5,79
CHD7,639
AURKA,2465
TFAP2C,281
CFB,1530
CFAP126,2
CD74,1181
ASS1,401
CXCL11,1583
SPP1,4957
DEPDC1,91
VAMP8,316
MMP9,34200
KRT17,270
TYROBP,600
CXCL16,927
CLDN4,625
MRPL14,12
RASSF10,52
CENPU,59
HLA-DRB5,548
S100A5,50
CYBA,1043
ESRP2,77
EPCAM,9818
KPNA2,312
TPD52,183
LEF1,2084
FGF18,395
LAPTM5,113
NDUFS8,70
CAPG,247
MMP7,3045
RAD51,5826
KLK8,184
RAD51AP1,94
SPC25,106
RAC3,299
