"","Cluster","Term","PValue","Adjusted_Pvalue","Genes"
"1",2,"cell junction organization (GO:0034330)","3.404417348142931E-17","9.123838493023055E-15","DSP;CDH6;JUP;LAMB3;ITGB4;CDH1;PERP;CD9;LAMC2;PVRL4"
"2",2,"cell junction assembly (GO:0034329)","1.7137699734922241E-13","2.2964517644795802E-11","CDH6;JUP;LAMB3;ITGB4;CDH1;CD9;LAMC2;PVRL4"
"3",2,"cell-cell junction organization (GO:0045216)","2.0676453909591196E-11","1.8470965492568135E-9","DSP;CDH6;JUP;CDH1;PERP;CD9;PVRL4"
"4",2,"adherens junction organization (GO:0034332)","1.7881263467786104E-9","1.198044652341669E-7","DSP;CDH6;JUP;CDH1;PVRL4"
"5",2,"bundle of His cell to Purkinje myocyte communication (GO:0086069)","2.3462780036319104E-8","1.0480041749555866E-6","DSP;JUP;DSC2"
"6",2,"desmosome organization (GO:0002934)","2.3462780036319104E-8","1.0480041749555866E-6","DSP;JUP;PERP"
"7",2,"hemidesmosome assembly (GO:0031581)","9.199757900163761E-8","3.5221930246341257E-6","LAMB3;ITGB4;LAMC2"
"8",2,"ventricular cardiac muscle cell action potential (GO:0086005)","4.038352071811741E-7","1.3528479440569332E-5","DSP;JUP;DSC2"
"9",2,"regulation of heart rate by cardiac conduction (GO:0086091)","5.537455900812481E-7","1.6489313126863835E-5","DSP;JUP;DSC2"
"10",2,"cell communication involved in cardiac conduction (GO:0086065)","7.366398591736533E-7","1.9741948225853908E-5","DSP;JUP;DSC2"
"11",2,"single organismal cell-cell adhesion (GO:0016337)","8.43506568374109E-7","2.0550887302205565E-5","DSP;JUP;CDH1;PERP;DSC2"
"12",2,"cardiac conduction (GO:0061337)","1.0798829616168769E-6","2.4117386142776916E-5","DSP;JUP;DSC2"
"13",2,"single organism cell adhesion (GO:0098602)","1.3619791903770791E-6","2.8077724847773633E-5","DSP;JUP;CDH1;PERP;DSC2"
"14",2,"cardiac muscle cell action potential involved in contraction (GO:0086002)","1.515438288766906E-6","2.9009818670680773E-5","DSP;JUP;DSC2"
"15",2,"cardiac muscle cell action potential (GO:0086001)","1.683001407154634E-6","3.0069625141162797E-5","DSP;JUP;DSC2"
"16",2,"cell-substrate junction assembly (GO:0007044)","4.395318287963211E-6","7.362158132338379E-5","LAMB3;ITGB4;LAMC2"
"17",2,"multicellular organismal signaling (GO:0035637)","4.731115206933579E-6","7.458463973283526E-5","DSP;JUP;DSC2"
"18",2,"establishment of protein localization to plasma membrane (GO:0090002)","1.3979546398975791E-5","2.0813991305141733E-4","TSPAN15;JUP;CDH1"
"19",2,"action potential (GO:0001508)","2.1310294722696654E-5","3.0058731503593175E-4","DSP;JUP;DSC2"
"20",2,"regulation of heart rate (GO:0002027)","2.4222021168103504E-5","3.24575083652587E-4","DSP;JUP;DSC2"
"21",2,"cell-cell junction assembly (GO:0007043)","2.9636600591150203E-5","3.782194742108693E-4","JUP;CDH1;CD9"
"22",2,"odontogenesis (GO:0042476)","5.735371733283438E-5","6.986725565999825E-4","ITGB4;PERP;AQP5"
"23",2,"extracellular matrix disassembly (GO:0022617)","1.0075406920186695E-4","0.0011740039367869714","LAMB3;CDH1;LAMC2"
"24",2,"epidermis development (GO:0008544)","1.1142037266707625E-4","0.0012441941614490181","DSP;LAMB3;LAMC2"
"25",2,"cellular component disassembly (GO:0022411)","1.4205024123087765E-4","0.0015227785859950084","DSP;LAMB3;CDH1;LAMC2"
