"","Gene.Symbol","Log2.Fold.Change."
"1","AARSD1",-2.027
"2","AASS",-5.049
"3","ABCA10",-5.467
"4","ABCA5",-2.745
"5","ABCA6",-5.146
"6","ABCA8",-5.852
"7","ABCA9",-4.717
"8","ABCB6",-2.095
"9","ABCC9",-2.199
"10","ABHD11",3.34
"11","ABHD17C",2.353
"12","ABI3BP",-3.898
"13","ABLIM1",-2.302
"14","ABO",-2.921
"15","ABRACL",3.189
"16","AC002398.12",-3.211
"17","AC004623.3",-2.102
"18","AC005083.1",2.366
"19","AC005104.3",-2.298
"20","AC005154.6",-2.217
"21","AC005517.3",-2.118
"22","AC005519.4",-2.442
"23","AC005786.7",-2.146
"24","AC005943.2",2.979
"25","AC006449.2",-5.217
"26","AC006942.4",-2.124
"27","AC007009.1",2.637
"28","AC008992.1",-2.658
"29","AC009120.6",-2.324
"30","AC009501.4",-2.106
"31","AC012360.6",-3.289
"32","AC018766.4",-2.643
"33","AC025165.8",-2.798
"34","AC034220.3",-2.268
"35","AC068587.2",-2.65
"36","AC079781.7",-2.733
"37","AC092155.4",-2.113
"38","AC093110.3",-2.38
"39","AC093642.1",-2.092
"40","AC093642.3",-2.596
"41","AC093838.4",-2.363
"42","AC108488.4",-2.231
"43","AC114730.11",-2.449
"44","AC132217.4",-2.563
"45","AC137695.1",2.03
"46","AC159540.1",-2.415
"47","AC234582.1",5.707
"48","AC239868.2",2.867
"49","AC239868.3",2.867
"50","AC245100.1",2.123
"51","ACACB",-2.676
"52","ACAD11",-2.998
"53","ACADL",-4.086
"54","ACADVL",-2.49
"55","ACAP3",-2.758
"56","ACCS",-2.419
"57","ACKR1",-2.106
"58","ACOX2",-2.353
"59","ACSM3",-4.174
"60","ACTA2",-2.19
"61","ACTA2-AS1",-2.925
"62","ADAM33",-4.856
"63","ADAMTS1",-4.437
"64","ADAMTS10",-3.527
"65","ADAMTS16",-3.199
"66","ADAMTS4",-4.338
"67","ADAMTS5",-2.712
"68","ADAMTS9-AS1",-4.555
"69","ADAMTS9-AS2",-3.535
"70","ADAMTSL4",-2.708
"71","ADAP1",2.026
"72","ADCY10P1",-2.522
"73","ADCY2",-2.708
"74","ADCY3",-2.258
"75","ADCY4",-2.392
"76","ADCY6",-2.711
"77","ADCY7",-2.001
"78","ADGRA2",-2.877
"79","ADGRD1",-3.605
"80","ADGRG1",3.804
"81","ADGRG2",2.385
"82","ADH1B",-6.124
"83","ADHFE1",-3.705
"84","ADIRF-AS1",-2.67
"85","ADRA2A",-2.597
"86","ADRA2C",2.493
"87","ADRB3",-3.805
"88","AEBP1",-2.64
"89","AF011889.2",-2.04
"90","AFF3",-2.51
"91","AFG3L1P",-2.193
"92","AGAP11",-2.834
"93","AGAP9",-2.408
"94","AGPAT9",-3.344
"95","AGR2",2.004
"96","AGR3",2.018
"97","AGRN",3.548
"98","AHI1",-2.24
"99","AHNAK2",2.451
"100","AHSA2",-2.677
"101","AIF1L",2.81
"102","AK4",2.424
"103","AKAP12",-3.576
"104","AKAP17A",-2.601
"105","AKR1C1",-3.026
"106","AKR1C2",-2.632
"107","AKT3",-3.345
"108","AL109927.1",2.475
"109","AL162151.3",-9.834
"110","AL442127.1",-5.354
"111","ALDH1A1",-3.975
"112","ALDH1A2",-2.459
"113","ALDH1L1",-4.711
"114","ALDH3B2",4.348
"115","ALG3",2.134
"116","ALPL",3.531
"117","AMHR2",-4.953
"118","AMIGO2",-2.561
"119","AMN",2.196
"120","AMT",-3.848
"121","AMY2B",-3.04
"122","AMZ2P1",-2.151
"123","ANG",-3.587
"124","ANGPTL1",-4.516
"125","ANGPTL2",-2.465
"126","ANGPTL5",-3.207
"127","ANK2",-2.839
"128","ANKRA2",-2.327
"129","ANKRD10",-2.254
"130","ANKRD10-IT1",-2.832
"131","ANKRD13B",-2.175
"132","ANKRD23",-2.225
"133","ANKRD29",-3.304
"134","ANKRD35",-2.018
"135","ANKRD36",-2.531
"136","ANKRD36B",-2.043
"137","ANKRD37",-2.228
"138","ANKRD65",2.06
