"","uniprotswissprot","logFC"
"1","P08603",2.89784717631687
"2","Q6P499",-1.43768064673191
"3","Q9Y4W2",1.11275789599943
"4","Q9Y6X5",-1.66247204492286
"5","Q13275",-3.57395190712434
"6","O00522",2.53257211799417
"7","P43351",1.23983095732773
"8","P28838",-1.72998483318163
"9","O14792",3.24200756617382
"10","Q9Y6D9",5.36606668537867
"11","Q9P2N7",1.68774651944323
"12","Q9NR63",2.38456689161499
"13","Q05084",-2.79281500535057
"14","Q9H9R9",-3.10254171287109
"15","Q92851",-1.86367767866444
"16","O15519",1.01205967857699
"17","P10646",2.22247247568898
"18","P52756",2.52859037173541
"19","Q9Y216",1.72682707264806
"20","P52569",3.98078500509591
"21","P84085",-1.48148461403144
"22","P54819",-1.21393656705143
"23","P78332",2.86448319272162
"24","Q8N5S9",1.78600600561026
"25","O14558",3.36394833038893
"26","O14559",1.78334698228427
"27","O14561",-1.42003477099302
"28","Q16654",4.51384892647758
"29","O75800",-2.85729909298847
"30","Q96QS3",4.9730608420771
"31","P53701",-1.38724611172541
"32","P05141",-1.50184364555995
"33","Q9NWR8",-1.3645155498965
"34","P52435",-1.76732474580909
"35","Q9UPZ6",1.19706332587485
"36","Q53FZ2",3.97134227874056
"37","Q6FI81",-1.12311726146501
"38","Q8TCT7",1.29233613092616
"39","P31323",2.2024631999929
"40","O95153",2.49492832580243
"41","P27169",-1.17823751906376
"42","Q9H977",-1.17144953738218
"43","Q6NTF9",-1.369528067438
"44","O14628",-1.07543467714411
"45","O75592",1.88506772976852
"46","P20701",-1.70698781658333
"47","P26006",-2.02515467225404
"48","Q9NZC3",-1.40964403971783
"49","Q9BZF2",1.20510852051819
"50","Q9Y2Y6",1.6493748706442
"51","Q99558",1.13643001563321
"52","Q24JP5",-1.06618988588953
"53","O14978",1.18924162982461
"54","Q8TB22",1.0924326769397
"55","O43497",3.71752940585207
"56","Q9NP84",-3.6787993113126
"57","P80192",-1.32022078946313
"58","Q9UHR4",-4.19266813157183
"59","P50549",-2.03644227815472
"60","P43353",-2.94694365586422
"61","Q5TAA0",-4.8705150824965
"62","Q9Y258",4.29397783946152
"63","O00458",3.16610051633481
"64","Q9Y6U3",-1.34075473055074
"65","Q8IVW4",1.94070496511528
"66","Q96CT7",-1.14220610740281
"67","P35228",2.32195602892421
"68","O75865",-1.34422494738167
"69","P35499",2.04721290358051
"70","Q9UJJ7",-1.92200910436272
"71","Q96CC6",1.73902976648494
"72","Q9NQ29",2.19329269433481
"73","O94812",-2.03979154891259
"74","Q96RY5",2.3990406763409
"75","P16581",4.14696871997417
"76","O76039",1.39520667740542
"77","Q96NX5",3.62056166781355
"78","Q9UQ88",5.07549734157019
"79","Q9Y238",1.28355458143505
"80","Q9P0K1",2.67066557718964
"81","P49447",-2.00740652269038
"82","O60271",2.22189510729256
"83","Q9UDR5",4.21318037255197
"84","Q9UHA2",-1.11041932381552
"85","P10620",-3.54627419122842
"86","P24001",-3.22387032790855
"87","P98161",2.53383682148313
"88","Q9BYZ6",2.53805183161304
"89","O60673",1.22199112465377
"90","O00187",2.40693582734547
"91","Q9NP79",-1.2500776799742
"92","Q9NP71",-1.14292650825934
"93","Q9Y603",-2.21489010524707
"94","Q9H040",-1.04070843511049
"95","Q8N6R0",-1.05029975151683
"96","P31930",-1.83027006818706
"97","P21926",-3.75395856577788
"98","Q15021",-2.28371333978059
"99","Q0D2I5",3.12446123917119
"100","Q9NS98",1.25893843082362
"101","Q9Y2I1",1.88832066881432
"102","P22304",4.61810092157575
"103","P01730",-2.20284702975608
"104","Q06187",-1.59333407963847
"105","O95372",-1.63157292186326
"106","P51797",1.8131838677283
"107","Q9UBG0",1.62219286831553
"108","Q8WTS1",-1.82050036794967
"109","P23352",-2.81785497164198
"110","Q9ULX6",1.00764533920825
"111","Q05BQ5",1.13049188448452
"112","O43581",-1.89989885394565
"113","Q03405",-1.38575816291266
"114","Q9NQW6",-3.62674597236332
"115","P07585",3.19767448561786
"116","O43914",-3.7703102339794
"117","Q96B96",1.33687156110515
"118","P20273",4.01680237931195
"119","O43900",-2.16902837845383
"120","Q96RI1",5.24710297506125
"121","P09917",-2.1784557230364
"122","Q9P1Z2",1.68774833667338
"123","Q9Y4K4",1.56478827658485
"124","Q9NZN3",-1.33177775874185
"125","P43686",-1.6475116070729
"126","Q9Y2E5",1.10443140220184
"127","O75508",3.67596800696274
"128","Q9BZJ4",-1.7324079618775
"129","O95394",1.03336876423791
"130","P49759",2.65996644185223
"131","Q13495",1.47058105303095
"132","P30203",-1.84187261227774
"133","Q9Y6A5",-3.65002648544469
"134","Q14181",1.65441102367397
"135","Q8IXZ2",-1.52277148303228
"136","P07384",-1.94894741189486
"137","P15309",-3.08814789058479
"138","A4FU01",2.67267110446489
"139","Q9P219",-2.80048828622503
"140","P42768",-2.02085428438676
"141","P55957",-2.15621970729786
"142","P43243",2.8053323189262
"143","Q7L099",2.38797044921156
"144","Q12860",2.50924314759311
"145","P50993",4.31637757761463
