"","uniprot_gn_id","external_gene_name","cluster","betweenness","degree_centrality","file_id","ID","pocket","druggability","num_drug_pockets","struct_score"
"753","Q8TD08","MAPK15",20,0,1,"AF-Q8TD08-F1-model_v4","Q8TD08-F1",0.055,1,1,69.3901375711575
"856","Q96RQ9","IL4I1",10,0,1,"AF-Q96RQ9-F1-model_v4","Q96RQ9-F1",0.511,1,1,86.8211604326273
"82","O60840","CACNA1F",2,1139,3,"AF-O60840-F1-model_v4","O60840-F1",0.17,0.999,5,67.3246816045329
"18","O00338","SULT1C2",53,0,1,"AF-O00338-F1-model_v4","O00338-F1",0.298,0.998,1,95.7546737357259
"60","O43315","AQP9",2,0,1,"AF-O43315-F1-model_v4","O43315-F1",0.47,0.998,1,91.0660036084799
"294","P21817","RYR1",2,1899,4,"AF-P21817-F19-model_v4","P21817-F19",0.226,0.997,3,75.5543385568513
"521","Q02224","CENPE",2,1501,4,"AF-Q02224-F6-model_v4","Q02224-F6",0.135,0.997,5,72.5524854202401
"15","O00204","SULT2B1",53,0,1,"AF-O00204-F1-model_v4","O00204-F1",0.599,0.996,1,87.7219032921811
"685","Q7Z465","BNIPL",2,0,1,"AF-Q7Z465-F1-model_v4","Q7Z465-F1",0.19,0.996,1,68.6518282647585
"642","Q6GMR7","FAAH2",23,0,1,"AF-Q6GMR7-F1-model_v4","Q6GMR7-F1",0.082,0.995,1,94.182449377897
"303","P21926","CD9",2,1521,3,"AF-P21926-F1-model_v4","P21926-F1",0.063,0.994,1,88.1191475042064
"669","Q71F23","CENPU",2,0,3,"AF-Q71F23-F1-model_v4","Q71F23-F1",0.002,0.994,1,65.518599280144
"931","Q9HB15","KCNK12",36,0,1,"AF-Q9HB15-F1-model_v4","Q9HB15-F1",0.139,0.994,1,73.7849012458219
"389","P47989","XDH",46,0,1,"AF-P47989-F1-model_v4","P47989-F1",0.138,0.993,3,96.095941394081
"585","Q14680","MELK",2,0,1,"AF-Q14680-F1-model_v4","Q14680-F1",0.159,0.993,1,70.6437161388783
"639","Q5VZY2","PLPP4",45,0,1,"AF-Q5VZY2-F1-model_v4","Q5VZY2-F1",0.383,0.993,2,92.0033816651076
"955","Q9NPH5","NOX4",2,322,2,"AF-Q9NPH5-F1-model_v4","Q9NPH5-F1",0.046,0.993,3,86.7570520965693
"238","P14902","IDO1",34,0,1,"AF-P14902-F1-model_v4","P14902-F1",0.277,0.991,1,93.3983944810285
"427","P52732","KIF11",2,1046,9,"AF-P52732-F1-model_v4","P52732-F1",0.141,0.991,1,74.7686384864088
"651","Q6P597","KLC3",11,3,3,"AF-Q6P597-F1-model_v4","Q6P597-F1",0.212,0.991,1,76.0152002053388
"288","P21817","RYR1",2,1899,4,"AF-P21817-F20-model_v4","P21817-F20",0.145,0.989,2,76.5189462276809
"420","P51589","CYP2J2",22,0,1,"AF-P51589-F1-model_v4","P51589-F1",0.08,0.987,1,93.7890555828824
"976","Q9NZG7","NINJ2",2,0,1,"AF-Q9NZG7-F1-model_v4","Q9NZG7-F1",0.185,0.987,3,67.543722826087
"599","Q15561","TEAD4",2,1521,3,"AF-Q15561-F1-model_v4","Q15561-F1",0.243,0.986,2,76.5831209630065
"910","Q9H1C4","UNC93B1",54,0,1,"AF-Q9H1C4-F1-model_v4","Q9H1C4-F1",0.082,0.986,1,80.1787892948173
