gene_id,citation_score
CCDC6,199
TMEM102,5
MGST1,238
GPR19,30
BRCA2,14293
CYBB,2670
DLGAP5,180
TRPV6,747
PCNA,25415
ALK,14702
NRCAM,323
DIAPH3,86
HLA-DOA,61
AP1M2,40
KREMEN2,36
MAP7,94
TRIP13,197
SYNGR3,15
AIFM1,647
RSPO1,350
SKA1,114
SLC5A1,812
S100A4,1705
ALOX5,521
ERCC6L,62
SORT1,283
PARS2,24
IL27RA,214
ATP2B2,155
ZWINT,129
KIF18B,74
PI3,9625
CDK5,3067
ELMO3,22
GNLY,401
MAL2,176
KIF18A,144
FBXL16,15
HAS2,1108
FTH1,545
CENPN,68
PDZK1IP1,81
PYCR3,9
DMTN,60
SH3BGRL3,34
GRIK3,66
MPP7,39
CKS2,168
LILRB1,396
OASL,267
ILDR2,23
CCNF,183
PPP2R2B,113
RTN4R,339
CXCL16,927
SYK,5393
TPM3,485
GINS2,85
CITED4,42
ZNF726,4
COL22A1,58
CENPF,385
DSG2,470
COX7B,50
CENPL,22
KRT7,692
FUT2,560
IL1RAP,257
FAAH2,24
TNFRSF11B,2628
RAB6B,35
CENPK,50
PTTG1,437
FAM83D,58
TEAD4,381
CEP55,274
GNL3L,26
SYNGR2,14
EYA2,130
SGO1,255
HCST,246
OSM,3150
HLA-DPB1,1195
TNFRSF9,554
FYB1,86
TREM2,1706
CYBA,1043
LGR5,2020
LDHA,2225
MCM2,1556
CD48,1312
ARL11,38
PPARGC1B,252
MAD2L1,681
VAV3,321
KCNQ1,2537
OTUB2,43
MRPS12,14
ANLN,227
LGALS9,533
DLGAP3,25
CDK2AP1,92
TNFRSF12A,446
LRP2,452
CD180,151
SKA3,97
MELTF,38
HAVCR2,1252
BOP1,120
CXXC5,99
HDGF,328
L1CAM,2439
CXCL1,6221
CDCA5,156
VAMP8,317
GRN,3094
SDC4,556
KCNJ11,1019
PCDH7,114
RTKN,69
THEM6,6
HLA-DQA1,1989
AQP5,1158
LILRB4,208
PPP4C,32
TNFRSF13C,371
TTK,2047
PRKCQ,721
ATP5MF,2
PSMB3,28
E2F1,5117
DSCC1,20
PCBD1,30
RGCC,128
TMEM63C,12
PLK4,485
NOS1AP,221
ULBP3,143
ATP10B,18
PIK3CG,562
CSPG5,42
TRPV4,2211
UNC5A,71
GZMA,557
TNFRSF8,72
DAPP1,58
TNFRSF4,644
DDAH1,338
MARVELD3,36
P2RY2,470
PIF1,476
MMP9,34223
KRT80,32
BCL2A1,273
NR2F6,89
NAXE,51
CTNNA2,94
SGPP2,40
CXCR4,15921
RHOV,86
ASB9,31
GJB3,328
SOX17,1021
CDH2,1215
SHCBP1,65
CCNB2,453
STIL,469
HOMER2,101
GRHL2,231
COL13A1,75
LINGO1,268
FUT3,215
TM4SF1,151
CXCL14,483
EPHA1,315
HLA-DQA2,88
NKG7,82
LTB,2405
TUBB4A,118
CENPE,436
MPZL3,25
RIBC2,11
PERP,673
CENPM,49
LAMB3,288
ASS1,402
EGLN3,295
CABP4,49
PTPRJ,229
PPP1R16B,45
SELPLG,66
ISG15,1808
KRT17,271
PTPRF,139
CNKSR1,35
CASP8,5488
FCGR1A,253
IFIT3,344
RSAD2,393
KCTD1,35
BICDL2,0
SMAD1,3204
MSLN,812
FAM167A,37
TOP2A,1327
CCL4L2,18
KRT15,229
CARD11,557
OCLN,1993
CTSC,316
IL18,16116
KIF23,207
SKAP1,75
SLC7A11,1518
KIF14,163
LAPTM4B,179
HOXB6,118
KSR2,79
NDUFB11,35
SYNE4,9
FAM166B,4
EVPL,34
BLNK,282
NCAPG,252
LRRC43,0
SDC1,1549
FAM181A,11
CENPA,1089
ALDH3A1,316
KRT16,182
PROM1,2840
FOXP3,21309
GREM1,586
PARD6B,40
