"","Cluster","Term","PValue","Adjusted_Pvalue","Genes"
"1",1,"collagen catabolic process (GO:0030574)","1.261531352579516E-11","1.8934185713018333E-10","COL26A1;COL13A1;COL23A1;COL10A1;COL9A2"
"2",1,"multicellular organismal catabolic process (GO:0044243)","1.88172804509995E-11","1.8934185713018333E-10","COL26A1;COL13A1;COL23A1;COL10A1;COL9A2"
"3",1,"collagen metabolic process (GO:0032963)","2.2721022855622E-11","1.8934185713018333E-10","COL26A1;COL13A1;COL23A1;COL10A1;COL9A2"
"4",1,"multicellular organismal macromolecule metabolic process (GO:0044259)","3.246600227125299E-11","2.0291251419533117E-10","COL26A1;COL13A1;COL23A1;COL10A1;COL9A2"
"5",1,"multicellular organismal metabolic process (GO:0044236)","4.2916388377084604E-11","2.1458194188542302E-10","COL26A1;COL13A1;COL23A1;COL10A1;COL9A2"
"6",1,"extracellular matrix disassembly (GO:0022617)","1.251723625222171E-10","5.21551510509238E-10","COL26A1;COL13A1;COL23A1;COL10A1;COL9A2"
"7",1,"extracellular matrix organization (GO:0030198)","2.2123107086492805E-10","7.030344895294052E-10","COL26A1;COL13A1;COL22A1;COL23A1;COL10A1;COL9A2"
"8",1,"extracellular structure organization (GO:0043062)","2.2497103664940968E-10","7.030344895294052E-10","COL26A1;COL13A1;COL22A1;COL23A1;COL10A1;COL9A2"
"9",1,"cellular component disassembly (GO:0022411)","3.254809311452207E-8","9.04113697625613E-8","COL26A1;COL13A1;COL23A1;COL10A1;COL9A2"
"10",1,"Protein digestion and absorption Homo sapiens hsa04974","1.3278665672843739E-8","5.3114662691374954E-8","COL13A1;COL22A1;COL10A1;COL9A2"
"11",1,"Collagen biosynthesis and modifying enzymes Homo sapiens R-HSA-1650814","5.338889076739664E-15","7.47444470743553E-14","COL26A1;COL13A1;COL22A1;COL23A1;COL10A1;COL9A2"
"12",1,"Collagen formation Homo sapiens R-HSA-1474290","3.433495902923645E-14","2.4034471320465515E-13","COL26A1;COL13A1;COL22A1;COL23A1;COL10A1;COL9A2"
"13",1,"Extracellular matrix organization Homo sapiens R-HSA-1474244","5.266092079717001E-11","2.457509637201267E-10","COL26A1;COL13A1;COL22A1;COL23A1;COL10A1;COL9A2"
"14",1,"Collagen degradation Homo sapiens R-HSA-1442490","4.3003987597279326E-10","1.5051395659047764E-9","COL26A1;COL13A1;COL23A1;COL9A2"
"15",1,"Degradation of the extracellular matrix Homo sapiens R-HSA-1474228","2.5766395202684205E-8","7.214590656751577E-8","COL26A1;COL13A1;COL23A1;COL9A2"
"16",1,"Integrin cell surface interactions Homo sapiens R-HSA-216083","1.2455545877442223E-6","2.906294038069852E-6","COL13A1;COL23A1;COL9A2"
"17",2,"taxis (GO:0042330)","4.4524630526251986E-8","1.816604925471081E-5","CCL20;CCL5;CCL4;SAA1;APOA1;ACKR2;CCL28"
"18",2,"chemotaxis (GO:0006935)","4.4524630526251986E-8","1.816604925471081E-5","CCL20;CCL5;CCL4;SAA1;APOA1;ACKR2;CCL28"
"19",2,"inflammatory response (GO:0006954)","5.039986949566815E-7","1.3708764502821735E-4","CCL20;CCL5;CCL4;SAA1;SDC1;ACKR2;ASS1"
"20",2,"cell chemotaxis (GO:0060326)","1.843313681911984E-6","3.7603599111004477E-4","CCL20;CCL5;CCL4;SAA1;CCL28"
"21",2,"positive regulation of cell adhesion (GO:0045785)","2.9867892934018565E-6","4.8744401268318297E-4","SDC4;CCL5;SAA1;APOA1;CCL28"
"22",2,"positive regulation of lymphocyte migration (GO:2000403)","4.357321158465187E-6","5.507425504720562E-4","CCL20;CCL5;CCL4"
"23",2,"regulation of cell adhesion (GO:0030155)","4.724507173167148E-6","5.507425504720562E-4","SDC4;CCL5;SAA1;APOA1;CCL28;ASS1"
"24",2,"regulation of cell-cell adhesion (GO:0022407)","7.391114812008687E-6","7.538937108248861E-4","CCL5;APOA1;CCL28;ASS1"
"25",2,"regulation of lymphocyte migration (GO:2000401)","1.0601512545129217E-5","9.612038040917157E-4","CCL20;CCL5;CCL4"
"26",2,"regulation of leukocyte migration (GO:0002685)","1.378798649890969E-5","0.0011250996983110306","CCL20;CCL5;CCL4;CCL28"
