"","gene_id","uniprot_id","cluster","betweenness","degree_centrality","pocket","druggability","num_drug_pockets","struct_score"
"1","NDC80","O14777",1,80,2,0.161,0.532,2,78.6095798805165
"2","CLDN3","O15551",1,0,1,0.271,0.631,1,81.4275857843137
"3","KLK10","O43240",1,0,1,0.501,0.48,2,80.6801748582231
"4","HMMR","O75330",1,0,1,0.192,0.886,2,76.1048990670059
"5","SCGB2A1","O75556",1,41,2,0.253,0.67,1,87.3027947019868
"6","ALDH1L1","O75891",1,98,2,0.175,0.889,2,94.2595081259888
"7","RECQL4","O94761",1,0,1,0.125,0.793,1,69.0309568099209
"8","ALDH1A2","O94788",1,324,5,0.215,0.92,2,95.922861438236
"9","SERPINA1","P01009",1,860,7,0.431,0.336,0,89.0052049802612
"10","H2AC4","P04908",1,80,2,0.384,0.231,0,91.0890261044177
"11","FABP3","P05413",1,0,2,0.293,0.855,1,96.2407950191571
"12","FABP1","P07148",1,0,2,-0.023,0.981,1,94.9501004016064
"13","MME","P08473",1,626,4,0.377,0.727,3,96.2247209302326
"14","CYP3A4","P08684",1,80,2,0.291,0.912,2,92.8717079821517
"15","MMP7","P09237",1,135,3,0.296,0.381,0,87.5878133971292
"16","H2AC16","P0C0S8",1,234,2,0.416,0.234,0,91.3035750251762
"17","CXCL8","P10145",1,0,1,0.26,0.51,1,89.0216473616474
"18","MYB","P10242",1,158,2,0.162,0.652,1,59.1985935965429
"19","MYBL2","P10244",1,0,1,0.066,0.633,1,58.4505143475907
"20","TOP2A","P11388",1,0,1,0.045,0.897,1,76.4083174292472
"21","SI","P14410",1,0,1,0.18,0.775,1,94.0754916537136
"22","ANPEP","P15144",1,119,2,0.232,0.886,1,93.7512643826761
"23","H2BC17","P23527",1,80,2,0.371,0.957,2,88.0009928352098
"24","GUCY2C","P25092",1,80,2,0.126,0.599,1,79.6570737327189
"25","ANXA13","P27216",1,0,1,0.111,0.175,0,94.99476861167
"26","DPP4","P27487",1,80,2,0.321,0.453,1,96.406348188522
"27","HOXA10","P31260",1,80,2,0.369,0.469,1,60.8948876969494
"28","PCK1","P35558",1,80,2,0.323,0.964,1,96.5756716724954
"29","NNMT","P40261",1,188,5,0.451,0.978,1,96.1162433862434
"30","RARRES1","P49788",1,0,1,0.423,0.702,3,79.9436371379898
"31","KHK","P50053",1,80,2,0.191,0.135,0,97.308353765324
"32","MTTP","P55157",1,770,5,0.279,0.871,2,86.9198238327127
"33","H3C12","P68431",1,158,2,0.351,0.623,1,87.2869195189639
"34","SLC7A5","Q01650",1,450,2,0.097,0.862,2,86.240030919866
"35","CREB5","Q02930",1,902,12,0.237,0.103,0,58.3151974842767
"36","FOLH1","Q04609",1,877,5,0.322,0.643,1,94.0139711796247
"37","CDC20","Q12834",1,300,3,0.319,0.217,0,84.8543494038362
"38","CDH17","Q12864",1,728,5,0.211,0.658,1,87.4505427429274
"39","PMAIP1","Q13794",1,0,1,0.317,0.217,0,82.9101421800948
"40","GRB7","Q14451",1,386,3,0.214,0.36,0,78.8887791527844
"41","MEP1A","Q16819",1,443,4,0.157,0.373,0,84.6864978973928
"42","PGGHG","Q32M88",1,0,1,0.233,0.088,0,91.6447542997543
"43","FREM1","Q5H8C1",1,461,5,0.122,0.518,1,74.764717606043
"44","PDZK1","Q5T2W1",1,0,1,0.169,0.577,2,78.6556868611319
"45","MUC17","Q685J3",1,80,2,0.273,0.993,5,57.7093163011998
"46","MUC17","Q685J3",1,80,2,0.184,0.998,9,52.1710827629123
"47","MUC17","Q685J3",1,80,2,0.338,0.999,8,53.7420016594068
"48","MUC17","Q685J3",1,80,2,0.253,0.996,7,51.4707361010457
"49","MUC17","Q685J3",1,80,2,0.223,0.998,4,55.8011703011423
"50","MUC17","Q685J3",1,80,2,0.162,0.996,6,51.8669174632542
"51","MUC17","Q685J3",1,80,2,0.321,1,5,57.0481037344398
"52","MUC17","Q685J3",1,80,2,0.13,1,3,55.2405705081575
"53","MUC17","Q685J3",1,80,2,0.303,0.998,8,57.3136964859542
"54","MUC17","Q685J3",1,80,2,0.018,0.993,2,52.4057740764467
"55","MUC17","Q685J3",1,80,2,0.317,1,7,50.3874125077656
"56","OLFM4","Q6UX06",1,80,2,0.259,0.752,2,82.6658389095415
"57","ASRGL1","Q7L266",1,0,1,0.076,0.481,1,94.2158652988403
"58","MCM10","Q7L590",1,0,1,0.08,0.549,2,66.8889134545455
"59","SAPCD2","Q86UD0",1,158,2,0.296,0.713,2,69.7850384486794
"60","ABCA12","Q86UK0",1,0,2,0.128,0.999,5,68.1765444239899
"61","CYP4X1","Q8N118",1,0,1,0.21,0.901,3,89.8382430806258
"62","KIF18A","Q8NI77",1,0,1,0.186,0.256,0,67.7410391061453
"63","MUC16","Q8WXI7",1,0,1,0.102,0.344,0,76.3068718298868
"64","MUC16","Q8WXI7",1,0,1,0.18,0.798,1,55.9683919501677
"65","MUC16","Q8WXI7",1,0,1,0.085,0.22,0,75.5409531293335
"66","MUC16","Q8WXI7",1,0,1,0.186,0.021,0,67.4367753793949
"67","MUC16","Q8WXI7",1,0,1,0.089,0.463,1,74.6556522545927
"68","MUC16","Q8WXI7",1,0,1,0.177,0.72,2,77.3666569129481
"69","MUC16","Q8WXI7",1,0,1,0.065,0.305,0,75.3993635103926
"70","MUC16","Q8WXI7",1,0,1,0.129,0.507,3,61.6742145922747
"71","MUC16","Q8WXI7",1,0,1,0.095,0.146,0,75.5181759078666
"72","MUC16","Q8WXI7",1,0,1,0.196,0.403,1,73.854410041841
"73","PGAP3","Q96FM1",1,456,3,0.079,0.584,1,92.977776914108
