"","external_gene_name","description","count","counts_when_betweeness_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_cryptic_pockets_0","counts_when_logFC_0","DistinctDrugCount"
"1","ESR1","estrogen receptor 1",1799,3,6,6,0,8,194
"2","KCNJ3","potassium inwardly rectifying channel subfamily J member 3",1523,65,75,11,0,35,3
"3","MAGEA1","MAGE family member A1",1433,96,71,68,0,24,0
"4","CNGA2","cyclic nucleotide gated channel subunit alpha 2",1334,1,2,2,0,2,1
"5","MAGEA6","MAGE family member A6",1323,397,463,233,72,10,0
"6","H2BC6","H2B clustered histone 6",1273,1,1,1,0,1,0
"7","H2BC13","H2B clustered histone 13",1235,5,1,3,0,5,0
"8","ASPM","assembly factor for spindle microtubules",1108,5,7,8,0,2,0
"9","TRPA1","transient receptor potential cation channel subfamily A member 1",1077,1,9,13,0,9,10
"10","MAGEA3","MAGE family member A3",1040,50,54,89,0,1,2
"11","GATA3","GATA binding protein 3",965,169,198,343,0,0,13
"12","ORC1","origin recognition complex subunit 1",897,9,11,13,0,0,0
"13","CHRNA9","cholinergic receptor nicotinic alpha 9 subunit",807,1,5,6,0,2,2
"14","H2BC9","H2B clustered histone 9",730,19,25,44,0,0,0
"15","POLR2F","RNA polymerase II, I and III subunit F",724,60,63,1,0,23,0
"16","COL10A1","collagen type X alpha 1 chain",711,85,89,140,0,0,0
"17","H2BC5","H2B clustered histone 5",598,83,88,186,0,0,0
"18","BPIFB1","BPI fold containing family B member 1",592,104,125,218,0,0,0
"19","CARTPT","CART prepropeptide",481,132,158,1,0,26,4
"20","FN1","fibronectin 1",480,164,211,21,0,0,4
"21","CCNB1","cyclin B1",427,217,268,238,134,0,3
"22","CNTNAP2","contactin associated protein 2",427,308,353,253,207,0,0
"23","CST1","cystatin SN",420,369,408,132,312,0,0
"24","KIF20A","kinesin family member 20A",416,407,367,183,330,0,0
"25","IL19","interleukin 19",404,52,50,0,2,64,0
"26","MMP11","matrix metallopeptidase 11",398,34,41,0,0,47,0
"27","CBX2","chromobox 2",372,24,30,0,0,37,0
