symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PIK3CA	0.8849733859337184	No data	No data	0.7730988405360585	No data	No data	No data	0.9549947196932794	No data	0.006079307976116211	0.9607514025052935	0.9509202575344607	0.8007968431539079	0.9190679877429972	0.9262734422574772	No data	0.45050869819016554	0.9865331671779851	0.5807359874260895	No data	No data	0.9883866768571239	0.02595672151452327	No data	1	0	0	1	1	1	0.9344549999999998	1	-0.9689518649718691	-0.9497914136347615	0	-1	-1	0	-1	-1
ESR1	0.8801542600542782	0.8077072081041007	No data	0.015198269940290528	No data	No data	No data	No data	No data	No data	0.9226214066290276	0.7545563275197559	0.3039653988058105	0.9607983220922475	0.9952606298365363	No data	0.4028554954816608	0.8292004600368877	0.3039653988058105	No data	No data	0.9974916471294581	0.09467508312887606	0.27673009907280993	1	0	0	1	1	1	0.47058999999999995	1	-0.8989372785997083	-0.9362282669134749	0	-1	-1	0	0.5	0
ERBB2	0.8680374536599667	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9239701929971599	0.8005621897249015	0	0.9857024850308149	0.9940375723552703	No data	0.39637088004277693	0.9742143913335374	No data	No data	No data	0.9991494405409145	0.038803908551412886	No data	1	1	0	1	1	1	0.37848499999999985	1	-0.6316941029381121	-0.9657330905881697	0	-1	No data	0	-1	-1
TP53	0.8619773145955082	No data	No data	0.9104217827533262	0.7599134970145264	No data	No data	No data	No data	No data	0.9515531033440202	0.9564265224205744	0.8820907288419858	0.607930797611621	0.14353921610274387	No data	No data	0.9856315360164882	0.607930797611621	No data	No data	0.9925215569814173	No data	0.7782048564998525	0.75	0	0	1	1	0	0	No data	-0.5366743071473223	-0.9868896764809534	0	-1	-1	0	-1	-1
AKT1	0.8261710588305667	0.0791600082268388	No data	0.5073689115066987	No data	No data	0.8274613634158176	No data	No data	No data	0.9165821451095187	0.9147281211319899	0.547137717850459	No data	0.6492943061677596	No data	0.3275531137531414	0.9802615355154657	No data	0.865457038266544	No data	0.9826853687860593	No data	No data	0.75	0	0	1	1	1	0.9166649999999997	1	-0.7339028964367577	-0.9433490267504252	0	-1	-1	-0.5625	-1	-1
ERBB4	0.7695989736134321	0.6494039087748794	No data	No data	No data	No data	No data	No data	No data	No data	0.8570765220994967	0.3091165783782697	No data	0.607930797611621	0.9101319503255115	No data	No data	0.9748162620857227	No data	No data	No data	0.7389408136446386	0.08964677598322328	No data	1	1	0	1	1	1	0.8662100000000003	No data	-0.8036049176911857	-0.8554340655667527	0	No data	-1	0	0.5	0
CDK6	0.7625740837464068	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8699743018321302	No data	No data	No data	0.9852925813788217	No data	No data	0.8469682157917556	No data	No data	No data	0.32272646574671127	0.0628044653054016	No data	1	0	0	1	1	1	0.8159500000000002	1	-0.7829756199208169	-0.12451433516800392	0	-1	-1	-0.1257674999999999	0.5	0
EGFR	0.7592691504417803	No data	No data	0.19453785523571876	No data	No data	No data	No data	No data	No data	0.6978031094081049	0.35037268153398754	0	No data	0.9742872591846263	No data	0.2942385060440246	0.9776035037816935	0.3039653988058105	No data	No data	0.9918929945520495	0.14884440509839097	No data	1	1	1	1	1	1	0.5247950000000003	1	-0.6906647218170452	-0.9847086479593694	0	-1	-1	0	0.5	0
POLD1	0.752331820038378	No data	No data	0.25963711147996316	No data	No data	No data	No data	No data	No data	0.7001778390862753	0.4115121385503686	No data	No data	0.9756787398262052	No data	No data	0.8334267210607424	No data	No data	No data	0.4497215895787084	No data	0.4614194753872204	1	0	0	0	1	0	0.43541000000000024	No data	-0.46103354865597	-0.861607767966775	-1	No data	-1	0	-1	0
AR	0.7472996433509019	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8840288244172203	No data	No data	0.865457038266544	0.8235947485927929	No data	No data	0.7427657909702822	0.3039653988058105	No data	No data	0.9946088361940901	0.03821518281899714	0.45033233746577844	1	0	0	1	1	1	0.2826099999999997	1	-0.7693269431131485	-0.7350130584278847	0	-1	-1	0	0.5	0
