"gene_id","cluster","betweenness","degree_centrality"
"TRIM28","1",318843,75
"BRCA1","1",566250,44
"TP53","1",324499,42
"HSP90AA1","1",51926,36
"H2BC17","1",841530,35
"WDR76","1",646518,30
"EDEM3","1",528926,29
"GRB2","1",70829,27
"COMMD5","1",273972,26
"H2AX","1",83061,25
"ESR1","1",239665,24
"MAPT","1",301770,23
"PCNA","1",193621,23
"RFC2","1",52773,23
"RFC5","1",140013,23
"HSPA8","1",302782,22
"CANX","1",287281,21
"CLTC","1",145101,21
"DCTN4","1",99698,21
"HAUS8","1",375751,21
"KIF18B","1",21554,21
"KIF26B","1",35435,21
"RMI2","1",101514,21
"YWHAZ","1",44439,21
"CALML5","1",68353,20
"DCTN5","1",93121,20
"HDAC1","1",111256,20
"HDAC2","1",80644,20
"KIF16B","1",15784,20
"CCT5","1",64037,19
"HSP90AB1","1",123746,19
"KIF6","1",19630,19
"RUVBL1","1",56629,19
"USP7","1",392262,19
"YWHAB","1",317881,19
"CAND1","1",23604,18
"HAUS1","1",57988,18
"MRPL14","1",21154,18
"CHML","1",37456,17
"H2AZ1","1",50440,17
"H2BC7","1",127182,17
"MED1","1",118946,17
"PPP1CA","1",35481,17
"RFC4","1",45636,17
"SYK","1",47197,17
"AP1S3","1",6390,16
"CAPZA1","1",31466,16
"CBX3","1",36446,16
"CCT3","1",28480,16
"CDH1","1",47944,16
"HSPA4","1",57182,16
"MRPL35","1",92029,16
"MRPS23","1",46099,16
"PHB1","1",219084,16
"RAD21","1",117266,16
"RMI1","1",29515,16
"SOX2","1",79578,16
"STAU1","1",119203,16
"AP1M2","1",7822,15
"CDK1","1",205416,15
"CSNK2A1","1",81086,15
"DDB1","1",109025,15
"DNA2","1",200603,15
"H2BC21","1",21982,15
"HLA-DQB2","1",249196,15
"PALB2","1",83017,15
"PLK1","1",149351,15
"RAC3","1",194138,15
"RFC3","1",14217,15
"SPRTN","1",125397,15
"AP2B1","1",35013,14
"ASCC3","1",633886,14
"CCT8","1",50715,14
"CXCR4","1",120334,14
"ERBB2","1",21418,14
"FN1","1",39392,14
"GNG4","1",104989,14
"HSPD1","1",20581,14
"LCK","1",104180,14
"NEIL3","1",64103,14
"OIP5","1",191,14
"PABPC1","1",22645,14
"RBBP7","1",14295,14
"RPL26L1","1",20980,14
"SEC24D","1",68005,14
"SH3GL2","1",112960,14
"TFRC","1",17496,14
"TUBB4B","1",21488,14
"YKT6","1",171634,14
"AP1S1","1",5221,13
"ATRIP","1",24374,13
"BTRC","1",26987,13
"CENPX","1",29900,13
"CHCHD1","1",23226,13
"COPS5","1",42640,13
"EZR","1",30896,13
"P4HB","1",23946,13
"RBBP5","1",191735,13
"RECQL4","1",17361,13
"RHNO1","1",257,13
"RPA3","1",52722,13
"SYCP2","1",26291,13
"TUBA1A","1",127683,13
"VAMP8","1",20661,13
"XRCC5","1",155476,13
"AFF3","1",100141,12
"CCR4","1",54740,12
"CFAP53","1",1926,12
"DYNLL1","1",18379,12
"H2BC15","1",56257,12
"HLA-DQA2","1",53559,12
"IGHV3-11","1",32123,12
"KIF2A","1",15192,12
"LEO1","1",53048,12
"LMAN1","1",113319,12
"MIS18A","1",4129,12
"MNS1","1",3464,12
"MRPL51","1",2241,12
"PIERCE1","1",28002,12
"PRKDC","1",15976,12
"SPAG1","1",21759,12
"SYCP3","1",0,12
"TMED2","1",18561,12
"TOP1","1",13112,12
"AR","1",19351,11
"ARF1","1",20687,11
"ASH2L","1",26936,11
"BARD1","1",15774,11
"BRCA2","1",427248,11
"CCT2","1",61711,11
"CHEK1","1",2623,11
"CLBA1","1",12977,11
"COG2","1",62190,11
"ESRP1","1",58115,11
"GFM1","1",8251,11
"GFM2","1",2608,11
"GRSF1","1",28532,11
"HSPA2","1",77722,11
"HSPA9","1",109496,11
"KIF5B","1",10516,11
"MAPRE1","1",73203,11
"NBN","1",20824,11
"PEX2","1",64468,11
"PIK3CB","1",3882,11
"POLE3","1",7109,11
"RAC2","1",21572,11
"SKP2","1",7871,11
"SMARCA4","1",27887,11
"SMC2","1",131177,11
"SUPT16H","1",62617,11
"TEKT1","1",4600,11
"TEKT2","1",0,11
"XIAP","1",32253,11
"AGR2","1",142770,10
"BRIP1","1",306,10
"CBX1","1",0,10
"CCND1","1",16282,10
"CCT6A","1",16994,10
"CXCR6","1",11326,10
"DAP3","1",128276,10
"DCAF7","1",17680,10
"DNMT1","1",46645,10
"FANCD2","1",4499,10
"FANCI","1",14134,10
"H2BC11","1",28553,10
"H2BC12","1",36218,10
"HLA-DQA1","1",3035,10
"IGF1R","1",197102,10
"KIF20A","1",4827,10
"KIF23","1",265525,10
"KNL1","1",1,10
"MRPL49","1",3135,10
"PARP1","1",244443,10
"RBBP8","1",12085,10
"SDF2","1",54529,10
"SEC23IP","1",10610,10
"STAT1","1",10496,10
"TRAC","1",10209,10
"TRAF2","1",8142,10
"VAV3","1",61609,10
"XCR1","1",2667,10
"ARF4","1",15827,9
"ATP5MC1","1",49244,9
"AURKA","1",10494,9
"CALR","1",52663,9
"CASP3","1",31694,9
"CCNB1","1",42817,9
"CEP97","1",180579,9
"CFAP45","1",5377,9
"CFAP52","1",43856,9
"CX3CR1","1",6708,9
"DDX6","1",46818,9
"DYNLL2","1",6461,9
"ELOB","1",81218,9
"FBXO6","1",66298,9
"FCGR1A","1",10660,9
"FRS2","1",19547,9
"GAPDH","1",24950,9
"GSK3B","1",48359,9
"IGKV2D-40","1",15151,9
"KDELR1","1",37,9
"KPNA2","1",2813,9
"LAMTOR2","1",10230,9
"MACROH2A1","1",19000,9
"MRPL18","1",37,9
"MRPL21","1",17051,9
"MTIF2","1",2444,9
"NDE1","1",34320,9
"NDUFAF6","1",28277,9
"PEX12","1",28,9
"PEX13","1",114,9
"POLD2","1",2625,9
"RBM34","1",14364,9
