"","node_1","node_2","uniprot_id"
"1233","P84085","P15153",0.4
"18826","P84085","Q8NFJ9",0.401
"22358","P84085","Q9H267",0.409
"640","P84085","P08567",0.422
"39332","P84085","Q92786",0.437
"1306","P84085","Q9Y6Q5",0.442
"71073","P84085","Q96PC3",0.443
"76467","P84085","Q9NRD5",0.45
"17011","P84085","Q9UJY4",0.457
"36510","P84085","P57735",0.46
"26682","P84085","Q8TDY4",0.463
"50913","P84085","Q92805",0.464
"65950","P84085","Q7Z3U7",0.48
"12564","P84085","P61006",0.49
"23448","P84085","Q6WKZ4",0.499
"3277","P84085","O14939",0.501
"21684","P84085","P62136",0.527
"11782","P84085","Q5S007",0.529
"39044","P84085","P09874",0.543
"92222","P84085","Q8N726",0.546
"2","P84085","A5PKW4",0.55
"25540","P84085","P61966",0.565
"1222","P84085","Q9UIA0",0.579
"60276","P84085","A6NLJ0",0.592
"66037","P84085","P15328",0.606
"12023","P84085","Q9Y3Q3",0.607
"104540","P84085","P11277",0.623
"3503","P84085","Q9H254",0.623
"32745","P84085","Q01082",0.625
"33117","P84085","Q01484",0.626
"31381","P84085","Q14161",0.638
"15505","P84085","Q9UPQ3",0.646
"97490","P84085","O15020",0.657
"209","P84085","Q9UI14",0.658
"78313","P84085","O43731",0.67
"2873","P84085","Q15363",0.671
"3175","P84085","O14579",0.745
"103758","P84085","P61923",0.757
"115173","P84085","Q86YS3",0.774
"22874","P84085","P35606",0.781
"2937","P84085","O75154",0.96
"93277","Q9NR63","P19793",0.401
"72541","Q9NR63","P48449",0.433
"1995","Q9NR63","Q02318",0.483
"164","Q9NR63","Q7L5A8",0.44
"1926","Q9NR63","Q92781",0.441
"1026","Q9NR63","P48436",0.465
"51187","Q9NR63","Q6NUK4",0.47
"298","Q9NR63","O60347",0.479
"25981","Q9NR63","O95237",0.48
"89571","O14792","Q8N307",0.402
"74223","Q13275","P78352",0.405
"73027","Q13275","P54762",0.409
"80970","O14792","Q96HQ2",0.418
"24135","Q13275","Q6ZN44",0.419
"562","Q13275","Q92187",0.42
"16049","O14792","O43916",0.424
"27768","Q13275","Q9HB63",0.424
"31085","O14792","O95461",0.439
"104726","Q13275","Q96B86",0.424
"115875","Q13275","P09958",0.424
"50067","O14792","Q7LGC8",0.453
"41425","O14792","Q16570",0.457
"31341","Q13275","Q96FE5",0.429
"15848","Q13275","O00212",0.432
"3","Q13275","Q9BZR6",0.435
"84555","O14792","Q7LFX5",0.475
"849","O14792","P10124",0.48
"71738","Q13275","P13612",0.443
"81184","O14792","Q12923",0.489
"46119","O14792","P61326",0.49
"79330","O14792","Q9NS00",0.497
"10818","O14792","P04843",0.505
"24340","Q9NR63","P58012",0.493
"242","Q13275","P14210",0.455
"20264","O14792","Q9Y2A9",0.519
"58916","O14792","Q8N0V5",0.524
"89172","Q13275","Q9C0A1",0.456
"5066","Q9NR63","Q14534",0.505
"30768","Q13275","P02751",0.456
"3676","Q13275","Q9UPQ7",0.47
"16547","Q9NR63","O75881",0.509
"35218","O14792","Q8IWU5",0.535
"43781","Q13275","Q93097",0.47
"34360","Q13275","Q8TDZ2",0.474
"72651","Q13275","Q96MS0",0.475
"43357","Q13275","P01138",0.479
"78138","Q13275","P61073",0.479
"571","Q9NR63","P09455",0.524
"40","Q13275","P98172",0.48
"97284","Q13275","P09086",0.481
"113479","Q9NR63","O75911",0.542
"22687","Q13275","P52803",0.492
"78914","Q9NR63","P13631",0.554
"10916","Q13275","Q04912",0.496
"24789","Q13275","Q8IZJ1",0.509
"57868","Q13275","Q92823",0.51
"6419","Q9NR63","Q9Y2D4",0.593
"32031","Q9NR63","Q6UW02",0.595
"64117","Q13275","P20916",0.511
"18707","Q13275","P08581",0.526
"54229","Q13275","P61587",0.546
"39708","Q13275","O75051",0.561
"65261","Q13275","O14908",0.594
"7035","Q13275","P21709",0.614
"91029","Q13275","Q9HCK4",0.618
"23821","Q13275","O75094",0.62
"115415","Q9NR63","P29373",0.665
"19","Q13275","O95631",0.707
"106099","Q9NR63","Q9BX79",0.678
"14250","Q9NR63","P16662",0.687
"111507","Q13275","P15692",0.889
"2023","Q13275","O60486",0.973
"35842","Q13275","O60462",0.995
"4848","Q13275","O14786",0.998
"2676","Q16850","Q9Y6A2",0.415
"52965","Q9NR63","Q06278",0.906
"264","Q9NR63","P20815",0.929
"15739","Q9NR63","Q96SQ9",0.933
"11989","Q9NR63","P29762",0.958
"11391","Q9NR63","P00352",0.962
"69202","O14792","Q9NXK6",0.563
"2185","O14792","Q8IWU6",0.586
"40117","O14792","Q9ULL1",0.606
"18585","O14792","Q9P109",0.616
"56783","O14792","Q16394",0.637
"165","Q16850","Q7L5A8",0.56
"96703","O14792","Q96MM7",0.71
"40469","O14792","Q9Y2C2",0.871
"48862","O14792","P31431",0.93
"61098","O14792","P18827",0.932
"6","Q16850","P28799",0.426
"5036","Q16850","P24752",0.631
"6507","Q16850","Q8N5K1",0.436
"27833","Q16850","P21246",0.439
"14146","Q16850","P49327",0.446
"29338","O14792","O75056",0.935
"58474","O14792","O00468",0.936
"15433","O14792","P34741",0.958
"19890","Q16850","Q96IV6",0.638
"15196","Q16850","O43447",0.735
"5413","Q16850","P05108",0.669
"32028","Q16850","Q6UW02",0.462
"24042","Q16850","Q8WUS8",0.465
"7236","Q16850","Q99720",0.931
"32498","Q16850","P14324",0.956
"105189","Q16850","P01130",0.469
"18655","Q16850","P08574",0.469
"67340","Q16850","Q9H5J4",0.472
"18439","Q16850","Q86SK9",0.478
"28028","Q16850","P00167",0.835
"45812","Q16850","Q15392",0.981
"90697","Q16850","P22570",0.489
"11072","Q16850","Q96DR4",0.495
"7314","Q16850","Q53GQ0",0.502
"760","Q16850","Q5EBL8",0.503
"5064","Q16850","Q14534",0.994
"20429","Q16850","O60427",0.518
"857","Q16850","P11161",0.902
"44631","Q16850","Q15738",0.997
"15655","Q16850","P99999",0.532
"11359","Q16850","Q9H2F3",0.537
"3947","Q16850","O75845",0.998
"72534","Q16850","P48449",0.999
"569","Q16654","Q08426",0.593
"77198","Q16850","P13716",0.556
"60757","Q16654","P30825",0.405
"106958","Q16654","Q9H3M7",0.406
"1123","Q16654","P20393",0.408
"40968","Q16654","O00141",0.409
"91463","P52569","Q8IWT0",0.412
"20085","P52569","Q86XE3",0.412
"90603","P52569","P11166",0.414
"58826","Q16654","Q12778",0.599
"72331","P52569","Q9UM01",0.43
"103927","P52569","Q9H2H9",0.433
"11205","P52569","Q13595",0.439
"15624","Q16654","P99999",0.412
"47128","Q16654","P13584",0.418
"78684","Q16654","Q15120",0.606
"421","Q16654","Q96PD7",0.42
"9013","Q16654","P37231",0.627
"11788","Q16654","Q5S007",0.422
"59996","Q16654","O75521",0.423
"28088","Q16654","Q96A54",0.426
"86872","Q16654","P09467",0.429
"94386","P52569","Q9BTF0",0.451
"5082","P52569","P13866",0.459
"55890","P52569","P19623",0.46
"19458","Q16654","P35558",0.631
"20021","Q16654","P14672",0.695
"13935","Q16654","P06213",0.437
"76132","Q16654","P11474",0.699
"4472","Q16654","Q9UBK2",0.811
"17381","Q16654","Q86YN6",0.445
"14298","Q16654","P35568",0.453
"14629","P52569","Q9NY97",0.465
"16000","P52569","Q96FV3",0.486
"61883","P52569","P22102",0.493
"75383","P52569","O94901",0.494
"34494","Q9UHR4","Q99683",0.406
"632","P52569","P11926",0.505
"15551","P52569","P62079",0.513
"48282","P52569","P00966",0.578
"75780","Q16654","O00327",0.461
"52348","Q16654","Q5I0G3",0.462
"27810","Q16654","O00763",0.465
"39213","Q16654","P62508",0.467
"3011","Q16654","Q9Y2P4",0.47
"70245","Q16654","P07195",0.474
"51137","Q16654","P05413",0.48
"64100","Q16654","Q9Y6R4",0.483
"89342","Q16654","Q9NRP4",0.484
"102490","Q16654","P00338",0.51
"15214","Q9UHR4","Q9BZE9",0.413
"2959","P52569","P43005",0.647
"2639","P52569","P78540",0.675
"66078","P52569","P51606",0.676
"3300","Q9UHR4","Q16204",0.415
"77908","Q9UHR4","P51826",0.419
"110065","Q16654","O95479",0.518
"109007","Q9UHR4","O43900",0.422
"109291","Q9UHR4","Q9Y4F1",0.427
"51413","Q9UHR4","Q9H694",0.432
"18482","Q9UHR4","Q9UQB8",0.631
"77111","Q9UHR4","Q8WXR4",0.465
"55727","Q9UHR4","P42768",0.74
"7755","Q9UHR4","Q12929",0.918
"27260","Q9UHR4","P22607",0.481
"26063","Q24JP5","Q9NP50",0.4
"25429","Q24JP5","Q96FZ5",0.404
"115","Q16654","Q16822",0.526
"6853","Q9UHR4","P00533",0.487
"20199","Q9UHR4","O75410",0.529
"17110","Q16654","P55851",0.531
"81093","Q24JP5","Q96M96",0.415
"46639","Q24JP5","Q5VUD6",0.417
"53512","Q24JP5","Q7Z7J9",0.417
"21886","Q9UHR4","Q9Y6A5",0.616
"28080","Q24JP5","Q8NC96",0.429
"54616","Q24JP5","Q9BSE5",0.431
"11652","Q24JP5","Q9P1W3",0.433
"4360","Q24JP5","Q9H6D8",0.434
"46328","Q16654","P23786",0.539
"11215","Q24JP5","Q9UHE8",0.441
"35695","Q24JP5","Q96RL7",0.45
"73943","Q24JP5","Q8IVT5",0.456
"53102","Q24JP5","Q8IYR6",0.477
"9571","Q24JP5","P57727",0.478
"16927","Q24JP5","Q5U4P2",0.479
"7","Q24JP5","Q9Y4A8",0.49
"23945","Q24JP5","O43759",0.613
"29966","Q16654","P08237",0.553
"90548","Q16654","P11166",0.556
"85498","Q9Y6M0","B3KU38",0.42
"55848","Q24JP5","Q9H7V2",0.642
"79959","Q24JP5","Q3V5L5",0.65
"295","Q24JP5","Q9UKB3",0.693
"469","Q16654","P04406",0.562
"111414","O75865","Q6DD87",0.406
"16164","Q16654","P06858",0.563
"16081","Q16654","Q9P2J9",0.566
"14152","Q16654","P49327",0.575
"2030","O75865","Q96JB2",0.409
"99854","Q16654","P49748",0.587
"56523","Q9Y6M0","Q96BW5",0.431
"80757","O75865","Q6QNY0",0.424
"28341","Q9Y6M0","O43278",0.441
"26756","O75865","Q15437",0.425
"37979","O75865","Q5T6F0",0.429
"30055","O75865","Q7L5Y1",0.445
"23073","O75865","Q86SZ2",0.891
"26242","O75865","Q8WVB3",0.498
"60175","O75865","P50395",0.909
"25334","O75865","Q7Z392",0.96
"84725","Q9Y6M0","Q15111",0.463
"55284","O75865","Q567U6",0.499
"74143","O75865","Q9NRG7",0.516
"16065","O75865","Q6UX98",0.529
"105817","Q9Y6M0","Q14137",0.478
"63608","O75865","Q96Q05",0.995
"103222","O75865","Q96QF0",0.587
"199","O75865","Q8N2M8",0.596
"113444","O75865","O43617",0.999
"90495","O75865","P01009",0.6
"109042","O75865","Q8IUR0",0.999
"13575","O75865","Q9Y5R8",0.999
"4114","Q9H977","O14530",0.41
"6618","Q9H977","O75380",0.433
"66036","O75865","P15328",0.6
"89508","Q9H977","Q8N0X7",0.472
"2875","O75865","Q15363",0.6
"69523","O75865","P15514",0.6
"24005","O75865","Q02388",0.6
"35636","O75865","P00451",0.6
"10377","O75865","P01135",0.6
"109","O75865","O95406",0.607
"16201","O75865","Q6PI25",0.607
"66151","Q9H977","Q96MT7",0.62
"3679","Q9H977","Q15005",0.622
"57099","Q9Y6M0","O75038",0.564
"380","O75865","P53634",0.608
"113408","Q9H977","Q8TCZ2",0.627
"4199","O75865","Q9BRL7",0.622
"61557","Q9H977","O43149",0.639
"54613","Q9Y6M0","Q9BSE5",0.634
"45","Q9BZF2","Q9C075",0.402
"106368","Q8TB22","Q9NTJ4",0.4
"41043","Q8TB22","Q16222",0.414
"10285","Q8TB22","Q504Y2",0.426
"22161","Q8TB22","Q9NZN3",0.437
"48299","Q8TB22","Q5JTD7",0.437
"42","Q8TB22","Q9H6D7",0.454
"33664","Q8TB22","Q9UGI8",0.467
"41","Q6NTF9","Q9UKN7",0.406
"71324","Q6NTF9","O60830",0.495
"5650","Q6NTF9","P58872",0.514
"8081","Q6NTF9","Q9NT62",0.54
"2944","Q6NTF9","Q15370",0.54
"45345","Q9BZF2","O75061",0.41
"46357","Q9BZF2","Q86YB7",0.455
"20506","Q6NTF9","Q6PJF5",0.556
"21786","Q8TB22","Q8IYB3",0.541
"65849","Q8TB22","Q9P0W8",0.584
"5729","Q8TB22","Q96F10",0.611
"108472","Q9BZF2","O94911",0.469
"71530","Q8TB22","P49674",0.674
"9270","Q6NTF9","Q9NX52",0.637
"41845","Q9BZF2","P98198",0.499
"21436","Q6NTF9","Q9H300",0.663
"48540","Q8TB22","Q9BR10",0.71
"191","Q9BZF2","Q53H96",0.565
"47006","Q8TB22","Q9NWH7",0.737
"39205","Q8TB22","Q96L03",0.752
"65475","Q8TB22","Q99538",0.788
"2954","Q6NTF9","Q96CC6",0.709
"648","Q9BZF2","P08567",0.601
"114999","P26006","P0C875",0.4
"67941","Q9Y2T7","P21754",0.75
"77744","P26006","Q14192",0.403
"17560","Q9Y2T7","P11940",0.408
"10220","P26006","P19320",0.404
"8186","P26006","P04216",0.406
"19896","P26006","Q9UIG8",0.41
"21308","P26006","Q99715",0.413
"60407","P26006","P02458",0.692
"68561","P26006","P10451",0.695
"4451","P26006","P05362",0.414
"35407","P26006","P02786",0.7
"7596","P26006","Q14185",0.416
"10446","P26006","P12111",0.703
"31533","P26006","P39060",0.711
"65596","P26006","P19075",0.712
"65018","Q9Y2T7","Q9H8V3",0.429
"20","P26006","O95631",0.425
"75730","P26006","Q9HBI1",0.714
"17770","P26006","Q96GD4",0.429
"21836","P26006","Q86XX4",0.432
"12480","P26006","P12110",0.72
"1087","P26006","P50552",0.721
"38950","P26006","P35442",0.721
"50260","P26006","P17813",0.441
"82173","P26006","Q9BY77",0.466
"38079","P26006","P12109",0.733
"105583","P26006","P20702",0.735
"68020","P26006","Q14031",0.742
"100813","P26006","P11215",0.745
"441","Q9Y2T7","O75969",0.452
"30239","Q9Y2T7","O60522",0.455
"5400","P26006","O60637",0.483
"51084","Q9Y2T7","Q96QF7",0.477
"3017","Q9Y2T7","P19784",0.487
"70892","P26006","Q01955",0.746
"58457","P26006","O00468",0.755
"339","P26006","P02452",0.757
"2581","P26006","P12830",0.493
"1449","P26006","O43707",0.774
"9583","Q9Y2T7","Q8WYR4",0.493
"24032","P26006","Q02388",0.498
"71010","P26006","P53420",0.793
"2125","P26006","P04921",0.499
"23625","P26006","P29400",0.795
"101217","P26006","Q14118",0.507
"365","P26006","P27701",0.512
"39984","P26006","P47224",0.801
"82588","P26006","P16070",0.538
"33944","P26006","P29317",0.829
"19964","P26006","P27797",0.838
"11645","P26006","P62330",0.901
"60234","P26006","Q9Y6C2",0.54
"85398","P26006","Q92800",0.56
"75244","P26006","P57087",0.907
"32715","P26006","P20701",0.917
"71762","P26006","P13612",0.923
"17323","P26006","Q6UVK1",0.926
"111719","P26006","P15692",0.926
"72290","P26006","O14817",0.589
"42971","P26006","O75578",0.928
"49002","P26006","P00749",0.928
"11882","P26006","Q9BX67",0.93
"62292","P26006","P98155",0.931
"90664","P26006","Q15582",0.933
"78861","P26006","P55268",0.934
"13817","P26006","Q14114",0.934
"5150","Q9Y2T7","Q8TBF4",0.533
"106874","Q9Y2T7","O95476",0.534
"135","Q9Y2T7","P68400",0.538
"86778","P26006","P22105",0.612
"239","P26006","P14210",0.94
"56722","P26006","P53708",0.943
"2215","P26006","P07996",0.945
"48924","P26006","Q14055",0.618
"83686","P26006","P24043",0.947
"27020","P26006","Q03405",0.948
"4051","P26006","P14543",0.948
"80060","P26006","Q9HBI0",0.635
"18690","P26006","P08581",0.953
"245","P26006","P07942",0.954
"60726","Q9Y2T7","Q13227",0.58
"110852","Q9Y2T7","Q9BZB8",0.584
