"","uniprot_gn_id","external_gene_name","cluster","betweenness","degree_centrality","logFC","file_id","ID","pocket","druggability","num_drug_pockets","struct_score"
"1","A0AVK6","E2F8",2,0,1,1.39254809696518,"AF-A0AVK6-F1-model_v4","A0AVK6-F1",0.14,0.562,1,53.6931614756577
"2","A8MQ03","CYSRT1",20,0,1,1.4465264135594,"AF-A8MQ03-F1-model_v4","A8MQ03-F1",0.213,0.308,0,55.8977620396601
"3","B1AK53","ESPN",16,5,3,1.50522427500113,"AF-B1AK53-F1-model_v4","B1AK53-F1",0.114,0.144,0,68.309967416602
"4","B4DS77","SHISA9",2,0,1,1.60322677100858,"AF-B4DS77-F1-model_v4","B4DS77-F1",0.277,0.654,1,56.9548785670917
"5","K7EJ46","SMIM22",32,0,1,2.12834818140494,"AF-K7EJ46-F1-model_v4","K7EJ46-F1",0.255,0.386,0,75.8180834621329
"6","O00180","KCNK1",24,0,2,1.13377213355479,"AF-O00180-F1-model_v4","O00180-F1",0.38,0.943,2,83.7794213649852
"7","O00238","BMPR1B",8,0,1,4.03166108930236,"AF-O00238-F1-model_v4","O00238-F1",0.206,0.225,0,85.1282622868606
"8","O00257","CBX4",2,0,6,1.44978997118315,"AF-O00257-F1-model_v4","O00257-F1",0.083,0.562,1,54.7085965317919
"9","O00762","UBE2C",2,263,4,1.14676233630312,"AF-O00762-F1-model_v4","O00762-F1",0.355,0.286,0,89.6987066473989
"10","O14578","CIT",2,0,1,1.06687262685011,"AF-O14578-F1-model_v4","O14578-F1",0.129,0.882,1,70.152782431933
"11","O14745","NHERF1",2,3065,4,1.53841085895858,"AF-O14745-F1-model_v4","O14745-F1",0.202,0.212,0,72.4747214076246
"12","O14777","NDC80",2,0,1,1.04063895247229,"AF-O14777-F1-model_v4","O14777-F1",0.161,0.532,2,78.6095798805165
"13","O14965","AURKA",2,0,6,1.23466225892641,"AF-O14965-F1-model_v4","O14965-F1",0.139,0.431,1,75.9057868649318
"14","O14983","ATP2A1",6,0,1,4.0632121530376,"AF-O14983-F1-model_v4","O14983-F1",0.062,0.891,5,88.6152205977487
"15","O15232","MATN3",2,0,1,2.12287650078819,"AF-O15232-F1-model_v4","O15232-F1",0.264,0.62,1,78.4606536479523
