"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000380697","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000380697","0.08",,,,,,,"0.422","0.398"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000452871","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000452871","0.049",,"0.5",,,,,"0.504","0.042"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000369071","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000369071","0.086",,,,,,,"0.691","0.676"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000250448","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000250448","0.067",,"0.5",,,,,"0.56","0.133"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000350815","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000350815","0.047",,"0.8","0.102",,,,"0.945","0.721"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000262186","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000262186","0.062",,,,,,,"0.417","0.404"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000248553","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000248553","0.216",,,"0.292",,,,"0.572","0.291"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000231509","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000231509","0.05",,"0.8","0.643",,,,"0.996","0.954"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000378199","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000378199","0.112",,"0.5","0.093",,,,"0.748","0.448"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000320130","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000320130","0.046",,"0.4","0.129",,,,"0.494","0.106"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000248933","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000248933","0.055",,,"0.09",,,,"0.406","0.366"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000325120","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000325120","0.047",,"0.8","0.102",,,,"0.977","0.885"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000352835","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000352835",,,,,,,,"0.4","0.401"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000419313","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000419313",,,,"0.311",,,,"0.639","0.498"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000405330","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000405330","0.048",,"0.5","0.339",,,,"0.893","0.702"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000340820","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000340820","0.043",,,"0.259",,,,"0.699","0.61"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000310721","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000310721","0.051","0.457",,"0.049",,,,"0.66","0.389"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000332296","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000332296","0.067",,,"0.056",,,,"0.635","0.62"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000368632","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000368632","0.047",,"0.5",,,,,"0.519","0.072"
"pp","9606.ENSP00000001008 (pp) 9606.ENSP00000484824","false","pp","9606.ENSP00000001008 (pp) 9606.ENSP00000484824",,,,"0.09",,,,"0.476","0.449"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000297785","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000297785","0.067",,"0.91","0.045",,,,"0.964","0.614"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000265896","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000265896","0.131",,"0.111","0.309",,,,"0.576","0.3"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000320604","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000320604","0.103",,"0.099","0.27",,,,"0.415","0.126"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000363832","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000363832","0.081",,"0.908",,,,,"0.921","0.154"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000249750","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000249750","0.068",,"0.91","0.045",,,,"0.988","0.876"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000271971","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000271971","0.057",,,"0.062",,,,"0.409","0.386"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000324648","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000324648","0.062","0.229","0.906","0.054",,,,"0.936","0.17"
