"","node_1","node_2","stringdb..score"
"1","ENSP00000220616","ENSP00000367069",0.614
"2","ENSP00000231706","ENSP00000295822",0.672
"3","ENSP00000231706","ENSP00000346080",0.717
"4","ENSP00000241261","ENSP00000479618",0.407
"5","ENSP00000250160","ENSP00000404854",0.772
"6","ENSP00000254624","ENSP00000254627",0.4
"7","ENSP00000254624","ENSP00000407107",0.556
"8","ENSP00000254624","ENSP00000484634",0.448
"9","ENSP00000254627","ENSP00000407107",0.922
"10","ENSP00000312150","ENSP00000479618",0.495
"11","ENSP00000286355","ENSP00000373648",0.465
"12","ENSP00000295797","ENSP00000348161",0.497
"13","ENSP00000295822","ENSP00000312150",0.583
"14","ENSP00000302578","ENSP00000319305",0.538
"15","ENSP00000302578","ENSP00000318016",0.465
"16","ENSP00000302578","ENSP00000419298",0.666
"17","ENSP00000264674","ENSP00000420294",0.619
"18","ENSP00000265896","ENSP00000318016",0.41
"19","ENSP00000276708","ENSP00000302578",0.524
"20","ENSP00000286355","ENSP00000407107",0.481
"21","ENSP00000295797","ENSP00000337688",0.675
"22","ENSP00000295797","ENSP00000420294",0.402
"23","ENSP00000295797","ENSP00000391299",0.658
"24","ENSP00000295797","ENSP00000415243",0.45
"25","ENSP00000295822","ENSP00000346080",0.847
"26","ENSP00000302578","ENSP00000479618",0.408
"27","ENSP00000312150","ENSP00000319305",0.483
"28","ENSP00000319305","ENSP00000383933",0.45
"29","ENSP00000318016","ENSP00000319305",0.556
"30","ENSP00000319305","ENSP00000419298",0.469
"31","ENSP00000325978","ENSP00000326240",0.561
"32","ENSP00000325978","ENSP00000342188",0.671
"33","ENSP00000325978","ENSP00000333037",0.498
"34","ENSP00000333037","ENSP00000342188",0.789
"35","ENSP00000326240","ENSP00000414635",0.702
"36","ENSP00000326240","ENSP00000342188",0.728
"37","ENSP00000325978","ENSP00000414635",0.614
"38","ENSP00000326240","ENSP00000333037",0.729
"39","ENSP00000328835","ENSP00000445979",0.41
"40","ENSP00000333037","ENSP00000414635",0.757
"41","ENSP00000337688","ENSP00000391299",0.628
"42","ENSP00000337688","ENSP00000420294",0.58
"43","ENSP00000337688","ENSP00000415243",0.441
"44","ENSP00000378784","ENSP00000445979",0.446
"45","ENSP00000337688","ENSP00000348161",0.456
"46","ENSP00000348161","ENSP00000420294",0.644
"47","ENSP00000348161","ENSP00000391299",0.542
"48","ENSP00000342188","ENSP00000414635",0.797
"49","ENSP00000348161","ENSP00000415243",0.474
"50","ENSP00000415243","ENSP00000420294",0.541
"51","ENSP00000391299","ENSP00000415243",0.433
"52","ENSP00000404854","ENSP00000479618",0.71
"53","ENSP00000419298","ENSP00000479618",0.597
