"interaction","name","selected","shared interaction","shared name","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::score","stringdb::textmining"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000340820","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000340820",,"0.236",,"0.447","0.306"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000231509","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000231509","0.8","0.457",,"0.975","0.791"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000351646","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000351646","0.5","0.345",,"0.721","0.219"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000350815","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000350815","0.8","0.089",,"0.891","0.452"
"ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000352882","false","ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000352882",,"0.077",,"0.692","0.68"
"ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000368314","false","ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000368314",,,,"0.551","0.551"
"ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000265371","false","ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000265371",,,,"0.955","0.955"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000444810","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000444810","0.9",,,"0.97","0.72"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","0.5","0.329",,"0.836","0.551"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252",,,,"0.404","0.404"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000379287","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000379287",,,,"0.614","0.614"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000248553","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000248553",,"0.39",,"0.832","0.736"
"ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000275493","false","ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000275493","0.9","0.457",,"0.998","0.975"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000259607","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000259607",,,,"0.507","0.507"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000334448","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000334448",,"0.8",,"0.8",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000311035","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000311035",,,,"0.934","0.935"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000452786","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000452786",,"0.549",,"0.549",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000365272","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000365272",,,,"0.408","0.409"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000248564","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000248564",,,,"0.406","0.406"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000354901","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000354901",,,,"0.56","0.56"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000497260","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000497260",,"0.8",,"0.8",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000351059","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000351059","0.9","0.618",,"0.999","0.983"
"ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000261733","false","ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000261733",,,,"0.412","0.413"
"ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000363832","false","ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000363832",,,,"0.408","0.409"
"ppp","9606.ENSP00000014930 (ppp) 9606.ENSP00000366109","false","ppp","9606.ENSP00000014930 (ppp) 9606.ENSP00000366109","0.4",,,"0.4",
"ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000228251","false","ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000228251",,,,"0.982","0.982"
"ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000222390","false","ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000222390",,,,"0.704","0.704"
"ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000267101","false","ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000267101","0.9",,,"0.9",
"ppp","9606.ENSP00000005286 (ppp) 9606.ENSP00000322323","false","ppp","9606.ENSP00000005286 (ppp) 9606.ENSP00000322323","0.5",,,"0.499",
"ppp","9606.ENSP00000005587 (ppp) 9606.ENSP00000478763","false","ppp","9606.ENSP00000005587 (ppp) 9606.ENSP00000478763","0.5",,,"0.637","0.304"
"ppp","9606.ENSP00000005587 (ppp) 9606.ENSP00000346671","false","ppp","9606.ENSP00000005587 (ppp) 9606.ENSP00000346671",,"0.457",,"0.457",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000265171","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000265171",,,,"0.912","0.912"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000264498","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000264498",,,,"0.937","0.937"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000420298","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000420298",,,,"0.524","0.524"
"ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000264498","false","ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000264498",,"0.236",,"0.637","0.545"
"ppp","9606.ENSP00000061240 (ppp) 9606.ENSP00000444271","false","ppp","9606.ENSP00000061240 (ppp) 9606.ENSP00000444271",,"0.405",,"0.405",
"ppp","9606.ENSP00000061240 (ppp) 9606.ENSP00000383690","false","ppp","9606.ENSP00000061240 (ppp) 9606.ENSP00000383690",,"0.405",,"0.405",
"ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000263923","false","ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000263923",,,,"0.882","0.882"
"ppp","9606.ENSP00000061240 (ppp) 9606.ENSP00000385035","false","ppp","9606.ENSP00000061240 (ppp) 9606.ENSP00000385035",,"0.405",,"0.405",
"ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000317272","false","ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000317272","0.9","0.292",,"0.976","0.695"
"ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000351807","false","ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000351807",,"0.292",,"0.975","0.967"
"ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000265171","false","ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000265171",,,,"0.852","0.852"
"ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000363089","false","ppp","9606.ENSP00000052754 (ppp) 9606.ENSP00000363089","0.9",,,"0.985","0.861"
"ppp","9606.ENSP00000064724 (ppp) 9606.ENSP00000382783","false","ppp","9606.ENSP00000064724 (ppp) 9606.ENSP00000382783","0.65",,,"0.65",
"ppp","9606.ENSP00000064724 (ppp) 9606.ENSP00000347379","false","ppp","9606.ENSP00000064724 (ppp) 9606.ENSP00000347379","0.65",,,"0.876","0.661"
"ppp","9606.ENSP00000064724 (ppp) 9606.ENSP00000295522","false","ppp","9606.ENSP00000064724 (ppp) 9606.ENSP00000295522","0.65",,,"0.65",
