external_gene_name,description,search_id,MeSH_count
HSP90AA1,heat shock protein 90 alpha family class A member 1 ,HSP90AA1,187
BRCA1,BRCA1 DNA repair associated ,BRCA1,14102
TP53,tumor protein p53 ,TP53,16776
EGFR,epidermal growth factor receptor ,EGFR,39900
TRIM28,tripartite motif containing 28 ,TRIM28,128
GRB2,growth factor receptor bound protein 2 ,GRB2,693
GNG2,G protein subunit gamma 2 ,GNG2,15
GNG13,G protein subunit gamma 13 ,GNG13,3
MYC,"MYC proto-oncogene, bHLH transcription factor ",MYC,22275
ESR1,estrogen receptor 1 ,ESR1,1702
GNG5,G protein subunit gamma 5 ,GNG5,13
GNG10,G protein subunit gamma 10 ,GNG10,4
CAV1,caveolin 1 ,CAV1,839
GNB3,G protein subunit beta 3 ,GNB3,29
CALML4,calmodulin like 4 ,CALML4,1
HSPA4,heat shock protein family A (Hsp70) member 4 ,HSPA4,42
PRKN,parkin RBR E3 ubiquitin protein ligase ,PRKN,35
CALML5,calmodulin like 5 ,CALML5,19
FYN,"FYN proto-oncogene, Src family tyrosine kinase ",FYN,450
HSPA8,heat shock protein family A (Hsp70) member 8 ,HSPA8,97
FN1,fibronectin 1 ,FN1,644
YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta ,YWHAZ,135
COMMD5,COMM domain containing 5 ,COMMD5,2
CLTC,clathrin heavy chain ,CLTC,74
CALML3,calmodulin like 3 ,CALML3,13
H2AX,H2A.X variant histone ,H2AX,1895
PCNA,proliferating cell nuclear antigen ,PCNA,5253
CDH1,cadherin 1 ,CDH1,2226
WDR76,WD repeat domain 76 ,WDR76,9
SH3GL2,"SH3 domain containing GRB2 like 2, endophilin A1 ",SH3GL2,33
GNG3,G protein subunit gamma 3 ,GNG3,4
KIF16B,kinesin family member 16B ,KIF16B,9
KIF19,kinesin family member 19 ,KIF19,2
GNG4,G protein subunit gamma 4 ,GNG4,21
CAND1,cullin associated and neddylation dissociated 1 ,CAND1,25
EDEM3,ER degradation enhancing alpha-mannosidase like protein 3 ,EDEM3,4
KIF25,kinesin family member 25 ,KIF25,4
KIF6,kinesin family member 6 ,KIF6,0
KIF18B,kinesin family member 18B ,KIF18B,36
EZR,ezrin ,EZR,89
PIK3R2,phosphoinositide-3-kinase regulatory subunit 2 ,PIK3R2,67
RAD50,RAD50 double strand break repair protein ,RAD50,452
NCAM1,neural cell adhesion molecule 1 ,NCAM1,91
SHC1,SHC adaptor protein 1 ,SHC1,76
RFC4,replication factor C subunit 4 ,RFC4,54
PPP1CA,protein phosphatase 1 catalytic subunit alpha ,PPP1CA,35
RUVBL1,RuvB like AAA ATPase 1 ,RUVBL1,55
MAPT,microtubule associated protein tau ,MAPT,91
ANLN,"anillin, actin binding protein ",ANLN,119
RFC2,replication factor C subunit 2 ,RFC2,28
SPTBN1,"spectrin beta, non-erythrocytic 1 ",SPTBN1,35
SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 ",SMARCA4,759
AP1M2,adaptor related protein complex 1 subunit mu 2 ,AP1M2,8
AP1S3,adaptor related protein complex 1 subunit sigma 3 ,AP1S3,5
KIF26B,kinesin family member 26B ,KIF26B,20
PLK1,polo like kinase 1 ,PLK1,1217
TUBA1A,tubulin alpha 1a ,TUBA1A,12
CDK1,cyclin dependent kinase 1 ,CDK1,1935
KPNA2,karyopherin subunit alpha 2 ,KPNA2,154
H2BC13,H2B clustered histone 13 ,H2BC13,0
AP1S1,adaptor related protein complex 1 subunit sigma 1 ,AP1S1,1
RFC5,replication factor C subunit 5 ,RFC5,22
GNG11,G protein subunit gamma 11 ,GNG11,22
RFC3,replication factor C subunit 3 ,RFC3,28
DNA2,DNA replication helicase/nuclease 2 ,DNA2,35
ANK3,ankyrin 3 ,ANK3,20
H2AZ1,H2A.Z variant histone 1 ,H2AZ1,2
KCNAB3,potassium voltage-gated channel subfamily A regulatory beta subunit 3 ,KCNAB3,1
HDAC2,histone deacetylase 2 ,HDAC2,559
HAUS7,HAUS augmin like complex subunit 7 ,HAUS7,1
PABPC1,poly(A) binding protein cytoplasmic 1 ,PABPC1,89
PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 ",PLOD1,28
RPA3,replication protein A3 ,RPA3,38
SIN3B,SIN3 transcription regulator family member B ,SIN3B,20
HAUS8,HAUS augmin like complex subunit 8 ,HAUS8,3
FGF2,fibroblast growth factor 2 ,FGF2,1179
ANK2,ankyrin 2 ,ANK2,19
SYK,spleen associated tyrosine kinase ,SYK,740
KCNAB1,potassium voltage-gated channel subfamily A regulatory beta subunit 1 ,KCNAB1,7
RAC3,Rac family small GTPase 3 ,RAC3,93
RMI2,RecQ mediated genome instability 2 ,RMI2,22
JUN,"Jun proto-oncogene, AP-1 transcription factor subunit ",JUN,6808
TFRC,transferrin receptor ,TFRC,146
PHC1,polyhomeotic homolog 1 ,PHC1,4
CAPZA1,capping actin protein of muscle Z-line subunit alpha 1 ,CAPZA1,20
NR5A2,nuclear receptor subfamily 5 group A member 2 ,NR5A2,78
STAU1,staufen double-stranded RNA binding protein 1 ,STAU1,27
CANX,calnexin ,CANX,17
CCT5,chaperonin containing TCP1 subunit 5 ,CCT5,23
PIERCE1,piercer of microtubule wall 1 ,PIERCE1,2
CFAP141,cilia and flagella associated protein 141 ,CFAP141,0
CCT3,chaperonin containing TCP1 subunit 3 ,CCT3,41
TEKT1,tektin 1 ,TEKT1,2
CFAP53,cilia and flagella associated protein 53 ,CFAP53,1
KAT5,lysine acetyltransferase 5 ,KAT5,55
CIMIP2C,ciliary microtubule inner protein 2C ,CIMIP2C,0
CFAP144,cilia and flagella associated protein 144 ,CFAP144,0
TUBB4B,tubulin beta 4B class IVb ,TUBB4B,6
MT-CO2,mitochondrially encoded cytochrome c oxidase II ,MT-CO2,14
CFAP90,cilia and flagella associated protein 90 ,CFAP90,0
ERBB2,erb-b2 receptor tyrosine kinase 2 ,ERBB2,6651
