,gene_id,search_string,MeSH_count
0,A1BG,"(""A1BG"" OR ""A1B"" OR ""ABG"" OR ""GAB"" OR ""HYST2477"")",4265
1,A1CF,"(""A1CF"" OR ""ACF"" OR ""ACF64"" OR ""ACF65"" OR ""APOBEC1CF"" OR ""ASP"")",20758
2,A2M,"(""A2M"" OR ""A2MD"" OR ""CPAMD5"" OR ""FWP007"" OR ""S863-7"")",633
3,A4GALT,"(""A4GALT"" OR ""A14GALT"" OR ""A4GALT1"" OR ""Gb3S"" OR ""P(k)"" OR ""P1"" OR ""P1PK"" OR ""PK"")",78729
4,AAGAB,"(""AAGAB"" OR ""KPPP1"" OR ""PPKP1"" OR ""PPKP1A"" OR ""p34"")",910
5,AARD,"(""AARD"" OR ""C8orf85"")",113
6,AARSD1,"(""AARSD1"" OR ""AlaXp"")",10
7,AASDHPPT,"(""AASDHPPT"" OR ""AASD-PPT"" OR ""ACPS"" OR ""CGI-80"" OR ""LYS2"" OR ""LYS5"")",764
8,AASS,"(""AASS"" OR ""LKR/SDH"" OR ""LKRSDH"" OR ""LORSDH"")",483
9,ABAT,"(""ABAT"" OR ""GABA-AT"" OR ""GABAT"" OR ""NPD009"")",497
10,ABCA1,"(""ABCA1"" OR ""ABC-1"" OR ""ABC1"" OR ""CERP"" OR ""HDLCQTL13"" OR ""HDLDT1"" OR ""HPALP1"" OR ""TGD"")",4713
11,ABCA12,"(""ABCA12"" OR ""ARCI4A"" OR ""ARCI4B"" OR ""ICR2B"" OR ""LI2"")",287
12,ABCA9,"(""ABCA9"" OR ""EST640918"")",24
13,ABCB1,"(""ABCB1"" OR ""ABC20"" OR ""CD243"" OR ""CLCS"" OR ""ENPAT"" OR ""GP170"" OR ""MDR1"" OR ""P-GP"" OR ""PGY1"" OR ""p-170"")",18848
14,ABCB11,"(""ABCB11"" OR ""ABC16"" OR ""BRIC2"" OR ""BSEP"" OR ""PFIC-2"" OR ""PFIC2"" OR ""PGY4"" OR ""SPGP"")",1300
15,ABCB5,"(""ABCB5"" OR ""ABCB5alpha"" OR ""ABCB5beta"" OR ""EST422562"")",228
16,ABCB6,"(""ABCB6"" OR ""ABC"" OR ""LAN"" OR ""MTABC3"" OR ""PRP"" OR ""umat"")",60524
17,ABCB7,"(""ABCB7"" OR ""ABC7"" OR ""ASAT"" OR ""Atm1p"" OR ""EST140535"")",863
18,ABCC9,"(""ABCC9"" OR ""ABC37"" OR ""ATFB12"" OR ""CANTU"" OR ""CMD1O"" OR ""IDMYS"" OR ""SUR2"")",2096
19,ABCD2,"(""ABCD2"" OR ""ABC39"" OR ""ALDL1"" OR ""ALDR"" OR ""ALDRP"" OR ""hALDR"")",401
20,ABCD3,"(""ABCD3"" OR ""ABC43"" OR ""CBAS5"" OR ""PMP70"" OR ""PXMP1"" OR ""ZWS2"")",203
21,ABCD4,"(""ABCD4"" OR ""ABC41"" OR ""EST352188"" OR ""MAHCJ"" OR ""P70R"" OR ""P79R"" OR ""PMP69"" OR ""PXMP1L"")",53
22,ABCG4,"(""ABCG4"" OR ""WHITE2"")",95
23,ABHD11,"(""ABHD11"" OR ""PP1226"" OR ""WBSCR21"")",40
24,ABHD12B,"(""ABHD12B"" OR ""BEM46L3"" OR ""C14orf29"" OR ""c14_5314"")",5
25,ABHD16A,"(""ABHD16A"" OR ""BAT5"" OR ""D6S82E"" OR ""NG26"" OR ""PP199"" OR ""SPG86"" OR ""hBAT5"")",24
26,ABHD2,"(""ABHD2"" OR ""HS1-2"" OR ""LABH2"" OR ""PHPS1-2"")",83
27,ABI2,"(""ABI2"" OR ""ABI-2"" OR ""ABI2B"" OR ""AIP-1"" OR ""AIP1"" OR ""AblBP3"" OR ""SSH3BP2"" OR ""argBP1"" OR ""argBPIA"" OR ""argBPIB"")",249
28,ABI3,"(""ABI3"" OR ""NESH"" OR ""SSH3BP3"")",60
29,ABI3BP,"(""ABI3BP"" OR ""NESHBP"" OR ""TARSH"")",44
30,ABLIM1,"(""ABLIM1"" OR ""ABLIM"" OR ""LIMAB1"" OR ""LIMATIN"" OR ""abLIM-1"")",38
31,ABLIM2,"(""ABLIM2"")",15
32,ABLIM3,"(""ABLIM3"" OR ""HMFN1661"")",12
33,ABTB1,"(""ABTB1"" OR ""BPOZ"" OR ""BPOZ-2"" OR ""BTB3"" OR ""BTBD21"" OR ""EF1ABP"" OR ""PP2259"")",27
34,ACAA2,"(""ACAA2"" OR ""DSAEC"" OR ""T1"")",109461
35,ACACB,"(""ACACB"" OR ""ACACbeta"" OR ""ACC-beta"" OR ""ACC2"" OR ""ACCB"" OR ""ACCbeta"" OR ""HACC275"")",404
36,ACAD11,"(""ACAD11"" OR ""ACAD-11"")",15
37,ACAD8,"(""ACAD8"" OR ""ACAD-8"" OR ""ARC42"" OR ""IBDH"")",29
38,ACADL,"(""ACADL"" OR ""ACAD4"" OR ""LCAD"")",142
39,ACADS,"(""ACADS"" OR ""ACAD3"" OR ""SCAD"")",1261
40,ACADSB,"(""ACADSB"" OR ""2-MEBCAD"" OR ""ACAD7"" OR ""SBCAD"")",44
41,ACADVL,"(""ACADVL"" OR ""ACAD6"" OR ""LCACD"" OR ""VLCAD"")",388
42,ACAN,"(""ACAN"" OR ""AGC1"" OR ""AGCAN"" OR ""CSPG1"" OR ""CSPGCP"" OR ""MSK16"" OR ""SEDK"" OR ""SSOAOD"")",915
43,ACCS,"(""ACCS"" OR ""ACS"" OR ""PHACS"")",47076
44,ACD,"(""ACD"" OR ""PIP1"" OR ""PTOP"" OR ""TINT1"" OR ""TPP1"")",6438
45,ACE2,"(""ACE2"" OR ""ACEH"")",9333
46,ACKR1,"(""ACKR1"" OR ""CCBP1"" OR ""CD234"" OR ""DARC"" OR ""DARC/ACKR1"" OR ""Dfy"" OR ""FY"" OR ""GPD"" OR ""GpFy"" OR ""WBCQ1"")",3801
