"gene_id","logFC","logCPM","LR","PValue","FDR"
"ENSG00000249669",-4.32240530127838,5.02928949301864,1595.12596372649,0,0
"ENSG00000145936",-3.96519571868913,4.12386354347853,1502.32173050969,0,0
"ENSG00000136158",-3.35782412311822,4.77985798837474,1629.66234732327,0,0
"ENSG00000198947",-4.22068824658056,5.51328985918246,1478.15246088179,1.97626258336499e-323,7.4589090552653e-320
"ENSG00000154678",-4.61282966279515,3.60927290357568,1422.09185088884,3.32544355773182e-311,1.00408442782155e-307
"ENSG00000168309",-4.6235791763646,4.43896424254782,1391.07508848139,1.82740880466332e-304,4.59806512066702e-301
"ENSG00000109846",-5.0433539796093,7.31050956939805,1378.85499549942,8.26624778873747e-302,1.78279346952242e-298
"ENSG00000149090",-4.39747619522605,4.76501351305589,1364.12464172584,1.31308542951563e-298,2.47795634117469e-295
"ENSG00000133392",-4.65855800054204,7.79754144737309,1358.25957889381,2.47063997114249e-297,4.14436129381535e-294
"ENSG00000182253",-4.91624567653002,7.41325804791729,1319.51321205595,6.49757470866805e-289,9.80938853767616e-286
"ENSG00000006210",-4.08078499373272,7.37547446698219,1244.18537811808,1.52309524936817e-272,2.09037899815557e-269
"ENSG00000137960",-3.54620550656637,2.11216926133869,1242.76833026501,3.09515324612e-272,3.89396071305614e-269
"ENSG00000187699",-3.88010409563961,2.88688047605818,1211.96031884672,1.53461301243287e-265,1.78215789605377e-262
"ENSG00000240583",-2.77912394489388,7.70570135590458,1209.19510736987,6.12282875100538e-265,6.60259611813773e-262
"ENSG00000119771",-3.49197285100736,3.5178216595232,1195.44242156971,5.96746161698682e-262,6.00605120211e-259
"ENSG00000130176",-4.40012934237183,6.35565589721496,1192.98722325253,2.03880113016789e-261,1.92373629138404e-258
"ENSG00000143867",-4.84543867096726,3.7329574127771,1162.33234344195,9.36786476362302e-255,8.31921496096569e-252
"ENSG00000168874",-4.3279582218699,3.16219507783428,1146.68410394015,2.35803819007998e-251,1.97773903086875e-248
"ENSG00000166265",-2.53962140598085,4.98073242322923,1140.36062092709,5.58311306717751e-250,4.43622410395678e-247
"ENSG00000105971",-3.27733243719589,6.17847928530063,1137.89519451315,1.91737084507128e-249,1.44732738240206e-246
"ENSG00000105974",-3.56975360573176,7.9612174211786,1132.38787962064,3.01756080973675e-248,2.16933883545694e-245
