filename,uniprot_id,pocket,druggability,num_drug_pockets
AF-A6NDP7-F1-model_v4_info.txt,A6NDP7,0.25,1,1
AF-E9PKD4-F1-model_v4_info.txt,E9PKD4,0.024,1,1
AF-M0QZD8-F10-model_v4_info.txt,M0QZD8,0.161,1,5
AF-M0QZD8-F8-model_v4_info.txt,M0QZD8,0.256,1,8
AF-M0QZD8-F9-model_v4_info.txt,M0QZD8,0.111,1,9
AF-O00116-F1-model_v4_info.txt,O00116,0.817,1,1
AF-O14609-F1-model_v4_info.txt,O14609,0.141,1,4
AF-O43617-F1-model_v4_info.txt,O43617,0.192,1,1
AF-O95490-F1-model_v4_info.txt,O95490,0.173,1,1
AF-O95992-F1-model_v4_info.txt,O95992,-0.004,1,1
AF-P00395-F1-model_v4_info.txt,P00395,0.108,1,2
AF-P11597-F1-model_v4_info.txt,P11597,0.011,1,1
AF-P16112-F1-model_v4_info.txt,P16112,1.204,1,5
AF-P16671-F1-model_v4_info.txt,P16671,0.173,1,2
AF-P19099-F1-model_v4_info.txt,P19099,0.098,1,1
AF-P21397-F1-model_v4_info.txt,P21397,0.402,1,1
AF-P25391-F7-model_v4_info.txt,P25391,0.103,1,3
AF-P49888-F1-model_v4_info.txt,P49888,0.122,1,1
AF-P51790-F1-model_v4_info.txt,P51790,0.476,1,2
AF-P58550-F1-model_v4_info.txt,P58550,-0.021,1,1
AF-Q02817-F6-model_v4_info.txt,Q02817,0.595,1,2
AF-Q02817-F7-model_v4_info.txt,Q02817,4.795,1,3
AF-Q03001-F29-model_v4_info.txt,Q03001,0.628,1,3
AF-Q15629-F1-model_v4_info.txt,Q15629,0.09,1,2
AF-Q685J3-F12-model_v4_info.txt,Q685J3,0.13,1,3
AF-Q685J3-F3-model_v4_info.txt,Q685J3,0.321,1,5
AF-Q685J3-F5-model_v4_info.txt,Q685J3,0.317,1,7
AF-Q6NUT2-F1-model_v4_info.txt,Q6NUT2,0.083,1,3
AF-Q6TCH7-F1-model_v4_info.txt,Q6TCH7,0.06,1,1
AF-Q6UWP8-F1-model_v4_info.txt,Q6UWP8,0.528,1,3
AF-Q6ZWL3-F1-model_v4_info.txt,Q6ZWL3,0.24,1,1
AF-Q7KZN9-F1-model_v4_info.txt,Q7KZN9,0.033,1,1
AF-Q7Z449-F1-model_v4_info.txt,Q7Z449,0.238,1,1
AF-Q7Z5P9-F18-model_v4_info.txt,Q7Z5P9,0.298,1,3
AF-Q7Z5P9-F20-model_v4_info.txt,Q7Z5P9,0.183,1,4
AF-Q7Z5P9-F25-model_v4_info.txt,Q7Z5P9,0.109,1,3
AF-Q8N7P7-F1-model_v4_info.txt,Q8N7P7,0.521,1,2
AF-Q8TCJ2-F1-model_v4_info.txt,Q8TCJ2,0.887,1,1
AF-Q8TD08-F1-model_v4_info.txt,Q8TD08,0.055,1,1
AF-Q969W1-F1-model_v4_info.txt,Q969W1,0.18,1,1
AF-Q96RQ9-F1-model_v4_info.txt,Q96RQ9,0.511,1,1
AF-Q9H6D3-F1-model_v4_info.txt,Q9H6D3,0.143,1,4
AF-Q9HCS2-F1-model_v4_info.txt,Q9HCS2,0.114,1,1
AF-Q9NRZ7-F1-model_v4_info.txt,Q9NRZ7,0.642,1,2
AF-Q9NXL6-F1-model_v4_info.txt,Q9NXL6,0.211,1,6
AF-Q9UPC5-F1-model_v4_info.txt,Q9UPC5,0.205,1,1
AF-A3KFT3-F1-model_v4_info.txt,A3KFT3,0.073,0.999,1
AF-O43704-F1-model_v4_info.txt,O43704,0.493,0.999,1
AF-O60341-F1-model_v4_info.txt,O60341,0.456,0.999,1
AF-O60840-F1-model_v4_info.txt,O60840,0.17,0.999,5
AF-O94956-F1-model_v4_info.txt,O94956,0.074,0.999,2
AF-P04000-F1-model_v4_info.txt,P04000,0.2,0.999,1
AF-P11712-F1-model_v4_info.txt,P11712,0.133,0.999,1
AF-P25101-F1-model_v4_info.txt,P25101,0.114,0.999,1
AF-P29016-F1-model_v4_info.txt,P29016,0.036,0.999,1
AF-P46089-F1-model_v4_info.txt,P46089,0.28,0.999,1
AF-P50226-F1-model_v4_info.txt,P50226,0.285,0.999,1
AF-P78329-F1-model_v4_info.txt,P78329,0.146,0.999,1
AF-P98187-F1-model_v4_info.txt,P98187,0.116,0.999,1
AF-Q02505-F11-model_v4_info.txt,Q02505,0.538,0.999,2
AF-Q09428-F1-model_v4_info.txt,Q09428,0.122,0.999,2
AF-Q12816-F1-model_v4_info.txt,Q12816,0.197,0.999,2
AF-Q16518-F1-model_v4_info.txt,Q16518,0.591,0.999,1
AF-Q16572-F1-model_v4_info.txt,Q16572,0.115,0.999,1
AF-Q16635-F1-model_v4_info.txt,Q16635,0.091,0.999,1
AF-Q5U5X0-F1-model_v4_info.txt,Q5U5X0,-0.022,0.999,1
AF-Q674R7-F1-model_v4_info.txt,Q674R7,0.094,0.999,2
AF-Q685J3-F2-model_v4_info.txt,Q685J3,0.338,0.999,8
AF-Q6NXT6-F1-model_v4_info.txt,Q6NXT6,0.267,0.999,2
AF-Q6QHF9-F1-model_v4_info.txt,Q6QHF9,0.135,0.999,1
AF-Q6TCH4-F1-model_v4_info.txt,Q6TCH4,0.048,0.999,1
AF-Q6ZRR5-F1-model_v4_info.txt,Q6ZRR5,0.045,0.999,2
AF-Q86SK9-F1-model_v4_info.txt,Q86SK9,0.203,0.999,3
