File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
c7839298-1731-46ab-b471-a472a81bdc0f	779823e2-dd98-436f-9f33-6dad561515f5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-29-1766	TCGA-29-1766-01A	Primary Tumor
139a7bac-e37e-4fb2-9b42-be1b1d62f7f1	524a6f24-3903-46f1-ae2e-eb83a522a0c0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-09-2051	TCGA-09-2051-01A	Primary Tumor
f947d241-baac-4ce2-af66-403f2b1a0aa1	4d26557f-db8a-4486-b265-df46a9779d86.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-1427	TCGA-24-1427-01A	Primary Tumor
1bd5bdcf-96bf-47a4-b89e-c02351595d29	def689ea-33c2-40fb-bad7-709d4aa13def.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-04-1365	TCGA-04-1365-01A	Primary Tumor
11c60c68-57b6-4675-9aeb-916af8da75a7	31f82383-f710-4d46-8db5-b59ee094d74a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-0923	TCGA-13-0923-01A	Primary Tumor
93738d81-82a1-4481-a6c3-05ad6897552e	767664c5-0307-4a70-aaea-6601aa45e546.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-61-1733	TCGA-61-1733-01A	Primary Tumor
042112c1-7fab-4aba-9a10-91509b80de7b	d6c55f59-f1cd-48bf-9628-94fcfb867bff.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-29-1688	TCGA-29-1688-01A	Primary Tumor
8eb73ad8-0aff-403f-8d95-5c20dcd210a2	22a0a810-bcf2-4e89-aa7d-bcbdbf88fb82.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-61-2104	TCGA-61-2104-01A	Primary Tumor
20f1bba8-e5fa-4937-9f3a-e8d87424a1a6	86274ce9-71ad-45a7-88c4-956a1d8bce61.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-25-1320	TCGA-25-1320-01A	Primary Tumor
50f5b566-6cb4-4daf-ba2b-cddeb85f4ad8	3357f780-0eed-4559-9608-c02191b5fad3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-0913	TCGA-13-0913-01A	Primary Tumor
