gene_id,citation_score
STAMBP,80
ILDR1,49
DDR2,590
TBCK,38
THSD7A,230
PLXNC1,44
TUBGCP5,41
BLOC1S1,84
AEBP2,51
TRIM69,27
PNPLA8,22
AKR1B10,381
OSBPL9,16
YME1L1,46
ZNF675,5
TMPRSS2,3161
LAMTOR3,43
DNAJB1,366
ACE2,12764
PNPLA6,92
MARK3,94
MAOB,3522
MRPS36,7
AKIRIN2,63
XRN1,476
NSUN6,36
IFT140,98
BAZ1B,100
CWF19L1,17
YY1,2263
ESR2,1290
TAF4,118
MAP3K13,46
DNMT1,4931
MELK,662
CASP8,5499
HLA-DOA,61
CAMK1D,90
PANK2,299
MBOAT7,197
RPL28,35
TUSC3,119
ANKRD40,3
STYK1,49
ZNF444,11
HABP2,202
CCDC59,8
CADPS,87
CNOT1,121
RBPMS,175
SCAF4,20
RAI14,46
KIF5B,513
LARP4,36
IREB2,125
C5,38201
FLT1,3757
POLG,1025
SF3B3,49
GLE1,108
PSAPL1,5
FKBP10,153
TMEM120B,9
LDHA,2257
MYOCD,199
ASPH,371
TMC5,18
CSGALNACT2,20
DEFB1,602
NEK1,214
WDR7,22
FGFR4,1201
DNAH11,121
EPS8,290
SF3B4,88
BRCC3,105
PYCR2,42
COL12A1,201
ARFGAP3,41
ULK1,2277
ZC3H4,29
NAALADL2,23
THBS1,884
SMAD5,1012
DZIP3,17
XPO4,42
CSNK2A1,251
IKBKE,1239
TPD52L1,25
APAF1,2119
GLIPR1,77
INVS,806
ECHS1,142
IDH3G,15
SWAP70,108
SYDE2,4
ZBTB25,7
HIPK1,81
SFTA2,24
CBX1,230
POLR2K,15
NECAP1,16
BAZ1A,65
HMBOX1,59
FAM204A,2
STIL,472
RUFY2,13
EXOSC3,64
ACAD9,72
UBA6,68
TXLNG,22
SEL1L3,15
ZNF160,7
MTMR3,59
EXOC1,29
SCN7A,78
ELF3,529
KANSL1L,6
ANKS6,45
PAPOLG,13
SPARC,3247
AP1B1,35
TMED7,17
GPBP1,9
ANXA6,181
UFM1,198
DHX33,36
ENO1,874
DGKD,38
NDC1,94
RNF144B,26
MUC20,75
KATNAL1,34
MYO1A,67
PCBD2,13
PLEKHA3,16
HDAC5,931
UBLCP1,17
POLR3A,137
CD59,2675
ICA1,145
AP4M1,40
EFEMP2,147
ADAM8,284
UBXN4,12
ATF7IP2,9
MSL1,123
EXTL3,77
TRIM11,95
FOXN2,39
GOLGA7,21
EXOSC10,138
RPAP1,14
FAM171A1,10
DAPK2,1216
RAB11FIP4,20
KIF21A,100
ST18,223
C1orf116,5
UBE2Q2,24
KMT2C,463
STK35,18
OBSCN,152
CNBP,503
GBF1,239
STX19,1
MZT1,27
TMEM184A,16
DAP3,119
RPN2,138
MTMR2,134
ENOX2,44
PIK3AP1,70
PNKD,117
DDX55,7
KIF13B,66
FAM53C,2
UBXN2B,6
SEC13,248
TMX4,15
CUEDC1,10
CGN,1301
OVOL1,103
EIF2AK2,262
ZNF124,11
SLC12A2,701
SLC15A2,61
KLF8,134
COL5A2,336
KMT2D,985
PPHLN1,23
FEM1B,53
HECTD1,73
POLR3D,11
MXRA7,12
PDK1,2682
SGSH,109
IL13RA1,407
CAV1,6673
ITPK1,47
FAAH2,24
PER2,2737
ZNF529,3
HEATR1,16
BFAR,35
ACVR2A,181
PGRMC2,106
KLC1,119
MAD2L1BP,60
FUCA1,100
PSMC5,158
LSS,3629
MAST3,35
CTSS,570
POLR2G,22
IGFBP7,772
CYBRD1,88
ZNF614,1
ACIN1,49
TNFRSF11A,2076
KIAA0513,9
UBL3,18
BBS7,81
MSANTD4,1
THSD7B,16
DHX30,32
CD81,2208
KIF13A,65
RRAGB,20
RGS10,112
PCDH7,116
COPB2,57
PEX5,392
KIF23,207
PDSS2,151
ZMIZ1,105
NEBL,175
DHCR24,327
LYRM4,36
EXOC6B,34
TFCP2,170
RAB27B,230
FKBP2,23
AP3S2,14
UGGT2,16
CRY1,1895
EIF2AK4,422
ALOX5,522
IBA57,51
NGDN,12
GANC,126
TMEM168,6
RAD54L2,13
STAT5A,1499
FLCN,567
PXK,52
CAPRIN1,141
FN1,2048
MSRB3,117
ATP1A1,569
IL4R,1260
AMD1,100
RAB11FIP3,40
TP53,29696
LDHB,616
GEN1,173
MAPKAPK5,140
USP33,73
RIN2,36
SYT17,24
HERC6,47
MUC5B,1215
TCF25,19
BDH2,67
LSM14B,12
IRF8,1001
HEPACAM2,12
ANAPC16,3
SDC1,1555
MAP3K1,989
MED13L,77
CIB1,310
ZNF586,1
HSPA9,316
LIMA1,73
RFC3,97
ANK2,257
FOXP1,872
MACROD2,116
GTPBP4,26
ITGA3,230
TTC31,2
CA13,337
COPS7A,20
FUNDC1,252
DNM1,262
LZIC,14
LRP1,1793
SLC15A4,81
MRPL16,8
ATP7B,1498
PAXIP1,100
BCAP29,23
ATP6V0B,21
MAPKBP1,19
STXBP3,45
PTPRS,116
ERICH1,5
CSDE1,109
MTTP,430
ACAA1,67
SCFD2,10
CPD,8129
SIN3B,107
SPATA20,11
PIK3R1,980
