"","Cluster","Term","PValue","Adjusted_Pvalue","Genes"
"1",3,"positive regulation of intracellular transport (GO:0032388)","1.0083610950573346E-4","0.019562205244112292","ANXA13;PMAIP1;PDZK1"
"2",3,"regulation of intracellular transport (GO:0032386)","5.834643587105168E-4","0.04554168978897111","ANXA13;PMAIP1;PDZK1"
"3",3,"regulation of establishment of protein localization (GO:0070201)","8.154812365037707E-4","0.04554168978897111","ANXA13;PMAIP1;PDZK1"
"4",3,"nitrogen compound transport (GO:0071705)","9.39003913174662E-4","0.04554168978897111","SLC19A3;PDZK1;CDH17"
"5",4,"mitotic cell cycle (GO:0000278)","0.0015714656729492122","0.055646478209546296","CDC20;CDT1;KIF18A"
"6",4,"Cell Cycle, Mitotic Homo sapiens R-HSA-69278","1.2006778932015871E-4","0.00468264378348619","CDC20;CDT1;KIF18A;HMMR"
"7",4,"Cell Cycle Homo sapiens R-HSA-1640170","2.621208018639913E-4","0.006815140848463774","CDC20;CDT1;KIF18A;HMMR"
"8",4,"Signaling by Rho GTPases Homo sapiens R-HSA-194315","0.0011920425845329441","0.018595864318713927","CDC20;DEPDC7;KIF18A"
"9",4,"Metabolism Homo sapiens R-HSA-1430728","0.021867406898217714","0.0609163477878922","FABP1;FABP3;PIPOX;HMMR"
"10",4,"Signal Transduction Homo sapiens R-HSA-162582","0.17655082744091294","0.18864334986837275","CDC20;DEPDC7;KIF18A"
"11",6,"Metabolism of proteins Homo sapiens R-HSA-392499","8.449987999709892E-4","0.0069829156873339165","SERPINA1;CDX2;MME;MUC16;MUC17"
"12",6,"Post-translational protein modification Homo sapiens R-HSA-597592","0.006331142705925681","0.018993428117777045","SERPINA1;MUC16;MUC17"
"13",6,"Developmental Biology Homo sapiens R-HSA-1266738","0.01931995283317775","0.035208399624884916","CDX2;HIF3A;PCK1"
"14",6,"Metabolism Homo sapiens R-HSA-1430728","0.16654730233156367","0.18875360930910548","MLXIPL;CHST6;PCK1"
"15",7,"coagulation (GO:0050817)","0.002451382720992579","0.0868425689688634","GRB7;SLC7A5;MYB"
"16",7,"blood coagulation (GO:0007596)","0.002451382720992579","0.0868425689688634","GRB7;SLC7A5;MYB"
"17",7,"hemostasis (GO:0007599)","0.002541072074493864","0.0868425689688634","GRB7;SLC7A5;MYB"
"18",7,"Metabolic pathways Homo sapiens hsa01100","0.004854096340102261","0.06584543962058677","FOLH1;SI;CYP3A4;KHK"
"19",7,"Hemostasis Homo sapiens R-HSA-109582","0.003819225713562973","0.040101869992411214","GRB7;SLC7A5;MYB"
"20",7,"Metabolism Homo sapiens R-HSA-1430728","0.021867406898217714","0.06560222069465314","FOLH1;SI;CYP3A4;KHK"
