"gene_id","cluster","betweenness","degree_centrality"
"ABCA12","1",0,2
"ADGRG7","1",0,1
"ALDH1A2","1",324,5
"ALDH1L1","1",98,2
"ALPK3","1",0,1
"ANPEP","1",119,2
"ANXA13","1",0,1
"ASRGL1","1",0,1
"CDC20","1",300,3
"CDC6","1",25,2
"CDH17","1",728,5
"CDT1","1",458,4
"CDX2","1",0,1
"CHST6","1",0,1
"CLDN3","1",0,1
"CP","1",130,2
"CREB5","1",902,12
"CXCL8","1",0,1
"CYP3A4","1",80,2
"CYP4X1","1",0,1
"DCDC2","1",0,1
"DDIAS","1",158,2
"DEPDC7","1",808,5
"DPP4","1",80,2
"FABP1","1",0,2
"FABP3","1",0,2
"FOLH1","1",877,5
"FREM1","1",461,5
"FSD1L","1",80,2
"GRB7","1",386,3
"GUCY2C","1",80,2
"H2AC16","1",234,2
"H2AC4","1",80,2
"H2BC17","1",80,2
"H3C12","1",158,2
"HIF3A","1",0,1
"HMMR","1",0,1
"HOXA10","1",80,2
"KHK","1",80,2
"KIF18A","1",0,1
"KLK10","1",0,1
"KRT23","1",0,1
"LRATD1","1",0,1
"LRRC19","1",0,1
"MCM10","1",0,1
"MEP1A","1",443,4
"MIEN1","1",0,1
"MLXIPL","1",80,2
"MME","1",626,4
"MMP7","1",135,3
"MTTP","1",770,5
"MUC16","1",0,1
"MUC17","1",80,2
"MUC2","1",0,1
"MYB","1",158,2
"MYBL2","1",0,1
"NDC80","1",80,2
"NEB","1",660,7
"NNMT","1",188,5
"OLFM4","1",80,2
"PADI2","1",422,4
"PCK1","1",80,2
"PDZK1","1",0,1
"PGAP3","1",456,3
"PGGHG","1",0,1
"PHGR1","1",0,1
"PIPOX","1",0,1
"PMAIP1","1",0,1
"PPP1R1B","1",80,2
"PRAP1","1",901,5
"PRUNE2","1",80,2
"RARRES1","1",0,1
"RECQL4","1",0,1
"SAPCD2","1",158,2
"SCGB2A1","1",41,2
"SERPINA1","1",860,7
"SI","1",0,1
"SLC19A3","1",0,2
"SLC7A5","1",450,2
"SPON1","1",163,3
"TOP2A","1",0,1
"VAV3","1",0,2
