project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	aliquot_id	aliquot_submitter_id	aliquot_quantity	aliquot_volume	amount	analyte_type	analyte_type_id	concentration	no_matched_normal_low_pass_wgs	no_matched_normal_targeted_sequencing	no_matched_normal_wgs	no_matched_normal_wxs	selected_normal_low_pass_wgs	selected_normal_targeted_sequencing	selected_normal_wgs	selected_normal_wxs	source_center	state
TCGA-OV	005a6517-2e5a-4ea3-ab36-531522723607	TCGA-61-1740	ac9c5b5e-8e14-4a76-a68d-78a8349c40f7	TCGA-61-1740-01A	9c36986a-d488-434b-a9f3-5fb27b02791c	TCGA-61-1740-01A-01	3e35604d-d232-4779-a094-115ec95686a5	TCGA-61-1740-01A-01G	56b54b8f-cebc-4a96-ac31-51bff0e3a122	TCGA-61-1740-01A-01G-1314-09	'--	'--	'--	'--	'--	0.06	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-OV	005a6517-2e5a-4ea3-ab36-531522723607	TCGA-61-1740	ac9c5b5e-8e14-4a76-a68d-78a8349c40f7	TCGA-61-1740-01A	9c36986a-d488-434b-a9f3-5fb27b02791c	TCGA-61-1740-01A-01	6dcf8c4b-2243-46b8-a230-4bb889836203	TCGA-61-1740-01A-01R	1acbe267-f10e-4253-b3dc-8606b753ce77	TCGA-61-1740-01A-01R-0583-03	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-OV	005a6517-2e5a-4ea3-ab36-531522723607	TCGA-61-1740	ac9c5b5e-8e14-4a76-a68d-78a8349c40f7	TCGA-61-1740-01A	9c36986a-d488-434b-a9f3-5fb27b02791c	TCGA-61-1740-01A-01	6dcf8c4b-2243-46b8-a230-4bb889836203	TCGA-61-1740-01A-01R	490dc86b-5e91-4550-88a5-8cbc50c5320e	TCGA-61-1740-01A-01R-0584-07	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-OV	005a6517-2e5a-4ea3-ab36-531522723607	TCGA-61-1740	ac9c5b5e-8e14-4a76-a68d-78a8349c40f7	TCGA-61-1740-01A	9c36986a-d488-434b-a9f3-5fb27b02791c	TCGA-61-1740-01A-01	6dcf8c4b-2243-46b8-a230-4bb889836203	TCGA-61-1740-01A-01R	7e650317-6bd3-4ad9-b4ad-47178983707c	TCGA-61-1740-01A-01R-0582-01	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-OV	005a6517-2e5a-4ea3-ab36-531522723607	TCGA-61-1740	ac9c5b5e-8e14-4a76-a68d-78a8349c40f7	TCGA-61-1740-01A	9c36986a-d488-434b-a9f3-5fb27b02791c	TCGA-61-1740-01A-01	6dcf8c4b-2243-46b8-a230-4bb889836203	TCGA-61-1740-01A-01R	e7825482-380d-4323-a4fb-d11b365c7073	TCGA-61-1740-01A-01R-1567-13	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-OV	005a6517-2e5a-4ea3-ab36-531522723607	TCGA-61-1740	ac9c5b5e-8e14-4a76-a68d-78a8349c40f7	TCGA-61-1740-01A	9c36986a-d488-434b-a9f3-5fb27b02791c	TCGA-61-1740-01A-01	9a795c5b-34cb-48d3-84f6-abf86dcc6f58	TCGA-61-1740-01A-01D	0cafa2d9-9f4c-4fa6-841e-a114ea293a18	TCGA-61-1740-01A-01D-0580-02	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-OV	005a6517-2e5a-4ea3-ab36-531522723607	TCGA-61-1740	ac9c5b5e-8e14-4a76-a68d-78a8349c40f7	TCGA-61-1740-01A	9c36986a-d488-434b-a9f3-5fb27b02791c	TCGA-61-1740-01A-01	9a795c5b-34cb-48d3-84f6-abf86dcc6f58	TCGA-61-1740-01A-01D	847646b7-dfe4-4574-b403-c7977c522de1	TCGA-61-1740-01A-01D-0581-05	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-OV	005a6517-2e5a-4ea3-ab36-531522723607	TCGA-61-1740	ac9c5b5e-8e14-4a76-a68d-78a8349c40f7	TCGA-61-1740-01A	9c36986a-d488-434b-a9f3-5fb27b02791c	TCGA-61-1740-01A-01	9a795c5b-34cb-48d3-84f6-abf86dcc6f58	TCGA-61-1740-01A-01D	9a62bc65-e432-4e34-99d5-7eeb38b341c6	TCGA-61-1740-01A-01D-0579-06	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-OV	005a6517-2e5a-4ea3-ab36-531522723607	TCGA-61-1740	ac9c5b5e-8e14-4a76-a68d-78a8349c40f7	TCGA-61-1740-01A	9c36986a-d488-434b-a9f3-5fb27b02791c	TCGA-61-1740-01A-01	9a795c5b-34cb-48d3-84f6-abf86dcc6f58	TCGA-61-1740-01A-01D	cb195d98-0b66-4518-8b5c-e901a1fe14e3	TCGA-61-1740-01A-01D-0578-04	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-OV	005a6517-2e5a-4ea3-ab36-531522723607	TCGA-61-1740	ac9c5b5e-8e14-4a76-a68d-78a8349c40f7	TCGA-61-1740-01A	9c36986a-d488-434b-a9f3-5fb27b02791c	TCGA-61-1740-01A-01	9a795c5b-34cb-48d3-84f6-abf86dcc6f58	TCGA-61-1740-01A-01D	dbcc180d-1916-4914-8ca8-44ba79083add	TCGA-61-1740-01A-01D-0577-01	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-OV	005a6517-2e5a-4ea3-ab36-531522723607	TCGA-61-1740	ac9c5b5e-8e14-4a76-a68d-78a8349c40f7	TCGA-61-1740-01A	9c36986a-d488-434b-a9f3-5fb27b02791c	TCGA-61-1740-01A-01	b3940f2c-653a-48ba-91fe-ae77705f574a	TCGA-61-1740-01A-01T	c09fdbe5-b09a-46bb-b4d6-69c01a2ef284	TCGA-61-1740-01A-01T-0585-07	'--	'--	'--	'--	'--	0.1	'--	'--	'--	'--	'--	'--	'--	'--	22	released
