"","external_gene_name","description","count","counts_when_betweeness_0","counts_when_citation_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_eigen_centrality_0","counts_when_closeness_0"
"1","TRIM28","tripartite motif containing 28",1760,94,107,59,88,41,120
"2","WDR76","WD repeat domain 76",1426,1,86,59,84,88,126
"3","CNTNAP3","contactin associated protein family member 3",1356,100,64,116,52,79,0
"4","ESR1","estrogen receptor 1",1319,11,94,34,52,64,96
"5","ZNF813","zinc finger protein 813",1262,100,28,111,70,77,0
"6","SDSL","serine dehydratase like",1120,84,46,98,41,63,0
"7","ZDHHC8","zinc finger DHHC-type palmitoyltransferase 8",987,87,68,96,0,62,0
"8","HSP90AA1","heat shock protein 90 alpha family class A member 1",922,38,74,0,32,40,64
"9","CFAP298","cilia and flagella associated protein 298",918,88,50,97,0,63,0
"10","EDEM3","ER degradation enhancing alpha-mannosidase like protein 3",867,0,39,29,54,49,77
"11","GNB3","G protein subunit beta 3",813,18,62,5,15,54,99
"12","OBP2B","odorant binding protein 2B",770,55,54,71,0,44,0
"13","ZNF816","zinc finger protein 816",758,70,0,78,66,54,0
"14","CLTC","clathrin heavy chain",694,0,52,17,25,35,63
"15","CNTNAP3B","contactin associated protein family member 3B",643,45,0,50,73,38,0
"16","HSPA8","heat shock protein family A (Hsp70) member 8",607,0,40,15,33,23,38
"17","BRCA1","BRCA1 DNA repair associated",583,21,35,0,28,19,26
"18","ELMOD3","ELMO domain containing 3",582,46,0,53,57,35,0
"19","EGFR","epidermal growth factor receptor",576,26,42,0,15,20,27
"20","SDS","serine dehydratase",576,23,61,28,0,17,0
"21","CHST7","carbohydrate sulfotransferase 7",557,55,16,56,0,44,0
"22","HAUS7","HAUS augmin like complex subunit 7",536,0,11,23,6,41,91
"23","TP53","tumor protein p53",502,15,34,0,21,14,16
"24","GRB2","growth factor receptor bound protein 2",488,26,23,0,16,16,23
"25","HSD17B13","hydroxysteroid 17-beta dehydrogenase 13",472,10,57,11,0,7,0
"26","MSANTD7","Myb/SANT DNA binding domain containing 7",384,17,0,19,9,11,23
"27","GNG2","G protein subunit gamma 2",379,18,6,0,31,10,14
"28","CHST3","carbohydrate sulfotransferase 3",377,13,35,14,0,12,0
"29","GNG10","G protein subunit gamma 10",363,0,0,0,62,9,10
"30","PAK1","p21 (RAC1) activated kinase 1",337,0,20,14,3,11,18
"31","CALML4","calmodulin like 4",333,38,0,0,8,19,35
"32","ZNF737","zinc finger protein 737",331,13,1,19,0,0,25
"33","SH3GL2","SH3 domain containing GRB2 like 2, endophilin A1",316,0,9,6,26,12,17
"34","BRINP2","BMP/retinoic acid inducible neural specific 2",283,0,0,0,57,0,0
"35","CETN2","centrin 2",273,0,7,17,0,9,17
"36","NAALAD2","N-acetylated alpha-linked acidic dipeptidase 2",267,0,0,0,50,0,0
"37","REELD1","reeler domain containing 1",267,9,0,10,5,7,14
"38","COMMD5","COMM domain containing 5",265,3,0,1,30,17,32
"39","B3GALT1","beta-1,3-galactosyltransferase 1",255,0,0,0,46,0,0
"40","GNG13","G protein subunit gamma 13",243,9,0,0,22,0,0
