"","external_gene_name","description","count","counts_when_betweeness_0","counts_when_citation_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_eigen_centrality_0","counts_when_closeness_0"
"1","UBA52","ubiquitin A-52 residue ribosomal protein fusion product 1",2852,126,126,126,126,126,126
"2","RPS27A","ribosomal protein S27a",2732,124,125,122,126,123,125
"3","UBC","ubiquitin C",2591,119,126,115,125,116,122
"4","HSP90AA1","heat shock protein 90 alpha family class A member 1",2353,96,126,102,113,108,104
"5","UBB","ubiquitin B",2320,123,112,109,125,104,121
"6","EGFR","epidermal growth factor receptor",2214,63,126,96,116,110,104
"7","CTNNB1","catenin beta 1",1968,33,126,84,102,102,90
"8","TP53","tumor protein p53",1933,59,120,68,116,70,86
"9","H4C6","H4 clustered histone 6",1735,115,83,90,88,47,109
"10","ESR1","estrogen receptor 1",1028,19,92,65,1,45,35
"11","H3C12","H3 clustered histone 12",964,93,0,69,29,35,53
"12","FN1","fibronectin 1",840,0,39,28,46,60,25
"13","SRC","SRC proto-oncogene, non-receptor tyrosine kinase",775,9,35,6,37,64,10
"14","H3C13","H3 clustered histone 13",677,74,0,46,18,21,37
"15","EP300","E1A binding protein p300",573,41,16,7,45,0,23
"16","IGKV1D-33","immunoglobulin kappa variable 1D-33",406,16,0,17,5,25,14
"17","H2BC12","H2B clustered histone 12",352,49,0,23,3,2,19
"18","IGKV2D-40","immunoglobulin kappa variable 2D-40",264,4,0,9,5,13,6
"19","POTEC","POTE ankyrin domain family member C",243,3,0,7,0,9,8
"20","HDAC1","histone deacetylase 1",228,20,6,4,0,6,6
"21","H4C13","H4 clustered histone 13",183,21,0,11,3,0,10
"22","CALML4","calmodulin like 4",171,6,0,6,4,20,0
"23","SPDYC","speedy/RINGO cell cycle regulator family member C",146,2,0,5,0,4,3
"24","IGLV10-54","immunoglobulin lambda variable 10-54",138,0,0,0,6,1,0
"25","RIMBP3B","RIMS binding protein 3B",138,1,0,2,1,1,5
"26","ATP5MGL","ATP synthase membrane subunit g like",137,1,0,1,2,2,2
"27","CLDN24","claudin 24",136,1,0,3,0,4,4
