"gene_id","cluster","betweenness","degree_centrality"
"BRCA1","1",211159,34
"H2AX","1",50105,24
"H2BC17","1",179656,24
"HSP90AA1","1",45470,20
"RUVBL1","1",34973,19
"AGR2","1",90190,18
"FN1","1",26243,17
"H2BC15","1",205318,17
"H2BC7","1",188576,17
"PLK1","1",86621,17
"CALML5","1",18942,16
"H2BC12","1",3171,16
"H4C5","1",62124,16
"H2BC11","1",1795,15
"H4C12","1",12402,15
"H4C8","1",8055,15
"KIFC2","1",55137,15
"MED1","1",53805,15
"P4HB","1",19497,15
"PCNA","1",12657,15
"PPP1CA","1",26921,15
"WDR76","1",33118,15
"H2AZ1","1",7806,14
"HDAC9","1",63627,14
"KIF26B","1",3451,14
"OIP5","1",20,14
"RFC3","1",29539,14
"AKT1","1",28708,13
"CDK1","1",40915,13
"CENPS","1",7762,13
"CENPX","1",8512,13
"H2BC9","1",3935,13
"HDAC2","1",15546,13
"MIS18A","1",15,13
"NEIL3","1",34132,13
"PAGR1","1",9002,13
"RFC2","1",1814,13
"RFC4","1",445,13
"RPA3","1",14430,13
"SOX2","1",23165,13
"SYCP2","1",125080,13
"CBX4","1",66225,12
"DNA2","1",15360,12
"H1-4","1",5539,12
"H2AC20","1",9830,12
"KIF18B","1",24,12
"KIF21A","1",1044,12
"KIF22","1",36,12
"KNL1","1",1331,12
"RAD21","1",1058,12
"RMI2","1",2803,12
"STAG3","1",20820,12
"BRCA2","1",18106,11
"CCNB1","1",36761,11
"H2BC21","1",21620,11
"H2BC4","1",832,11
"H2BC5","1",0,11
"KPNA2","1",16763,11
"PARP1","1",21176,11
"RECQL4","1",7416,11
"SMC1B","1",1701,11
"ACTN2","1",20055,10
"CHCHD1","1",14335,10
"CLTC","1",11984,10
"EZH2","1",5038,10
"EZR","1",30225,10
"FANCD2","1",6345,10
"H2AC8","1",10969,10
"H3-3A","1",4121,10
"HAUS8","1",29255,10
"HJURP","1",5832,10
"KIF20A","1",32846,10
"RMI1","1",2129,10
"TFRC","1",10796,10
"UBE2S","1",56196,10
"ACTL6A","1",14642,9
"BRIP1","1",732,9
"CBX8","1",0,9
"CCT5","1",2519,9
"CDH1","1",14990,9
"CENPI","1",5349,9
"CENPL","1",9177,9
"CENPM","1",8922,9
"CENPW","1",6582,9
"F5","1",5547,9
"KIF11","1",1956,9
"LIME1","1",2103,9
"MRPL14","1",5750,9
"MRPS23","1",2050,9
"POLR2H","1",3169,9
"RPL19","1",43505,9
"SH3GL2","1",7945,9
"SUV39H1","1",7832,9
"VAMP8","1",6866,9
"YWHAZ","1",110292,9
"AP2S1","1",15645,8
"AR","1",13962,8
"ARF1","1",18248,8
"AURKA","1",2088,8
"BUB1B","1",3407,8
"CBX2","1",1044,8
"CCT3","1",17201,8
"CDCA8","1",17787,8
"CENPK","1",72724,8
"E2F1","1",12520,8
"ERBB2","1",10216,8
"FCGR1A","1",3930,8
"GRIN2D","1",12206,8
"H2AC6","1",0,8
"H3C10","1",6115,8
"IGKV1-33","1",4979,8
"IGKV2-28","1",27,8
"ISG15","1",8380,8
"KIF14","1",1107,8
"LEO1","1",3126,8
"MRPL17","1",7721,8
"MRPS34","1",6,8
"PABPC1","1",20932,8
"PIK3R3","1",15666,8
"POLR2K","1",4700,8
"RAC3","1",7114,8
"SPAG1","1",16921,8
"STAT1","1",4254,8
"TERT","1",40241,8
"TOP2A","1",9260,8
"TPD52","1",1073,8
"TUBB4B","1",22584,8
"VAV2","1",16564,8
"AMBP","1",675,7
"ANAPC11","1",15175,7
"ANLN","1",3131,7
"ATP5MC1","1",15880,7
"AURKB","1",11252,7
"BARD1","1",18,7
"CBX1","1",21701,7
"CCNA2","1",6228,7
"CCT6A","1",2557,7
"CENPH","1",0,7
"CENPO","1",0,7
"CENPU","1",394,7
"DLG3","1",3012,7
"FANCI","1",3079,7
"H3C2","1",0,7
"H3C8","1",32042,7
"IGHV3-11","1",6116,7
"KDELR3","1",5697,7
"KIF18A","1",1558,7
"KIF1A","1",22052,7
"KIF23","1",149389,7
"KIF2C","1",2884,7
"MCM4","1",4674,7
"MRPL13","1",23461,7
"MRPL27","1",8,7
"MRPL45","1",0,7
"PLAU","1",4533,7
"SDC1","1",20951,7
"STIP1","1",10042,7
"STX1A","1",15240,7
"AP1M2","1",9,6
"AP1S1","1",356,6
"AP1S3","1",135,6
"APOO","1",103,6
"BLM","1",834,6
"CCNE1","1",5372,6
"CDH2","1",8157,6
"CENPA","1",5729,6
"CHEK1","1",1998,6
"EPN3","1",79,6
"FGB","1",8103,6
"H2AC11","1",7036,6
"HSPD1","1",2680,6
"IGKV2D-40","1",71,6
"ILF2","1",11419,6
"KCNJ10","1",1450,6
"KDELR2","1",30,6
"KIAA2012","1",4214,6
"KIF15","1",0,6
"KIFC1","1",89,6
"MACROH2A1","1",5981,6
"MAD2L2","1",12133,6
"MED24","1",6181,6
"MRPL36","1",0,6
"MRPL47","1",511,6
"MRPS12","1",4233,6
"MTRES1","1",12,6
"POMK","1",4148,6
"RAD51","1",3548,6
"RAD51AP1","1",1208,6
"RARA","1",19401,6
"TPM3","1",10452,6
"VTN","1",5684,6
"XRCC2","1",0,6
"ACKR2","1",3835,5
"AGT","1",4170,5
"BUB1","1",3129,5
"C8G","1",7078,5
"CD79A","1",1049,5
"CD9","1",3267,5
"CDC20","1",1574,5
"CDH24","1",9937,5
"CDK5","1",4338,5
"CENPN","1",0,5
"CLSPN","1",454,5
"CTLA4","1",1500,5
"CYCS","1",9330,5
"DCD","1",10121,5
