PYCR3	NUDCD1	C8orf76	GDF6	FGFBP3	SHARPIN	POP1	GFUS	SYBU	TRHR
GRINA	WDR97	FAM91A1	MAPK15	DENND4B	FAM83H	DPY19L4	MROH1	OPLAH	NA
GIMAP2	GIMAP1	MZT2A	GIMAP7	ZNF14	ENPP5	TMEM176B	TMEM176A	NA	NA
SPINT3	WFDC3	ZSWIM3	WFDC9	WFDC10B	TEDDM1	RARRES2	NA	NA	NA
MATN2	ZC2HC1A	ZNF85	TMEM167B	ZNF675	PKIA	OSR2	NA	NA	NA
OCSTAMP	SENP2	TNFRSF11B	DCSTAMP	TMEM41A	TMEM64	NCEH1	NA	NA	NA
ZDHHC19	SENP5	NRROS	SMCO1	NA	NA	NA	NA	NA	NA
LY6D	LYPD2	C1QTNF3	LY6E	NA	NA	NA	NA	NA	NA
PSAPL1	RSBN1L	PCIF1	PXDC1	NA	NA	NA	NA	NA	NA
TATDN1	FAM25A	AGAP5	NA	NA	NA	NA	NA	NA	NA
REP15	F8A2	F8A3	NA	NA	NA	NA	NA	NA	NA
SNX31	AGAP3	C2CD4D	NA	NA	NA	NA	NA	NA	NA
MAP6D1	HTR3C	HTR3D	NA	NA	NA	NA	NA	NA	NA
ATP11B	MCF2L2	KLHL6	NA	NA	NA	NA	NA	NA	NA
ZNF212	ZNF746	ZNF783	NA	NA	NA	NA	NA	NA	NA
ATP13A4	SLC12A8	OR2A2	NA	NA	NA	NA	NA	NA	NA
KLRG2	GRAMD1C	TMEM213	NA	NA	NA	NA	NA	NA	NA
RHEX	ZCCHC24	FAM171A1	NA	NA	NA	NA	NA	NA	NA
AXDND1	C20orf85	CXorf58	NA	NA	NA	NA	NA	NA	NA
S100A14	S100A16	S100A3	NA	NA	NA	NA	NA	NA	NA
MAB21L3	MB21D2	CCDC50	NA	NA	NA	NA	NA	NA	NA
OGFRL1	TMEM273	CIBAR1	NA	NA	NA	NA	NA	NA	NA
