ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,cluster,color
GO:0098813,nuclear chromosome segregation,15/33,276/12113,0.0543478260869565,19.9489459815547,16.6437126362273,1.13908435136385e-16,2.48393405791727e-14,1.54962977994196e-14,ENSG00000066279/ENSG00000080986/ENSG00000088325/ENSG00000094804/ENSG00000101447/ENSG00000117724/ENSG00000126787/ENSG00000137804/ENSG00000143228/ENSG00000152253/ENSG00000154839/ENSG00000161888/ENSG00000165480/ENSG00000167513/ENSG00000169679,15,1,tomato
GO:0000280,nuclear division,16/33,353/12113,0.0453257790368272,16.6373079234269,15.5839344898481,1.43777300755228e-16,2.48393405791727e-14,1.54962977994196e-14,ENSG00000066279/ENSG00000080986/ENSG00000081377/ENSG00000088325/ENSG00000117724/ENSG00000126787/ENSG00000137804/ENSG00000143228/ENSG00000148773/ENSG00000152253/ENSG00000154839/ENSG00000161888/ENSG00000165480/ENSG00000167513/ENSG00000169679/ENSG00000172572,16,1,tomato
GO:0051783,regulation of nuclear division,12/33,120/12113,0.1,36.7060606060606,20.5447129579498,1.51767865045862e-16,2.48393405791727e-14,1.54962977994196e-14,ENSG00000080986/ENSG00000117724/ENSG00000126787/ENSG00000137804/ENSG00000143228/ENSG00000148773/ENSG00000152253/ENSG00000154839/ENSG00000161888/ENSG00000165480/ENSG00000169679/ENSG00000172572,12,1,tomato
GO:0007059,chromosome segregation,16/33,381/12113,0.041994750656168,15.4146186272171,14.9420797885041,4.81661369488621e-16,5.91239331047282e-14,3.68851206634707e-14,ENSG00000066279/ENSG00000080986/ENSG00000088325/ENSG00000094804/ENSG00000101447/ENSG00000117724/ENSG00000126787/ENSG00000137804/ENSG00000143228/ENSG00000148773/ENSG00000152253/ENSG00000154839/ENSG00000161888/ENSG00000165480/ENSG00000167513/ENSG00000169679,16,1,tomato
GO:0048285,organelle fission,16/33,398/12113,0.0402010050251256,14.7562052687681,14.5847997677589,9.59461790617924e-16,9.42191478386801e-14,5.87796591725928e-14,ENSG00000066279/ENSG00000080986/ENSG00000081377/ENSG00000088325/ENSG00000117724/ENSG00000126787/ENSG00000137804/ENSG00000143228/ENSG00000148773/ENSG00000152253/ENSG00000154839/ENSG00000161888/ENSG00000165480/ENSG00000167513/ENSG00000169679/ENSG00000172572,16,1,tomato
GO:0140014,mitotic nuclear division,14/33,258/12113,0.0542635658914729,19.9180173831337,16.0533667622519,1.58814719490548e-15,1.29963378783098e-13,8.1079093634648e-14,ENSG00000080986/ENSG00000081377/ENSG00000088325/ENSG00000117724/ENSG00000126787/ENSG00000137804/ENSG00000143228/ENSG00000148773/ENSG00000152253/ENSG00000154839/ENSG00000161888/ENSG00000165480/ENSG00000167513/ENSG00000169679,14,1,tomato
GO:0007088,regulation of mitotic nuclear division,11/33,106/12113,0.10377358490566,38.0911949685535,20.0464712935562,2.23429101099454e-15,1.5671955519976e-13,9.77712307066786e-14,ENSG00000080986/ENSG00000117724/ENSG00000126787/ENSG00000137804/ENSG00000143228/ENSG00000148773/ENSG00000152253/ENSG00000154839/ENSG00000161888/ENSG00000165480/ENSG00000169679,11,1,tomato
GO:0000819,sister chromatid segregation,13/33,223/12113,0.0582959641255605,21.3981519228156,16.068811646442,8.14393884542672e-15,4.99834246638065e-13,3.11827132107786e-13,ENSG00000080986/ENSG00000088325/ENSG00000094804/ENSG00000117724/ENSG00000126787/ENSG00000137804/ENSG00000143228/ENSG00000152253/ENSG00000154839/ENSG00000161888/ENSG00000165480/ENSG00000167513/ENSG00000169679,13,1,tomato
GO:0051983,regulation of chromosome segregation,11/33,128/12113,0.0859375,31.5442708333333,18.1571282614695,1.88486763445998e-14,1.0283000094665e-12,6.41516352781116e-13,ENSG00000080986/ENSG00000094804/ENSG00000117724/ENSG00000126787/ENSG00000143228/ENSG00000148773/ENSG00000152253/ENSG00000154839/ENSG00000161888/ENSG00000165480/ENSG00000169679,11,1,tomato
GO:0044770,cell cycle phase transition,16/33,488/12113,0.0327868852459016,12.0347739692002,13.0049385911002,2.34395782483455e-14,1.10204999414221e-12,6.87526097749776e-13,ENSG00000080986/ENSG00000081377/ENSG00000094804/ENSG00000101447/ENSG00000117724/ENSG00000126787/ENSG00000143228/ENSG00000152253/ENSG00000154839/ENSG00000161888/ENSG00000162063/ENSG00000165304/ENSG00000165480/ENSG00000167513/ENSG00000169679/ENSG00000171848,16,1,tomato
