# Observed cut height: 0.0962339
# Observed size of largest cluster at observed cut height: 26
# Expected size of largest cluster at observed cut height: 6.5
# Observed maximum ratio statistic: 4.000
# Expected maximum ratio statistic: 1.764
# p-value: 0.02
# Clusters:
BTNL3	BTNL8	DMBT1	FCGBP	GPRIN2	GREB1	KLK1	MAP6	MSLN	MUC16	MUC2	MUC3A	MUC4	MUC5AC	MUC5B	MUC6	PACC1	PDZK1IP1	PNP	SERPINA4	SLC5A1	TFF1	TFF2	TFF3	TMEM106B	XDH
B3GNT2	B3GNT3	C1GALT1	C1GALT1C1	GALNT6	TSPAN15	TSPAN9
HOXB4	HOXB5	HOXB6	HOXB7	HOXC6	TCF21
ABCA9	ACY3	ASPA	PMM1	PMM2
ADAMTS2	ADAMTS4	CCBE1	CTHRC1	EGFL7
ANKS4B	CDHR2	CDHR5	MYO7B	USH1C
CHPF	CHSY3	CSGALNACT1	CSGALNACT2	SLC30A1
CYP2C18	CYP2C8	CYP2C9	CYP2J2	CYP4F3
DNAH11	DNAH12	DNAH3	DNAH5	DNAH7
GJA4	GJB1	GJB2	GJB3	GJB4
LRRC8B	LRRC8D	LRRC8E	SLC44A1	TRIM2
MLPH	RAB27B	SYTL1	SYTL2	SYTL5
ATP10B	ATP8B1	ATP8B2	TMEM30B
CA13	CA2	SLC26A3	SLC4A4
CCDC112	CCDC148	NOL4L	TEX9
CCNB1IP1	H1-3	H1-5	ZNF662
CEMIP2	MAN2B1	MAN2B2	SIAE
CLDN10	CLDN18	CLDN2	TJP3
CMPK2	DCTPP1	ENTPD3	ENTPD8
CSPG4	MGAM	MGAM2	SI
FABP1	GNPNAT1	GPD1	GPD2
GOLGA7B	ORMDL3	SPTLC2	SPTSSB
POMK	SLC35F2	TMEM120A	TPRG1
SLC3A1	SLC7A11	SLC7A7	SLC7A8
SULT1B1	SULT1C2	SULT1C4	SULT1E1
ACER2	CERS4	CERS6
ADH1B	ADH1C	ADH6
ALDH1A2	AOX1	INMT
ARHGAP10	ARHGAP26	C2CD2
ARHGEF17	RASL12	RERG
C3orf52	TMPRSS2	TMPRSS4
CD99	CD99L2	PILRB
CDAN1	MAMDC2	TK1
CPT2	SLC25A20	SLC25A29
CYP3A4	CYP3A5	UGT2B7
DARS2	FAAH	FAAH2
DBP	HLF	HNF4G
DNAJC27	FAM184A	LRRC61
ETV4	ETV5	SLC45A3
FAM3B	FUT3	FUT6
FRAS1	FREM2	HMCN1
FUT8	MGAT1	MGAT2
GAS1	IHH	SHH
GCNT1	GCNT3	GCNT4
GDF15	PLEKHA6	TCEAL9
GGT5	GGT6	GGT7
GRHL1	GRHL2	ZNF76
HTRA3	PCSK6	TMEM25
LGR4	LGR5	RNF43
LRFN3	MANEAL	ST3GAL4
MYO5B	RAB11FIP1	RAB25
OAS1	OAS2	OAS3
OSBPL3	PITPNM3	ZFPL1
PDE11A	PDE2A	PDE5A
PDE1A	PDE1B	PDE1C
PLPP2	PLPP3	SGPP2
TAS2R13	TAS2R30	TAS2R50
UCK1	UCK2	UCKL1
AARSD1	TRIM45
ACSL5	DGAT2
ADAMTS18	ANKRD45
AGPAT1	AGPAT5
AGPAT2	LCLAT1
ALDH3A1	ALDH3B1
ALG1	ALG11
ALKBH2	ALKBH6
ANXA4	CD248
ARL14	PSD4
ASAP2	ASAP3
ASMTL	TDO2
AVIL	VIL1
AVPI1	SLC15A3
AZIN2	OAZ2
B3GALNT2	IDS
B4GALNT3	B4GALNT4
BCAS1	LIMS2
BCAT1	BCAT2
BLACAT1	U2AF1L4
BSCL2	TMEM19
CA12	CA9
CABP4	EGFLAM
CANT1	ENTPD5
CAPN6	RFLNB
CCDC102A	CCDC102B
CCDC34	RABL2A
CDHR1	PROM1
CEACAM5	SERPINB5
CELSR1	PCDH17
CHGA	CPE
CHST4	CHST6
CKMT1A	CKMT1B
CP	HEPH
CRTC1	CRTC3
CRYZ	DCXR
CTH	ZNF488
CTSK	CTSV
CXADR	JAML
CYP11A1	FDXR
CYREN	ERCC6L2
DCLK1	SIGLEC15
DHRS11	HSD17B2
DIRAS2	ZNF581
DPH6	MFSD4B
DPY19L1	EFCAB11
E2F7	E2F8
EDA	EDAR
EMB	SLC16A1
ESCO1	ESCO2
ESPL1	TTK
ETNK2	NOL3
EVA1C	PDZD8
EVC	EVC2
EYA2	SIX4
FAM193B	TRIM10
FMN1	SPIRE2
FOXQ1	NQO1
FPR3	HEBP1
FUT1	FUT2
GALNT12	GALNT7
GCH1	GCHFR
GCLC	GCLM
GFPT1	GFPT2
GPSM1	SAPCD2
GPX2	GPX3
GTF2IRD2	GTF2IRD2B
GUCY1A1	GUCY1A2
HAS2	HAS3
HNF1A	HNF1B
JPH1	JPH4
KRT20	KRT23
LCN2	SLC22A17
LFNG	RFNG
LGALS4	SLC28A3
LPGAT1	LYPD6
LRATD2	UROD
LRRIQ3	R3HCC1L
LTBP3	LTBP4
MANSC1	TTYH2
MGST1	MGST2
MIGA1	MIGA2
MPV17L	MPV17L2
MPZL2	MPZL3
MST1	MST1R
NECTIN4	ZNF582
NEXN	PPP1R9A
NPR1	NPR2
PANK1	PANK3
PBLD	PLEKHS1
PCDHA4	PCDHGA10
PCK1	PCK2
PFKFB2	TIGAR
PNPLA6	PNPLA7
POMT1	POMT2
PPP1R18	RASIP1
PRSS35	WFDC2
QTRT1	QTRT2
RAB3IL1	TMEM102
RABL2B	RASEF
RDH10	RDH5
REXO1	REXO2
RGL2	SAMD9
RIMKLA	RIMKLB
SIDT1	ZC3H12D
SLC25A27	UCP2
SLC25A28	SLC2A12
SLC29A2	SLC29A3
SLC35A2	SLC35A3
SMIM22	SQLE
SPINT1	ST14
SSH2	SSH3
TCEAL1	TCEAL4
TFE3	TFEC
TPCN1	TPCN2
TSC22D3	TSC22D4
URB2	WDR89
VPS13A	XK
ZNF121	ZNF286A
ZNF554	ZNF808
A1CF
AAAS
AAGAB
AAK1
AASS
AATK
ABCA12
ABCA7
ABCB6
ABCB8
ABCB9
ABCC2
ABCC3
ABCC6
ABCC9
ABCD1
ABCD3
ABCG1
ABHD11
ABHD16A
ABHD17A
ABHD2
ABHD5
