"","external_gene_name","ensembl_gene_id","description","gene_biotype","degree","betweenness","closeness","eigen_centrality","cluster","source","counts","druggability","CP_score","highest_score"
"1","ABAT","ENSG00000183044","4-aminobutyrate aminotransferase ","protein_coding",1,0,8.9750493627715e-05,8.91530610450704e-16,"tomato","subnet",2772,0.915,0.729228571428571,0.915
"2","ABCB6","ENSG00000115657","ATP binding cassette subfamily B member 6 (LAN blood group) ","protein_coding",9,0,0.000125707102451289,0.869854226340385,"gold","subnet",12079,0.846,0.516576190476191,0.846
"3","ABCC9","ENSG00000069431","ATP binding cassette subfamily C member 9 ","protein_coding",10,16292.9750896874,0.000128667009778693,0.878670504735728,"gold","subnet",1431,0.999,0.650728571428571,0.999
"4","ABHD11","ENSG00000106077","abhydrolase domain containing 11 ","protein_coding",1,0,9.3257483913084e-05,2.77713283998291e-15,"tomato","subnet",340,0.453,0.376090909090909,0.453
"5","ABHD16A","ENSG00000204427","abhydrolase domain containing 16A, phospholipase ","protein_coding",4,1736.58398692811,0.000112334306897326,0.000134096751856932,"tomato","subnet",198,0.981,0.56622380952381,0.981
"6","ABTB1","ENSG00000114626","ankyrin repeat and BTB domain containing 1 ","protein_coding",1,0,0.000114784205693297,0.00107174481304819,"springgreen","subnet",172,0.522,0.420661904761905,0.522
"7","ACAN","ENSG00000157766","aggrecan ","protein_coding",6,4134,0.000110509448557852,1.55723332148675e-07,"springgreen","subnet",14393,1,0.752366666666667,1
"8","ACKR1","ENSG00000213088","atypical chemokine receptor 1 (Duffy blood group) ","protein_coding",2,774.666666666659,0.000114731528223956,4.92277143951663e-12,"tomato","subnet",3341,0.787,0.7929625,0.7929625
"9","ACVR1C","ENSG00000123612","activin A receptor type 1C ","protein_coding",7,18193.9964930892,0.000123655249165327,3.01983000049338e-07,"tomato","subnet",835,0.68,0.912228571428571,0.912228571428571
"10","ACVRL1","ENSG00000139567","activin A receptor like type 1 ","protein_coding",2,17182.174270867,0.000124641655241182,3.17933875649093e-08,"tomato","subnet",3790,0.801,0.269085714285714,0.801
