"external_gene_name","description","count","counts_when_betweenness_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_eigen_centrality_0","counts_when_closeness_0"
"TRIM28","tripartite motif containing 28",664,68,47,65,32,82
"ESR1","estrogen receptor 1",657,33,43,59,62,84
"WDR76","WD repeat domain 76",493,0,37,49,55,82
"HSP90AA1","heat shock protein 90 alpha family class A member 1",449,47,0,39,46,72
"CNTNAP3","contactin associated protein family member 3",388,60,67,14,41,0
"CFAP298","cilia and flagella associated protein 298",376,46,56,29,34,0
"GNB3","G protein subunit beta 3",371,19,14,19,44,79
"ZDHHC8","zinc finger DHHC-type palmitoyltransferase 8",340,61,70,0,43,0
"SDS","serine dehydratase",324,59,67,0,40,0
"CLTC","clathrin heavy chain",322,0,20,28,33,62
"EGFR","epidermal growth factor receptor",321,34,0,30,30,46
"CHST3","carbohydrate sulfotransferase 3",317,40,46,27,29,0
"HSD17B13","hydroxysteroid 17-beta dehydrogenase 13",306,54,64,0,37,0
"TP53","tumor protein p53",294,26,0,41,25,36
"OBP2B","odorant binding protein 2B",293,51,62,0,36,0
"BRCA1","BRCA1 DNA repair associated",292,26,0,42,25,33
"HSPA8","heat shock protein family A (Hsp70) member 8",286,0,17,40,28,42
"EDEM3","ER degradation enhancing alpha-mannosidase like protein 3",282,0,24,32,25,40
"SDSL","serine dehydratase like",250,43,50,0,32,0
"GRB2","growth factor receptor bound protein 2",228,30,0,21,18,24
"CHST7","carbohydrate sulfotransferase 7",210,15,21,24,20,0
"ZNF813","zinc finger protein 813",184,31,37,0,23,0
"PAK1","p21 (RAC1) activated kinase 1",180,0,19,11,13,24
"CETN2","centrin 2",122,0,19,0,7,14
"ASPRV1","aspartic peptidase retroviral like 1",118,0,0,35,0,0
"B3GALT1","beta-1,3-galactosyltransferase 1",118,0,0,35,0,0
"B3GALT5","beta-1,3-galactosyltransferase 5",116,0,0,35,0,0
"BRINP2","BMP/retinoic acid inducible neural specific 2",112,0,0,34,0,0
"GNG2","G protein subunit gamma 2",111,12,0,14,6,7
"BRINP3","BMP/retinoic acid inducible neural specific 3",108,0,0,32,0,0
"SH3GL2","SH3 domain containing GRB2 like 2, endophilin A1",102,0,5,14,8,9
"MYC","MYC proto-oncogene, bHLH transcription factor",99,5,0,23,2,2
"HSPA4","heat shock protein family A (Hsp70) member 4",91,24,0,0,5,9
"HAUS7","HAUS augmin like complex subunit 7",88,0,5,0,9,23
"CLEC14A","C-type lectin domain containing 14A",83,0,0,23,0,0
"H2AX","H2A.X variant histone",81,4,0,0,8,30
"SRD5A1","steroid 5 alpha-reductase 1",71,14,14,0,6,0
"FYN","FYN proto-oncogene, Src family tyrosine kinase",68,13,0,0,3,10
"TGFA","transforming growth factor alpha",61,0,10,0,4,7
"GNG13","G protein subunit gamma 13",58,3,0,9,0,0
"ZNF737","zinc finger protein 737",46,3,3,0,0,5
"ZNF610","zinc finger protein 610",37,2,2,0,0,4
"EPHB3","EPH receptor B3",36,0,5,0,0,0
"SRD5A2","steroid 5 alpha-reductase 2",34,5,8,0,2,0
"ZNF552","zinc finger protein 552",26,1,1,0,0,2
"GNG10","G protein subunit gamma 10",24,0,0,8,0,0
"SRD5A3","steroid 5 alpha-reductase 3",22,4,4,0,1,0
"ZNF20","zinc finger protein 20",22,0,0,0,0,0
"ZNF468","zinc finger protein 468",21,1,1,0,0,1
"ZNF480","zinc finger protein 480",20,1,1,0,0,1
"CCT3","chaperonin containing TCP1 subunit 3",17,0,0,0,2,1
"GNG3","G protein subunit gamma 3",17,0,0,6,0,0
"YWHAZ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta",17,0,0,0,6,5
"ZNF678","zinc finger protein 678",17,1,1,0,0,1
"EZR","ezrin",15,1,0,0,0,0
"KCNAB3","potassium voltage-gated channel subfamily A regulatory beta subunit 3",14,0,0,0,0,1
"HLA-DQB2","major histocompatibility complex, class II, DQ beta 2",11,0,0,0,0,2
"ZFP30","ZFP30 zinc finger protein",10,0,0,1,0,0
"ZNF124","zinc finger protein 124",10,0,0,1,0,0
"ZNF724","zinc finger protein 724",10,0,0,0,0,0
"CALML4","calmodulin like 4",9,3,0,0,0,0
"ZNF138","zinc finger protein 138",9,0,0,0,0,0
"ZNF154","zinc finger protein 154",9,0,0,0,0,0
"ZNF700","zinc finger protein 700",8,0,0,0,0,0
"ADCY5","adenylate cyclase 5",7,0,0,0,0,0
"CACNA1G","calcium voltage-gated channel subunit alpha1 G",7,0,0,0,0,0
"CD36","CD36 molecule (CD36 blood group)",7,0,0,0,0,0
"H2BC5","H2B clustered histone 5",7,0,0,0,0,0
"ZNF233","zinc finger protein 233",7,0,0,0,0,0
"ZNF253","zinc finger protein 253",7,0,0,0,0,0
"ZNF257","zinc finger protein 257",6,0,0,0,0,0
"ZNF28","zinc finger protein 28",6,0,0,0,0,0
"ACAN","aggrecan",5,0,0,0,0,0
"DST","dystonin",5,0,0,0,0,0
"HAO2","hydroxyacid oxidase 2",5,0,0,0,0,0
"CLCN3","chloride voltage-gated channel 3",4,0,0,0,0,0
"SULT1E1","sulfotransferase family 1E member 1",4,0,0,0,0,0
"SYK","spleen associated tyrosine kinase",4,0,0,0,0,0
"PRKDC","protein kinase, DNA-activated, catalytic subunit",3,0,0,0,0,0
"PROCR","protein C receptor",3,0,0,0,0,0
"RPS3A","ribosomal protein S3A",3,0,0,0,0,0
"ABCA12","ATP binding cassette subfamily A member 12",2,0,0,0,0,0
"CETP","cholesteryl ester transfer protein",2,0,0,0,0,0
"CNTNAP3B","contactin associated protein family member 3B",2,0,0,0,0,0
"LRPPRC","leucine rich pentatricopeptide repeat containing",2,0,0,0,0,0
"MMRN2","multimerin 2",2,0,0,0,0,0
"NAALAD2","N-acetylated alpha-linked acidic dipeptidase 2",2,0,0,0,0,0
"NAALADL2","N-acetylated alpha-linked acidic dipeptidase like 2",2,0,0,0,0,0
"RFC3","replication factor C subunit 3",2,0,0,0,0,0
"RFC4","replication factor C subunit 4",2,0,0,0,0,0
"TRAM1","translocation associated membrane protein 1",2,0,0,0,0,0
"CH25H","cholesterol 25-hydroxylase",1,0,0,0,0,0
"CYP4F12","cytochrome P450 family 4 subfamily F member 12",1,0,0,0,0,0
"DPY19L2","dpy-19 like 2",1,0,0,0,0,0
"IL4I1","interleukin 4 induced 1",1,0,0,0,0,0
"MAPK15","mitogen-activated protein kinase 15",1,0,0,0,0,0
