"gene","avg_rank","rank_variance"
"TRIM28",10.6350316350316,1243.93803953098
"ESR1",21.017316017316,3228.20489659131
"HSP90AA1",52.8458208458208,49272.932583295
"FYN",55.7479187479187,8634.19792621325
"H2AX",57.6829836829837,25676.962092094
"EZR",65.5131535131535,6166.21793152439
"HDAC2",68.6693306693307,8077.52186720674
"HSPA4",75.1035631035631,38453.1781451948
"HAUS7",80.7589077589078,14220.6746999392
"PLK1",94.7855477855478,15105.5769129826
"RAC3",101.498501498501,29966.1001809649
"KCNAB3",108.948717948718,22016.300500521
"WDR76",111.234432234432,160271.444690109
"SYK",116.383949383949,25448.326551086
"CCND1",116.731934731935,10587.5367113455
"H2BC13",117.479187479187,23783.0437872143
"PRKDC",117.580086580087,3602.40622557545
"TGFA",118.216783216783,19419.3050879833
"GNB3",124.307359307359,106227.127017775
"YWHAZ",124.528804528805,187219.224603067
"NEDD4L",125.477189477189,22103.8758119518
"RPS3A",131.221112221112,6464.89912774323
"CD36",132.691974691975,13464.5396657529
"CLTC",133.264402264402,172871.746856963
"BTRC",134.938061938062,27754.9961623986
"KCNAB1",137.32301032301,24023.719746831
"ANK3",137.777555777556,44662.4641596467
"PML",138.642690642691,13234.2243860958
"CXCR4",139.377289377289,28843.8159664009
"H3C12",146.133533133533,23673.2489850811
"JUN",149.688977688978,86995.4848451571
"EGFR",151.49284049284,297354.751697559
"CAND1",154.244422244422,105129.537173242
"DNA2",154.917748917749,24174.2720466298
"CDH23",155.015651015651,10787.1793019328
"NR5A2",159.563436563437,54939.5971570069
"TMED2",162.426906426906,46096.9249520189
"CD9",166.589077589078,26926.360733426
"CALML4",172.829836829837,207550.718869627
"ACTA2",178.361305361305,21640.5659505939
"RUVBL1",180.704628704629,177813.578616143
"CAPZA1",183.338994338994,123561.331413645
"H2BC5",186.97668997669,84132.5417615917
"CETN2",191.371961371961,51897.6400796627
"PIK3R2",192.57708957709,137750.604564878
"FLNC",194.745254745255,21884.6236242106
"ADCY5",196.396936396936,22329.9083450416
"COL7A1",196.961704961705,83520.9469007564
"AP2B1",198.033966033966,50306.3925834326
